"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_"
2713475,"04","2014","005100","2",666.6667,
2713475,"05","2014","005100","2",666.6667,
2713475,"06","2014","005100","2",666.6667,
2713475,"04","2014","005110","2",666.6667,
2713475,"05","2014","005110","2",666.6667,
2713475,"06","2014","005110","2",666.6667,
2713475,"04","2014","005200","2",41666.6667,
2713475,"05","2014","005200","2",41666.6667,
2713475,"06","2014","005200","2",41666.6667,
2713475,"04","2014","005210","2",33333.3333,
2713475,"05","2014","005210","2",33333.3333,
2713475,"06","2014","005210","2",33333.3333,
2713475,"04","2014","005400","2",2500,
2713475,"05","2014","005400","2",2500,
2713475,"06","2014","005400","2",2500,
2713475,"04","2014","005410","2",4816.5587,"T"
2713475,"05","2014","005410","2",4816.5587,"T"
2713475,"06","2014","005410","2",4816.5587,"T"
2713475,"04","2014","800940","2",785.75,
2713475,"05","2014","800940","2",785.75,
2713475,"06","2014","800940","2",785.75,
2713475,"04","2014","900000","2",12500,
2713475,"05","2014","900000","2",12500,
2713475,"06","2014","900000","2",12500,
2713475,"04","2014","950001","1",-225,
2713475,"05","2014","950001","1",-225,
2713475,"06","2014","950001","1",-225,
2713475,"04","2014","980000","2",12500,
2713475,"05","2014","980000","2",12500,
2713475,"06","2014","980000","2",12500,
2713475,"04","2014","980010","2",0.3333,
2713475,"05","2014","980010","2",0.3333,
2713475,"06","2014","980010","2",0.3333,
2713475,"04","2014","980020","2",5.1667,
2713475,"05","2014","980020","2",5.1667,
2713475,"06","2014","980020","2",5.1667,
2713475,"04","2014","980030","2",0.0833,
2713475,"05","2014","980030","2",0.0833,
2713475,"06","2014","980030","2",0.0833,
2713475,"04","2014","980040","2",0.25,
2713475,"05","2014","980040","2",0.25,
2713475,"06","2014","980040","2",0.25,
2713475,"04","2014","980060","2",0.0833,
2713475,"05","2014","980060","2",0.0833,
2713475,"06","2014","980060","2",0.0833,
2713475,"04","2014","980070","1",12725,
2713475,"05","2014","980070","1",12725,
2713475,"06","2014","980070","1",12725,
2713475,"04","2014","980071","2",10683.8333,
2713475,"05","2014","980071","2",10683.8333,
2713475,"06","2014","980071","2",10683.8333,
2713475,"04","2014","980090","1",8.3333,
2713475,"05","2014","980090","1",8.3333,
2713475,"06","2014","980090","1",8.3333,
2713475,"04","2014","980220","2",8.3333,
2713475,"05","2014","980220","2",8.3333,
2713475,"06","2014","980220","2",8.3333,
2713475,"04","2014","980230","2",8.3333,
2713475,"05","2014","980230","2",8.3333,
2713475,"06","2014","980230","2",8.3333,
2713475,"04","2014","980283","2",8.3333,
2713475,"05","2014","980283","2",8.3333,
2713475,"06","2014","980283","2",8.3333,
2713475,"04","2014","980285","2",8.3333,
2713475,"05","2014","980285","2",8.3333,
2713475,"06","2014","980285","2",8.3333,
2713475,"04","2014","980310","2",8.3333,
2713475,"05","2014","980310","2",8.3333,
2713475,"06","2014","980310","2",8.3333,
2713475,"04","2014","980330","2",8.3333,
2713475,"05","2014","980330","2",8.3333,
2713475,"06","2014","980330","2",8.3333,
2713475,"04","2014","980350","2",8.3333,
2713475,"05","2014","980350","2",8.3333,
2713475,"06","2014","980350","2",8.3333,
2713495,"04","2014","005100","2",0.1667,
2713495,"05","2014","005100","2",0.1667,
2713495,"06","2014","005100","2",0.1667,
2713495,"04","2014","800940","2",8.25,
2713495,"05","2014","800940","2",8.25,
2713495,"06","2014","800940","2",8.25,
2713495,"04","2014","900000","2",107.4167,
2713495,"05","2014","900000","2",107.4167,
2713495,"06","2014","900000","2",107.4167,
2713495,"04","2014","900210","2",150,
2713495,"05","2014","900210","2",150,
2713495,"06","2014","900210","2",150,
2713495,"04","2014","950001","1",-75,
2713495,"05","2014","950001","1",-75,
2713495,"06","2014","950001","1",-75,
2713495,"04","2014","950011","1",-33.3333,
2713495,"05","2014","950011","1",-33.3333,
2713495,"06","2014","950011","1",-33.3333,
2713495,"04","2014","980000","2",257.4167,
2713495,"05","2014","980000","2",257.4167,
2713495,"06","2014","980000","2",257.4167,
2713495,"04","2014","980010","2",0.1667,
2713495,"05","2014","980010","2",0.1667,
2713495,"06","2014","980010","2",0.1667,
2713495,"04","2014","980020","2",1.9167,
2713495,"05","2014","980020","2",1.9167,
2713495,"06","2014","980020","2",1.9167,
2713495,"04","2014","980030","2",0.1667,
2713495,"05","2014","980030","2",0.1667,
2713495,"06","2014","980030","2",0.1667,
2713495,"04","2014","980040","2",0.0833,
2713495,"05","2014","980040","2",0.0833,
2713495,"06","2014","980040","2",0.0833,
2713495,"04","2014","980070","1",365.75,
2713495,"05","2014","980070","1",365.75,
2713495,"06","2014","980070","1",365.75,
2713495,"04","2014","980071","2",266.1667,
2713495,"05","2014","980071","2",266.1667,
2713495,"06","2014","980071","2",266.1667,
2713495,"04","2014","980220","2",8.3333,
2713495,"05","2014","980220","2",8.3333,
2713495,"06","2014","980220","2",8.3333,
2713495,"04","2014","980260","2",8.3333,
2713495,"05","2014","980260","2",8.3333,
2713495,"06","2014","980260","2",8.3333,
2713495,"04","2014","980281","2",8.3333,
2713495,"05","2014","980281","2",8.3333,
2713495,"06","2014","980281","2",8.3333,
2713495,"04","2014","980286","2",8.3333,
2713495,"05","2014","980286","2",8.3333,
2713495,"06","2014","980286","2",8.3333,
2713495,"04","2014","980300","2",8.3333,
2713495,"05","2014","980300","2",8.3333,
2713495,"06","2014","980300","2",8.3333,
2713495,"04","2014","980330","2",8.3333,
2713495,"05","2014","980330","2",8.3333,
2713495,"06","2014","980330","2",8.3333,
2713495,"04","2014","980350","2",8.3333,
2713495,"05","2014","980350","2",8.3333,
2713495,"06","2014","980350","2",8.3333,
2713515,"04","2014","900030","2",967.9167,
2713515,"05","2014","900030","2",967.9167,
2713515,"06","2014","900030","2",967.9167,
2713515,"04","2014","900150","2",60,
2713515,"05","2014","900150","2",60,
2713515,"06","2014","900150","2",60,
2713515,"04","2014","980000","2",1027.9167,
2713515,"05","2014","980000","2",1027.9167,
2713515,"06","2014","980000","2",1027.9167,
2713515,"04","2014","980010","2",0.1667,
2713515,"05","2014","980010","2",0.1667,
2713515,"06","2014","980010","2",0.1667,
2713515,"04","2014","980020","2",5.1667,
2713515,"05","2014","980020","2",5.1667,
2713515,"06","2014","980020","2",5.1667,
2713515,"04","2014","980040","2",0.1667,
2713515,"05","2014","980040","2",0.1667,
2713515,"06","2014","980040","2",0.1667,
2713515,"04","2014","980070","1",1027.9167,
2713515,"05","2014","980070","1",1027.9167,
2713515,"06","2014","980070","1",1027.9167,
