"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_","IMPNUM"
"02792005","11","2014","800940","2",152.5,,"1"
"02792005","11","2014","800940","2",152.5,,"2"
"02792005","11","2014","800940","2",152.5,,"3"
"02792005","11","2014","800940","2",152.5,,"4"
"02792005","11","2014","800940","2",152.5,,"5"
"02792005","12","2014","800940","2",152.5,,"1"
"02792005","12","2014","800940","2",152.5,,"2"
"02792005","12","2014","800940","2",152.5,,"3"
"02792005","12","2014","800940","2",152.5,,"4"
"02792005","12","2014","800940","2",152.5,,"5"
"02792005","01","2015","800940","2",152.5,,"1"
"02792005","01","2015","800940","2",152.5,,"2"
"02792005","01","2015","800940","2",152.5,,"3"
"02792005","01","2015","800940","2",152.5,,"4"
"02792005","01","2015","800940","2",152.5,,"5"
"02792005","11","2014","900000","2",1993.3333,,"1"
"02792005","11","2014","900000","2",1993.3333,,"2"
"02792005","11","2014","900000","2",1993.3333,,"3"
"02792005","11","2014","900000","2",1993.3333,,"4"
"02792005","11","2014","900000","2",1993.3333,,"5"
"02792005","12","2014","900000","2",1993.3333,,"1"
"02792005","12","2014","900000","2",1993.3333,,"2"
"02792005","12","2014","900000","2",1993.3333,,"3"
"02792005","12","2014","900000","2",1993.3333,,"4"
"02792005","12","2014","900000","2",1993.3333,,"5"
"02792005","01","2015","900000","2",1993.3333,,"1"
"02792005","01","2015","900000","2",1993.3333,,"2"
"02792005","01","2015","900000","2",1993.3333,,"3"
"02792005","01","2015","900000","2",1993.3333,,"4"
"02792005","01","2015","900000","2",1993.3333,,"5"
"02792005","11","2014","980000","2",1993.3333,,"1"
"02792005","11","2014","980000","2",1993.3333,,"2"
"02792005","11","2014","980000","2",1993.3333,,"3"
"02792005","11","2014","980000","2",1993.3333,,"4"
"02792005","11","2014","980000","2",1993.3333,,"5"
"02792005","12","2014","980000","2",1993.3333,,"1"
"02792005","12","2014","980000","2",1993.3333,,"2"
"02792005","12","2014","980000","2",1993.3333,,"3"
"02792005","12","2014","980000","2",1993.3333,,"4"
"02792005","12","2014","980000","2",1993.3333,,"5"
"02792005","01","2015","980000","2",1993.3333,,"1"
"02792005","01","2015","980000","2",1993.3333,,"2"
"02792005","01","2015","980000","2",1993.3333,,"3"
"02792005","01","2015","980000","2",1993.3333,,"4"
"02792005","01","2015","980000","2",1993.3333,,"5"
"02792005","11","2014","980071","2",1788,,"1"
"02792005","11","2014","980071","2",1788,,"2"
"02792005","11","2014","980071","2",1788,,"3"
"02792005","11","2014","980071","2",1788,,"4"
"02792005","11","2014","980071","2",1788,,"5"
"02792005","12","2014","980071","2",1788,,"1"
"02792005","12","2014","980071","2",1788,,"2"
"02792005","12","2014","980071","2",1788,,"3"
"02792005","12","2014","980071","2",1788,,"4"
"02792005","12","2014","980071","2",1788,,"5"
"02792005","01","2015","980071","2",1788,,"1"
"02792005","01","2015","980071","2",1788,,"2"
"02792005","01","2015","980071","2",1788,,"3"
"02792005","01","2015","980071","2",1788,,"4"
"02792005","01","2015","980071","2",1788,,"5"
"02792065","11","2014","800940","2",350.6667,,"1"
"02792065","11","2014","800940","2",350.6667,,"2"
"02792065","11","2014","800940","2",350.6667,,"3"
"02792065","11","2014","800940","2",350.6667,,"4"
"02792065","11","2014","800940","2",350.6667,,"5"
"02792065","12","2014","800940","2",350.6667,,"1"
"02792065","12","2014","800940","2",350.6667,,"2"
"02792065","12","2014","800940","2",350.6667,,"3"
"02792065","12","2014","800940","2",350.6667,,"4"
"02792065","12","2014","800940","2",350.6667,,"5"
"02792065","01","2015","800940","2",350.6667,,"1"
"02792065","01","2015","800940","2",350.6667,,"2"
"02792065","01","2015","800940","2",350.6667,,"3"
"02792065","01","2015","800940","2",350.6667,,"4"
"02792065","01","2015","800940","2",350.6667,,"5"
"02792065","11","2014","900000","2",4583.3333,,"1"
"02792065","11","2014","900000","2",4583.3333,,"2"
"02792065","11","2014","900000","2",4583.3333,,"3"
"02792065","11","2014","900000","2",4583.3333,,"4"
"02792065","11","2014","900000","2",4583.3333,,"5"
"02792065","12","2014","900000","2",4583.3333,,"1"
"02792065","12","2014","900000","2",4583.3333,,"2"
"02792065","12","2014","900000","2",4583.3333,,"3"
"02792065","12","2014","900000","2",4583.3333,,"4"
"02792065","12","2014","900000","2",4583.3333,,"5"
"02792065","01","2015","900000","2",4583.3333,,"1"
"02792065","01","2015","900000","2",4583.3333,,"2"
"02792065","01","2015","900000","2",4583.3333,,"3"
"02792065","01","2015","900000","2",4583.3333,,"4"
"02792065","01","2015","900000","2",4583.3333,,"5"
"02792065","11","2014","980000","2",4583.3333,,"1"
"02792065","11","2014","980000","2",4583.3333,,"2"
"02792065","11","2014","980000","2",4583.3333,,"3"
"02792065","11","2014","980000","2",4583.3333,,"4"
"02792065","11","2014","980000","2",4583.3333,,"5"
"02792065","12","2014","980000","2",4583.3333,,"1"
"02792065","12","2014","980000","2",4583.3333,,"2"
"02792065","12","2014","980000","2",4583.3333,,"3"
"02792065","12","2014","980000","2",4583.3333,,"4"
"02792065","12","2014","980000","2",4583.3333,,"5"
"02792065","01","2015","980000","2",4583.3333,,"1"
"02792065","01","2015","980000","2",4583.3333,,"2"
"02792065","01","2015","980000","2",4583.3333,,"3"
"02792065","01","2015","980000","2",4583.3333,,"4"
"02792065","01","2015","980000","2",4583.3333,,"5"
"02792065","11","2014","980071","2",3784.8333,,"1"
"02792065","11","2014","980071","2",3784.8333,,"2"
"02792065","11","2014","980071","2",3784.8333,,"3"
"02792065","11","2014","980071","2",3784.8333,,"4"
"02792065","11","2014","980071","2",3784.8333,,"5"
"02792065","12","2014","980071","2",3784.8333,,"1"
"02792065","12","2014","980071","2",3784.8333,,"2"
"02792065","12","2014","980071","2",3784.8333,,"3"
"02792065","12","2014","980071","2",3784.8333,,"4"
"02792065","12","2014","980071","2",3784.8333,,"5"
"02792065","01","2015","980071","2",3784.8333,,"1"
"02792065","01","2015","980071","2",3784.8333,,"2"
"02792065","01","2015","980071","2",3784.8333,,"3"
"02792065","01","2015","980071","2",3784.8333,,"4"
"02792065","01","2015","980071","2",3784.8333,,"5"
"02792075","11","2014","800940","2",149.8333,,"1"
"02792075","11","2014","800940","2",149.8333,,"2"
"02792075","11","2014","800940","2",149.8333,,"3"
"02792075","11","2014","800940","2",149.8333,,"4"
"02792075","11","2014","800940","2",149.8333,,"5"
"02792075","12","2014","800940","2",149.8333,,"1"
"02792075","12","2014","800940","2",149.8333,,"2"
"02792075","12","2014","800940","2",149.8333,,"3"
"02792075","12","2014","800940","2",149.8333,,"4"
"02792075","12","2014","800940","2",149.8333,,"5"
"02792075","01","2015","800940","2",149.8333,,"1"
"02792075","01","2015","800940","2",149.8333,,"2"
"02792075","01","2015","800940","2",149.8333,,"3"
"02792075","01","2015","800940","2",149.8333,,"4"
"02792075","01","2015","800940","2",149.8333,,"5"
