"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20161","03096924",1,0,"1",.,"A",.,"A"
"20161","03099164",15,0,"1",.,"A",42,"D"
"20161","03102404",6,0,"1",.,"A",20,"D"
"20161","03108354",1,0,"1",.,"A",.,"A"
"20161","03145064",15,0,"1",.,"A",60,"D"
"20161","03145894",3,0,"1",934,"F",.,"A"
"20161","03149144",1,0,"1",.,"A",.,"A"
"20161","03149814",1,0,"1",.,"A",.,"A"
"20161","03152214",2,0,"1",200,"D",.,"A"
"20161","03152754",2,0,"1",.,"A",.,"A"
"20161","03164404",1,0,"1",.,"A",.,"A"
"20161","03165424",1,0,"1",.,"A",.,"A"
"20161","03166264",4,0,"1",.,"A",800,"D"
"20161","03168324",8,0,"1",.,"A",35,"D"
"20161","03172774",17,0,"1",.,"A",126,"D"
"20161","03188873",13,0,"1",2250,"D",.,"A"
"20161","03206063",8,0,"1",.,"A",260,"D"
"20161","03206743",8,0,"1",.,"A",100,"D"
"20161","03210333",12,0,"1",.,"A",10,"D"
"20161","03210603",19,0,"1",.,"A",75,"D"
"20161","03215773",23,0,"1",.,"A",25,"D"
"20161","03227653",1,0,"1",.,"A",.,"A"
"20161","03228543",27,0,"1",.,"A",12,"D"
"20161","03230723",1,0,"1",.,"A",.,"A"
"20161","03232853",1,0,"1",.,"A",.,"A"
"20161","03235943",2,0,"1",.,"A",30,"D"
"20161","03238223",12,0,"1",.,"A",375,"D"
"20161","03249202",8,0,"1",.,"A",200,"D"
"20161","03249232",1,0,"1",.,"A",.,"A"
"20161","03249872",7,0,"1",.,"A",50,"D"
"20161","03251682",1,0,"1",.,"A",.,"A"
"20161","03257242",1,0,"1",.,"A",.,"A"
"20161","03259142",1,0,"1",.,"A",.,"A"
"20161","03259282",5,0,"1",.,"A",450,"D"
"20161","03273472",1,0,"1",420,"D",.,"A"
"20161","03274532",5,0,"1",.,"A",0,"D"
"20161","03275362",2,0,"1",.,"A",100,"D"
"20161","03275422",21,0,"1",158,"D",.,"A"
"20161","03275692",1,0,"1",.,"A",.,"A"
"20161","03296962",1,0,"1",.,"A",.,"A"
"20161","03300792",10,0,"1",.,"A",110,"D"
"20161","03301112",19,0,"1",550,"D",.,"A"
"20161","03302712",12,0,"1",.,"A",21,"D"
"20161","03302832",13,0,"1",.,"A",100,"D"
"20161","03325291",1,0,"1",.,"A",.,"A"
"20161","03326674",43,0,"1",540,"D",.,"A"
"20161","03327071",1,0,"1",.,"A",.,"A"
"20161","03330581",5,0,"1",100,"D",.,"A"
"20161","03331511",6,0,"1",.,"A",2000,"D"
"20161","03332041",22,0,"1",.,"A",50,"D"
"20161","03332851",9,0,"1",.,"A",75,"D"
"20161","03334571",6,0,"1",411,"D",.,"A"
"20161","03336363",15,0,"1",.,"A",0,"D"
"20161","03337731",2,0,"1",4910,"D",.,"A"
"20161","03337891",2,0,"1",0,"D",.,"A"
"20161","03343031",1,0,"1",.,"A",.,"A"
"20161","03343911",1,0,"1",.,"A",.,"A"
"20161","03344631",10,0,"1",600,"D",.,"A"
"20161","03346731",7,0,"1",.,"A",35,"D"
"20161","03350881",8,0,"1",.,"A",30,"D"
"20161","03352601",1,0,"1",.,"A",.,"A"
"20161","03352821",1,0,"1",.,"A",.,"A"
"20161","03354341",14,0,"1",.,"A",150,"D"
"20162","03187284",6,0,"1",294,"D",.,"A"
"20162","03187554",17,0,"1",.,"A",6,"D"
"20162","03187994",16,0,"1",.,"A",800,"D"
"20162","03188064",19,0,"1",.,"A",45,"D"
"20162","03192364",3,0,"1",407,"F",.,"A"
"20162","03195624",16,0,"1",.,"A",80,"D"
"20162","03207154",12,0,"1",.,"A",110,"D"
"20162","03207214",2,0,"1",.,"A",.,"A"
"20162","03207284",2,0,"1",0,"D",.,"A"
"20162","03209124",17,0,"1",.,"A",25,"D"
"20162","03209814",14,0,"1",.,"A",100,"D"
"20162","03212154",6,0,"1",.,"A",418,"D"
"20162","03227124",6,0,"1",.,"A",50,"D"
"20162","03233944",22,0,"1",.,"A",125,"D"
"20162","03235884",17,0,"1",.,"A",424,"D"
"20162","03238084",4,0,"1",.,"A",15,"D"
"20162","03238224",4,0,"1",.,"A",0,"D"
"20162","03249233",1,0,"1",.,"A",.,"A"
"20162","03249873",7,0,"1",.,"A",135,"D"
"20162","03250803",2,0,"1",981,"D",.,"A"
"20162","03253333",8,0,"1",.,"A",30,"D"
"20162","03257483",1,0,"1",.,"A",.,"A"
"20162","03272003",4,0,"1",.,"A",35,"D"
"20162","03272213",2,0,"1",236,"D",.,"A"
"20162","03273533",1,0,"1",.,"A",.,"A"
"20162","03275693",1,0,"1",.,"A",.,"A"
"20162","03294343",23,0,"1",600,"D",.,"A"
"20162","03294543",1,0,"1",.,"A",.,"A"
"20162","03295933",2,0,"1",600,"D",.,"A"
"20162","03299483",10,0,"1",.,"A",30,"D"
"20162","03299703",10,0,"1",0,"D",.,"A"
"20162","03325582",5,0,"1",.,"A",80,"D"
"20162","03328832",2,0,"1",.,"A",500,"D"
"20162","03328852",12,0,"1",.,"A",500,"D"
"20162","03330582",9,0,"1",200,"D",.,"A"
"20162","03331202",2,0,"1",.,"A",.,"A"
"20162","03331512",17,0,"1",.,"A",2000,"D"
"20162","03333302",4,0,"1",539,"D",.,"A"
"20162","03335702",3,0,"1",.,"A",10,"D"
"20162","03337842",1,0,"1",.,"A",.,"A"
"20162","03341632",4,0,"1",.,"A",150,"D"
"20162","03343212",3,0,"1",0,"D",.,"A"
"20162","03345142",14,0,"1",.,"A",46,"D"
"20162","03347712",7,0,"1",.,"A",500,"D"
"20162","03348302",3,0,"1",310,"F",.,"A"
"20162","03348572",7,0,"1",396,"F",.,"A"
"20162","03354122",3,0,"1",350,"D",.,"A"
"20162","03354342",18,0,"1",.,"A",80,"D"
"20162","03355222",20,0,"1",714,"D",.,"A"
"20162","03356292",3,0,"1",.,"A",100,"D"
"20162","03387441",3,0,"1",.,"A",200,"D"
"20162","03388401",5,0,"1",.,"A",.,"A"
"20162","03388891",10,0,"1",.,"A",100,"D"
"20162","03391261",1,0,"1",.,"A",.,"A"
"20162","03391531",2,0,"1",.,"A",.,"A"
"20162","03392101",1,0,"1",.,"A",.,"A"
"20162","03393811",12,0,"1",.,"A",1370,"D"
"20162","03396361",4,0,"1",300,"D",.,"A"
"20162","03408583",3,0,"1",.,"A",.,"A"
"20162","03408861",9,0,"1",25,"D",.,"A"
"20162","03410361",5,0,"1",.,"A",0,"D"
"20162","03410811",3,0,"1",.,"A",.,"A"
"20162","03413711",1,0,"1",.,"A",.,"A"
"20162","03416101",13,0,"1",180,"D",.,"A"
"20162","03417101",21,0,"1",.,"A",2000,"D"
"20162","03417733",1,0,"1",.,"A",.,"A"
"20162","03418531",19,0,"1",321,"D",.,"A"
"20162","03418571",5,0,"1",420,"D",.,"A"
"20162","03420621",1,0,"1",.,"A",.,"A"
"20162","03422081",14,0,"1",.,"A",56,"D"
"20162","03422171",17,0,"1",0,"D",.,"A"
"20162","03422321",8,0,"1",450,"D",0,"D"
"20162","03424521",1,0,"1",.,"A",.,"A"
"20162","03428481",2,0,"1",.,"A",14,"D"
"20162","03429061",4,0,"1",.,"A",775,"D"
"20163","03250294",12,0,"1",.,"A",60,"D"
"20163","03250804",2,0,"1",900,"D",.,"A"
"20163","03251444",1,0,"1",.,"A",.,"A"
"20163","03253224",4,0,"1",.,"A",1000,"D"
"20163","03256884",13,0,"1",.,"A",9000,"D"
"20163","03259584",5,0,"1",87,"D",.,"A"
"20163","03270544",4,0,"1",191,"D",.,"A"
"20163","03273474",2,0,"1",601,"D",.,"A"
"20163","03274154",21,0,"1",.,"A",58,"D"
"20163","03274314",3,0,"1",506,"D",.,"A"
"20163","03274494",15,0,"1",.,"A",300,"D"
"20163","03275694",1,0,"1",.,"A",.,"A"
"20163","03276444",1,0,"1",.,"A",.,"A"
"20163","03280404",2,0,"1",1416,"D",.,"A"
"20163","03292904",8,0,"1",.,"A",2000,"D"
"20163","03294824",11,0,"1",.,"A",125,"D"
"20163","03295834",15,0,"1",.,"A",450,"D"
"20163","03298844",6,0,"1",.,"A",300,"D"
"20163","03301104",1,0,"1",.,"A",.,"A"
"20163","03327483",1,0,"1",.,"A",.,"A"
"20163","03329433",3,0,"1",.,"A",360,"D"
"20163","03332533",5,0,"1",.,"A",637,"F"
"20163","03332683",20,0,"1",.,"A",0,"D"
"20163","03336903",19,0,"1",.,"A",0,"D"
"20163","03337843",1,0,"1",.,"A",.,"A"
"20163","03343923",6,0,"1",.,"A",20,"D"
"20163","03344743",2,0,"1",.,"A",.,"A"
"20163","03345093",17,0,"1",.,"A",500,"D"
"20163","03345193",9,0,"1",.,"A",100,"D"
"20163","03347273",10,0,"1",.,"A",200,"D"
