"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYB","VEHICYB_","VEHICYR","VEHICYR_","VEHBSNZ","VEHBSNZ_","VEHNEWU","VEHNEWU_","VEHGFTC","VEHGFTC_","VEHPURMO","VEHP_RMO","VEHPURYR","VEHP_RYR","VFINSTAT","VFIN_TAT","TRADEX","TRADEX_","NETPURX","NETPURX_","DNPAYMTX","DNPA_MTX","PRINCIPX","PRIN_IPX","VEHQPMT","VEHQPMT_","PMT1MO","PMT1MO_","PMT1YR","PMT1YR_","PAYMENTX","PAYM_NTX","QINTRSTZ","QINT_STZ","QLOANM1Q","QLOA_M1Q","QBALNM1X","QBAL_M1X","QVINTM1X","QVIN_M1X","QVPRIM1X","QVPR_M1X","QLOANM2Q","QLOA_M2Q","QBALNM2X","QBAL_M2X","QVINTM2X","QVIN_M2X","QVPRIM2X","QVPR_M2X","QLOANM3Q","QLOA_M3Q","QBALNM3X","QBAL_M3X","QVINTM3X","QVIN_M3X","QVPRIM3X","QVPR_M3X","QTRADEX","QTRADEX_","QREIMBRZ","QREI_BRZ","QADITR1X","QADI_R1X","QADITR2X","QADI_R2X","QADITR3X","QADI_R3X","QDNPYMTX","QDNP_MTX","VEHEQTLN","VEHE_TLN","VEHICIB","VEHICIB_","MAKE","MAKE_","VFINANCE","FUELTYPE","FUEL_YPE","VPURINDV","VPUR_NDV","VINTRATE","VINT_ATE"
"20161","03088724",13,0,"5","100","D","25","D",.,"A","2","D","1","D","01","D","2015","D","2","D",.,"A",12000,"D",0,"D",10219,"D",30,"D","01","D","2015","D",360,"D",0.043,"D",10,"D",7266,"D",26,"D",334,"D",11,"D",6933,"D",25,"D",335,"D",12,"D",6597,"D",24,"D",336,"D",12000,"D",.,"A",26,"D",25,"D",24,"D",0,"D","2","D","01","D","CHR","D","1","1","D","2","D",0.21,"D"
"20161","03088724",14,0,"5","100","D","33","D",.,"A","1","D","1","D","10","D","2012","D","2","D",.,"A",27000,"D",1000,"D",37566,"D",84,"D","11","D","2012","D",522,"D",0.045,"D",36,"D",23340,"D",88,"D",434,"D",37,"D",22906,"D",86,"D",436,"D",38,"D",22469,"D",84,"D",438,"D",27000,"D",.,"A",88,"D",86,"D",84,"D",1000,"D","2","D","02","D","DOD","D","1","1","D","2","D",0.18,"D"
"20161","03088744",22,0,"5","100","D","32","D",.,"A","1","D","1","D","09","D","2011","D","2","D",.,"A",18126,"D",0,"D",18000,"D",60,"D","10","D","2011","D",330,"D",0.038,"D",49,"D",3872,"D",12,"D",318,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",18126,"D",.,"A",12,"D",.,"A",.,"A",0,"D","2","D","01","D","VOK","D","1","1","D","2","D",0.02,"D"
"20161","03088744",23,0,"1","100","D","36","D",.,"A","1","D","1","D","10","D","2015","D","2","D",5000,"D",16569,"D",389,"D",15569,"D",36,"D","11","D","2015","D",442,"D",0.014,"D",.,"A",.,"A",.,"A",.,"A",1,"D",15569,"D",18,"D",424,"D",2,"D",15145,"D",18,"D",424,"D",16569,"D",.,"A",.,"A",18,"D",18,"D",389,"D","2","D","02","D","VOK","D","1","1","D","2","D",0.019,"D"
"20161","03088894",31,0,"5","110","D","20","D",.,"A","1","D","1","D","06","D","2000","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","01","D","PON","D","1","1","D","2","D",.,"A"
"20161","03088894",32,0,"5","100","D","30","D",.,"A","2","D","1","D","07","D","2014","D","2","D",300,"D",14000,"D",0,"D",17886,"D",60,"D","07","D","2014","D",335,"D",0.047,"D",16,"D",13801,"D",54,"D",281,"D",17,"D",13520,"D",53,"D",282,"D",18,"D",13238,"D",52,"D",283,"D",14000,"D",.,"A",54,"D",53,"D",52,"D",0,"D","2","D","02","D","DOD","D","1","1","D","2","D",0.12,"D"
"20161","03088894",33,0,"5","110","D","29","D",.,"A","2","D","1","D","06","D","2010","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","03","D","DOD","D","1","1","D","2","D",0.12,"D"
"20161","03088954",46,0,"5","100","D","01","D",.,"A","2","D","1","D","06","D","2009","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","01","D","CAD","D","2","1","D","1","D",.,"A"
"20161","03088954",47,0,"5","100","D","28","D",.,"A","2","D","1","D","06","D","2013","D","2","D",.,"A",15000,"D",0,"D",.,"B",.,"B",,"B",,"B",.,"B",.,"B",.,"B",.,"B",.,"B",258,"F",.,"B",.,"B",.,"B",260,"F",.,"B",.,"B",.,"B",261,"F",15000,"D",.,"A",97,"F",95,"F",94,"F",0,"D","2","D","02","D","HON","D","1","1","D","1","D",0,"D"
"20161","03088954",48,0,"5","200","D",,"A",.,"A","1","D","1","D","06","D","2008","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","03","D",,"A","2",,"A","2","D",.,"A"
