"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20161","03090494",22,0,"1","105","D",.,"A",1100,"D","1","D"
"20161","03090914",35,0,"1","105","D",.,"A",53,"D","1","D"
"20161","03090914",36,0,"1","105","D",.,"A",62,"D","1","D"
"20161","03091164",16,0,"1","105","D",.,"A",256,"D","2","D"
"20161","03091594",50,0,"1","105","D",.,"A",45,"D","2","D"
"20161","03093284",20,0,"1","105","D",.,"A",294,"D","2","D"
"20161","03093834",39,0,"1","105","D",.,"A",229,"D","1","D"
"20161","03097834",58,0,"1","105","D",.,"A",120,"D","1","D"
"20161","03098114",29,0,"1","105","D",.,"A",1000,"D","1","D"
"20161","03101304",17,0,"1","105","D",.,"A",400,"D","1","D"
"20161","03106354",24,0,"1","105","D",.,"A",7,"D","1","D"
"20161","03106684",34,0,"1","105","D",.,"A",128,"D","1","D"
"20161","03106794",21,0,"1","105","D",.,"A",80,"D","1","D"
"20161","03108454",57,0,"1","105","D",.,"A",72,"D","1","D"
"20161","03108454",58,0,"1","105","D",.,"A",295,"D","1","D"
"20161","03108974",21,0,"1","105","D",.,"A",1000,"D","2","D"
"20161","03110044",33,0,"1","105","D",.,"A",200,"D","1","D"
"20161","03110174",45,0,"1","105","D",.,"A",75,"D","1","D"
"20161","03110974",34,0,"1","105","D",.,"A",275,"D","2","D"
"20161","03144984",26,0,"1","105","D",.,"A",180,"D","1","D"
"20161","03145064",37,0,"1","105","D",.,"A",312,"D","1","D"
"20161","03146424",23,0,"1","105","D",.,"A",328,"D","1","D"
"20161","03147764",995,0,"1","200","D",.,"A",300,"D",,"B"
"20161","03148284",47,0,"1","105","D",.,"A",70,"D","2","D"
"20161","03148484",46,0,"1","105","D",.,"A",356,"D","1","D"
"20161","03149474",14,0,"1","105","D",.,"A",200,"D","1","D"
"20161","03149544",41,0,"1","105","D",.,"A",18,"D","2","D"
"20161","03149874",32,0,"1","105","D",.,"A",165,"D","2","D"
"20161","03150014",37,0,"1","105","D",.,"A",450,"D","1","D"
"20161","03150954",29,0,"1","105","D",.,"A",80,"D","1","D"
"20161","03150974",47,0,"1","105","D",.,"A",30,"D","2","D"
"20161","03151024",12,0,"1","105","D",.,"A",337,"F","2","D"
"20161","03151314",14,0,"1","105","D",.,"A",80,"D","1","D"
"20161","03152134",52,0,"1","180","D",.,"A",250,"D","1","D"
"20161","03152744",11,0,"1","105","D",.,"A",300,"D","1","D"
"20161","03165854",23,0,"1","105","D",.,"A",200,"D","2","D"
"20161","03166284",25,0,"1","105","D",.,"A",482,"D","2","D"
"20161","03166404",90,0,"1","105","D",.,"A",900,"D","1","D"
"20161","03166814",30,0,"1","105","D",.,"A",89,"D","1","D"
"20161","03166854",37,0,"1","105","D",.,"A",160,"D","1","D"
"20161","03167004",37,0,"1","105","D",.,"A",780,"D","1","D"
"20161","03167144",14,0,"1","105","D",.,"A",297,"F","1","D"
"20161","03167834",47,0,"1","105","D",.,"A",122,"D","1","D"
"20161","03168874",30,0,"1","105","D",.,"A",50,"D","1","D"
"20161","03169084",57,0,"1","105","D",.,"A",217,"D","1","D"
"20161","03169264",40,0,"1","105","D",.,"A",370,"D","1","D"
"20161","03169284",36,0,"1","105","D",.,"A",200,"D","2","D"
"20161","03169364",40,0,"1","105","D",.,"A",230,"D","2","D"
"20161","03170534",33,0,"1","105","D",.,"A",480,"D","1","D"
"20161","03170534",34,0,"1","105","D",.,"A",50,"D","1","D"
"20161","03170744",31,0,"1","105","D",.,"A",450,"D","1","D"
"20161","03171924",35,0,"1","105","D",1,"D",0,"D","1","D"
"20161","03172194",23,0,"1","105","D",.,"A",10,"D","2","D"
"20161","03172654",24,0,"1","105","D",.,"A",240,"D","2","D"
"20161","03173184",58,0,"1","105","D",.,"A",350,"D","2","D"
"20161","03173264",42,0,"1","105","D",.,"A",850,"D","1","D"
"20161","03173474",16,0,"1","105","D",.,"A",400,"D","1","D"
"20161","03173874",69,0,"1","105","D",.,"A",150,"D","1","D"
"20161","03184723",38,0,"1","105","D",.,"A",110,"D","2","D"
"20161","03186093",55,0,"1","105","D",.,"A",180,"D","2","D"
"20161","03186403",14,0,"1","105","D",.,"A",1,"D","2","D"
"20161","03186923",23,0,"1","105","D",.,"A",1000,"D","1","D"
"20161","03186943",38,0,"1","105","D",.,"A",10,"D","1","D"
"20161","03187063",34,0,"1","105","D",.,"A",300,"D","1","D"
"20161","03187343",21,0,"1","200","D",.,"A",150,"D","2","D"
"20161","03190103",31,0,"1","105","D",.,"A",140,"D","1","D"
"20161","03190103",32,0,"1","105","D",.,"A",70,"D","1","D"
"20161","03190873",52,0,"1","105","D",.,"A",520,"D","2","D"
"20161","03190943",21,0,"1","105","D",.,"A",309,"D","1","D"
"20161","03191463",41,0,"1","105","D",.,"A",300,"D","1","D"
"20161","03191463",42,0,"1","105","D",.,"A",290,"F","2","D"
"20161","03191913",44,0,"1","105","D",.,"A",290,"F","1","D"
"20161","03194003",24,0,"1","105","D",.,"A",30,"D","2","D"
"20161","03194543",34,0,"1","105","D",.,"A",60,"D","1","D"
"20161","03195443",24,0,"1","105","D",.,"A",70,"D","1","D"
"20161","03207153",18,0,"1","105","D",.,"A",360,"D","1","D"
"20161","03207493",21,0,"1","105","D",.,"A",150,"D","1","D"
"20161","03207823",48,0,"1","105","D",.,"A",500,"D","1","D"
"20161","03208083",20,0,"1","105","D",.,"A",1,"D","1","D"
"20161","03208083",21,0,"1","105","D",.,"A",1,"D","2","D"
"20161","03209533",19,0,"1","105","D",.,"A",400,"D","1","D"
"20161","03209703",28,0,"1","105","D",.,"A",175,"D","1","D"
"20161","03209913",15,0,"1","105","D",.,"A",220,"D","1","D"
"20161","03210093",56,0,"1","105","D",.,"A",60,"D","1","D"
"20161","03210703",29,0,"1","105","D",.,"A",190,"D","2","D"
"20161","03211363",17,0,"1","105","D",.,"A",200,"D","1","D"
"20161","03211503",32,0,"1","105","D",.,"A",1,"D","1","D"
"20161","03211553",56,0,"1","105","D",.,"A",280,"D","1","D"
"20161","03211553",57,0,"1","105","D",.,"A",267,"D","1","D"
"20161","03212133",49,0,"1","105","D",.,"A",800,"D","1","D"
"20161","03212303",38,0,"1","105","D",.,"A",40,"D","2","D"
