"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_","TICPURCH"
"20161","03088744",25,0,"1","500","D","2","D",318,"D","12","D",
"20161","03088744",26,0,"1","510","D","2","D",40,"D","12","D",
"20161","03088744",27,0,"2","310","D","1","D",12,"D","10","D",
"20161","03088894",34,0,"1","320","D","1","D",5,"D","10","D",
"20161","03088894",35,0,"1","320","D","1","D",5,"D","11","D",
"20161","03088894",36,0,"1","320","D","1","D",5,"D","12","D",
"20161","03088894",37,0,"1","360","D","1","D",8,"D","13","D",
"20161","03088894",38,0,"1","370","D","2","D",120,"D","12","D",
"20161","03088954",49,0,"1","330","D","1","D",13,"D","13","D",
"20161","03088954",50,0,"1","360","D","1","D",8,"D","13","D",
"20161","03089124",9,0,"1","600","D","1","D",76,"D","10","D",
"20161","03089134",57,0,"1","830","D","1","D",40,"D","13","D",
"20161","03089134",58,0,"1","950","D","1","D",172,"D","11","D",
"20161","03089134",59,0,"1","820","D","1","D",95,"D","12","D",
"20161","03089134",60,0,"1","500","D","1","D",57,"D","12","D",
"20161","03089134",61,0,"1","510","D","1","D",46,"D","10","D",
"20161","03089134",62,0,"1","160","D","1","D",4,"D","10","D",
"20161","03089134",63,0,"1","160","D","1","D",6,"D","12","D",
"20161","03089134",64,0,"1","360","D","1","D",17,"D","13","D",
"20161","03089164",72,0,"1","840","D","1","D",72,"D","10","D",
"20161","03089164",73,0,"1","840","D","1","D",100,"D","10","D",
"20161","03089164",74,0,"1","510","D","1","D",10,"D","11","D",
"20161","03089164",75,0,"1","510","D","1","D",10,"D","12","D",
"20161","03089164",76,0,"1","510","D","1","D",52,"D","12","D",
"20161","03089164",77,0,"1","320","D","1","D",30,"D","12","D",
"20161","03089164",78,0,"1","350","D","1","D",20,"D","13","D",
"20161","03089204",124,0,"1","830","D","1","D",40,"D","13","D",
"20161","03089204",125,0,"1","820","D","1","D",140,"D","12","D",
"20161","03089204",126,0,"1","820","D","1","D",120,"D","12","D",
"20161","03089204",127,0,"1","510","D","1","D",21,"D","12","D",
"20161","03089204",128,0,"1","160","D","1","D",4,"D","11","D",
"20161","03089204",129,0,"1","210","D","1","D",100,"D","12","D",
"20161","03089204",130,0,"1","210","D","1","D",12,"D","12","D",
"20161","03089204",131,0,"1","210","D","1","D",11,"D","12","D",
"20161","03089204",132,0,"1","310","D","1","D",25,"D","11","D",
"20161","03089204",133,0,"1","330","D","1","D",6,"D","12","D",
"20161","03089204",134,0,"1","360","D","1","D",9,"D","13","D",
"20161","03089204",135,0,"1","410","D","1","D",30,"D","10","D",
"20161","03089204",136,0,"1","410","D","1","D",30,"D","11","D",
"20161","03089204",137,0,"1","410","D","1","D",30,"D","12","D",
"20161","03089204",138,0,"1","410","D","1","D",30,"D","12","D",
"20161","03089204",139,0,"1","410","D","1","D",96,"D","12","D",
"20161","03089204",140,0,"1","410","D","1","D",70,"D","11","D",
"20161","03089204",141,0,"1","410","D","1","D",360,"D","12","D",
"20161","03089204",142,0,"1","410","D","1","D",31,"D","12","D",
"20161","03089204",143,0,"1","410","D","1","D",17,"D","12","D",
"20161","03089204",144,0,"1","410","D","1","D",11,"D","12","D",
"20161","03089204",145,0,"1","410","D","1","D",95,"D","12","D",
"20161","03089204",146,0,"2","840","D","1","D",99,"D","10","D",
"20161","03089204",147,0,"2","410","D","1","D",15,"D","10","D",
"20161","03089204",148,0,"2","410","D","1","D",15,"D","10","D",
"20161","03089224",18,0,"1","950","D","1","D",349,"D","12","D",
"20161","03089304",20,0,"1","360","D","1","D",9,"D","13","D",
"20161","03089444",20,0,"1","840","D","1","D",99,"D","12","D",
"20161","03089444",21,0,"1","360","D","1","D",15,"D","13","D",
"20161","03089654",44,0,"1","210","D","1","D",40,"D","10","D",
"20161","03089654",45,0,"1","340","D","1","D",10,"D","12","D",
"20161","03089654",46,0,"1","360","D","1","D",8,"D","13","D",
"20161","03089654",47,0,"1","360","D","1","D",9,"D","13","D",
"20161","03089654",48,0,"1","370","D","1","D",270,"D","11","D",
"20161","03089794",40,0,"1","510","D","1","D",45,"D","12","D",
"20161","03089794",41,0,"1","360","D","1","D",21,"D","13","D",
"20161","03089814",21,0,"1","360","D","1","D",7,"D","13","D",
"20161","03089964",21,0,"1","510","D","1","D",25,"D","12","D",
"20161","03090224",32,0,"1","610","D","1","D",75,"D","10","D",
"20161","03090224",33,0,"1","610","D","1","D",75,"D","11","D",
"20161","03090224",34,0,"1","610","D","1","D",75,"D","12","D",
"20161","03090224",35,0,"1","500","D","1","D",55,"D","12","D",
"20161","03090224",36,0,"1","360","D","1","D",13,"D","13","D",
"20161","03090234",15,0,"1","200","D","1","D",48,"D","11","D",
"20161","03090244",54,0,"1","820","D","1","D",95,"D","12","D",
"20161","03090244",55,0,"1","210","D","2","D",15,"D","12","D",
"20161","03090244",56,0,"1","510","D","1","D",18,"D","12","D",
"20161","03090244",57,0,"1","600","D","1","D",111,"D","12","D",
"20161","03090244",58,0,"1","350","D","1","D",2,"D","11","D",
"20161","03090244",59,0,"1","370","D","1","D",9,"D","12","D",
"20161","03090244",60,0,"1","370","D","1","D",10,"D","11","D",
"20161","03090244",61,0,"1","360","D","1","D",9,"D","13","D",
"20161","03090244",62,0,"1","360","D","1","D",8,"D","13","D",
"20161","03090244",63,0,"2","320","D","1","D",1,"D","10","D",
"20161","03090294",29,0,"1","840","D","1","D",99,"D","11","D",
"20161","03090294",30,0,"1","350","D","1","D",8,"D","10","D",
"20161","03090294",31,0,"1","350","D","1","D",8,"D","11","D",
"20161","03090294",32,0,"1","350","D","1","D",8,"D","12","D",
"20161","03090294",33,0,"2","150","D","1","D",6,"D","10","D",
"20161","03090314",31,0,"1","830","D","1","D",63,"D","13","D",
"20161","03090314",32,0,"1","510","D","2","D",60,"D","12","D",
"20161","03090314",33,0,"1","210","D","1","D",23,"D","12","D",
"20161","03090314",34,0,"1","320","D","1","D",28,"D","12","D",
"20161","03090494",23,0,"1","510","D","1","D",75,"D","11","D",
"20161","03090494",24,0,"1","350","D","1","D",5,"D","10","D",
"20161","03090534",50,0,"1","810","D","1","D",50,"D","12","D",
"20161","03090534",51,0,"1","320","D","1","D",35,"D","10","D",
"20161","03090574",25,0,"1","610","D","1","D",140,"D","12","D",
"20161","03090574",26,0,"1","600","D","1","D",200,"D","11","D",
"20161","03090574",27,0,"2","610","D","1","D",200,"D","10","D",
"20161","03090674",16,0,"1","320","D","1","D",30,"D","10","D",
"20161","03090674",17,0,"1","360","D","1","D",10,"D","13","D",
"20161","03090694",14,0,"1","360","D","1","D",9,"D","13","D",
"20161","03090724",33,0,"1","820","D","1","D",150,"D","12","D",
"20161","03090724",34,0,"1","510","D","1","D",50,"D","11","D",
"20161","03090724",35,0,"1","360","D","1","D",25,"D","13","D",
"20161","03090834",32,0,"1","310","D","1","D",20,"D","12","D",
"20161","03090834",33,0,"1","350","D","1","D",10,"D","12","D",
"20161","03090914",39,0,"1","830","D","1","D",20,"D","13","D",
"20161","03090914",40,0,"1","210","D","2","D",32,"D","12","D",
"20161","03090914",41,0,"1","500","D","1","D",50,"D","12","D",
"20161","03090914",42,0,"1","350","D","1","D",3,"D","11","D",
"20161","03090934",28,0,"1","840","D","1","D",45,"D","10","D",
"20161","03090934",29,0,"1","510","D","1","D",39,"D","12","D",
"20161","03090934",30,0,"1","150","D","1","D",24,"D","10","D",
"20161","03090934",31,0,"1","370","D","1","D",195,"D","12","D",
"20161","03090934",32,0,"2","510","D","1","D",40,"D","10","D",
"20161","03091144",62,0,"1","830","D","1","D",12,"D","13","D",
"20161","03091144",63,0,"1","610","D","1","D",150,"D","12","D",
"20161","03091144",64,0,"1","600","D","1","D",26,"D","10","D",
"20161","03091144",65,0,"1","500","D","1","D",62,"D","10","D",
"20161","03091144",66,0,"1","500","D","1","D",28,"D","11","D",
"20161","03091144",67,0,"1","510","D","1","D",10,"D","12","D",
"20161","03091144",68,0,"1","360","D","1","D",8,"D","13","D",
"20161","03091144",69,0,"1","350","D","1","D",3,"D","11","D",
"20161","03091164",18,0,"1","360","D","1","D",8,"D","13","D",
"20161","03091164",19,0,"1","360","D","1","D",9,"D","12","D",
"20161","03091244",45,0,"1","830","D","1","D",19,"D","13","D",
"20161","03091244",46,0,"1","500","D","1","D",100,"D","12","D",
"20161","03091244",47,0,"1","500","D","1","D",65,"D","10","D",
"20161","03091244",48,0,"1","510","D","1","D",22,"D","10","D",
"20161","03091244",49,0,"1","510","D","1","D",44,"D","12","D",
"20161","03091244",50,0,"1","500","D","1","D",140,"D","11","D",
"20161","03091244",51,0,"1","320","D","1","D",14,"D","10","D",
"20161","03091244",52,0,"2","500","D","1","D",75,"D","10","D",
"20161","03091244",53,0,"2","510","D","1","D",22,"D","10","D",
"20161","03091244",54,0,"2","210","D","1","D",40,"D","10","D",
"20161","03091244",55,0,"2","160","D","1","D",3,"D","10","D",
"20161","03091264",24,0,"1","320","D","1","D",20,"D","12","D",
"20161","03091364",25,0,"1","510","D","1","D",50,"D","11","D",
"20161","03091364",26,0,"1","510","D","1","D",50,"D","12","D",
"20161","03091364",27,0,"1","350","D","1","D",8,"D","13","D",
"20161","03091364",28,0,"2","510","D","1","D",50,"D","10","D",
"20161","03091404",19,0,"1","510","D","1","D",20,"D","10","D",
"20161","03091404",20,0,"1","510","D","1","D",20,"D","11","D",
"20161","03091404",21,0,"1","510","D","1","D",20,"D","12","D",
"20161","03091434",46,0,"1","830","D","1","D",56,"D","13","D",
"20161","03091434",47,0,"1","830","D","1","D",99,"D","10","D",
"20161","03091434",48,0,"1","830","D","1","D",158,"D","12","D",
"20161","03091434",49,0,"1","510","D","1","D",15,"D","11","D",
"20161","03091434",50,0,"1","510","D","1","D",8,"D","12","D",
"20161","03091434",51,0,"1","210","D","1","D",35,"D","12","D",
"20161","03091434",52,0,"1","320","D","1","D",5,"D","11","D",
"20161","03091434",53,0,"1","350","D","1","D",2,"D","10","D",
"20161","03091434",54,0,"1","350","D","1","D",2,"D","12","D",
"20161","03091434",55,0,"1","340","D","1","D",61,"D","11","D",
"20161","03091434",56,0,"1","340","D","1","D",15,"D","12","D",
"20161","03091434",57,0,"1","310","D","1","D",300,"D","11","D",
"20161","03091434",58,0,"2","340","D","1","D",25,"D","10","D",
"20161","03091474",39,0,"1","310","D","1","D",15,"D","12","D",
"20161","03091474",40,0,"1","350","D","1","D",5,"D","12","D",
"20161","03091474",41,0,"2","840","D","1","D",35,"D","10","D",
"20161","03091474",42,0,"2","340","D","1","D",13,"D","10","D",
"20161","03091534",19,0,"1","610","D","1","D",50,"D","10","D",
"20161","03091544",35,0,"1","610","D","1","D",65,"D","12","D",
"20161","03091544",36,0,"1","500","D","1","D",125,"D","11","D",
"20161","03091544",37,0,"2","610","D","1","D",175,"D","10","D",
"20161","03091544",38,0,"2","840","D","1","D",100,"D","10","D",
"20161","03091544",39,0,"2","500","D","1","D",150,"D","10","D",
"20161","03091544",40,0,"2","500","D","1","D",38,"D","10","D",
"20161","03091544",41,0,"2","150","D","1","D",54,"D","10","D",
"20161","03091544",42,0,"2","210","D","1","D",45,"D","10","D",
"20161","03091594",51,0,"1","500","D","1","D",40,"D","11","D",
"20161","03091594",52,0,"1","160","D","1","D",1,"D","11","D",
"20161","03091594",53,0,"1","210","D","1","D",50,"D","11","D",
"20161","03091594",54,0,"1","320","D","1","D",20,"D","10","D",
"20161","03091594",55,0,"1","340","D","1","D",12,"D","12","D",
"20161","03091654",18,0,"1","510","D","1","D",40,"D","10","D",
"20161","03091824",34,0,"1","350","D","1","D",9,"D","13","D",
"20161","03091824",35,0,"1","350","D","1","D",3,"D","13","D",
"20161","03091824",36,0,"2","600","D","1","D",267,"D","10","D",
"20161","03091864",41,0,"1","150","D","1","D",99,"D","12","D",
"20161","03091864",42,0,"1","210","D","1","D",150,"D","12","D",
"20161","03092094",22,0,"1","360","D","1","D",12,"D","13","D",
"20161","03092094",23,0,"1","360","D","1","D",8,"D","13","D",
"20161","03092144",33,0,"1","370","D","1","D",100,"D","12","D",
"20161","03092144",34,0,"2","210","D","1","D",45,"D","10","D",
"20161","03092334",9,0,"1","360","D","1","D",7,"D","13","D",
"20161","03092344",31,0,"1","510","D","1","D",300,"D","11","D",
"20161","03092394",31,0,"1","510","D","1","D",40,"D","10","D",
"20161","03092404",24,0,"1","210","D","1","D",25,"D","10","D",
"20161","03092404",25,0,"1","320","D","1","D",50,"D","10","D",
"20161","03092474",9,0,"1","600","D","1","D",150,"D","12","D",
"20161","03092474",10,0,"1","360","D","1","D",10,"D","13","D",
"20161","03092564",49,0,"1","800","D","1","D",35,"D","10","D",
"20161","03092564",50,0,"1","500","D","1","D",180,"D","12","D",
"20161","03092564",51,0,"1","150","D","1","D",60,"D","11","D",
"20161","03092564",52,0,"1","210","D","2","D",100,"D","12","D",
"20161","03092564",53,0,"1","320","D","1","D",45,"D","11","D",
"20161","03092564",54,0,"2","800","D","1","D",35,"D","10","D",
"20161","03092564",55,0,"2","500","D","1","D",45,"D","10","D",
"20161","03092574",6,0,"1","510","D","1","D",33,"D","10","D",
"20161","03092574",7,0,"1","510","D","1","D",33,"D","11","D",
"20161","03092574",8,0,"1","510","D","1","D",33,"D","12","D",
"20161","03092854",35,0,"1","830","D","1","D",8,"D","13","D",
"20161","03092954",38,0,"1","150","D","1","D",54,"D","10","D",
"20161","03092984",74,0,"1","510","D","1","D",22,"D","11","D",
"20161","03092984",75,0,"1","210","D","1","D",32,"D","10","D",
"20161","03092984",76,0,"1","350","D","1","D",10,"D","13","D",
"20161","03092984",77,0,"1","340","D","1","D",56,"D","11","D",
"20161","03092994",37,0,"1","600","D","1","D",200,"D","11","D",
"20161","03092994",38,0,"1","510","D","1","D",60,"D","12","D",
"20161","03093194",16,0,"1","360","D","1","D",8,"D","13","D",
"20161","03093224",19,0,"1","150","D","1","D",40,"D","11","D",
"20161","03093284",21,0,"1","330","D","1","D",10,"D","13","D",
"20161","03093384",32,0,"1","510","D","1","D",75,"D","12","D",
"20161","03093384",33,0,"1","360","D","1","D",25,"D","13","D",
"20161","03093404",44,0,"1","360","D","1","D",18,"D","13","D",
"20161","03093474",49,0,"1","510","D","1","D",39,"D","11","D",
"20161","03093474",50,0,"1","160","D","1","D",10,"D","12","D",
"20161","03093474",51,0,"1","210","D","1","D",9,"D","12","D",
"20161","03093474",52,0,"2","210","D","1","D",3,"D","10","D",
"20161","03093474",53,0,"2","210","D","1","D",20,"D","10","D",
"20161","03093484",60,0,"1","150","D","1","D",49,"D","12","D",
"20161","03093484",61,0,"1","360","D","1","D",7,"D","13","D",
"20161","03093564",12,0,"1","510","D","1","D",10,"D","11","D",
"20161","03093564",13,0,"1","340","D","1","D",40,"D","12","D",
"20161","03093564",14,0,"2","160","D","1","D",10,"D","10","D",
"20161","03093624",21,0,"1","830","D","1","D",10,"D","13","D",
"20161","03093634",22,0,"1","510","D","1","D",18,"D","12","D",
"20161","03093634",23,0,"1","200","D","1","D",10,"D","13","D",
"20161","03093634",24,0,"1","150","D","1","D",10,"D","12","D",
"20161","03093634",25,0,"1","150","D","1","D",10,"D","12","D",
"20161","03093634",26,0,"1","360","D","1","D",9,"D","13","D",
"20161","03093674",43,0,"1","410","D","1","D",400,"D","12","D",
"20161","03093674",44,0,"1","410","D","1","D",400,"D","11","D",
"20161","03093674",45,0,"1","410","D","1","D",400,"D","10","D",
