"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
"03088724",1,"2014","2013",2,0.153,0.153,"2",0.15,0.15,"06","D",0.0463,0.0463,0,"D",0,"D",17318,"D",59000,"D",0,"D",0,"D",0,"D",0,"D",12300,"D",0,"D",0,"D",0,"D",2,"D",0,"D",4385,2246,4385.2,4310.2,2246.38,2227.86,11676.65,11676.65,76318,76318,0,0,2000,2000,0,0,0,0,0,0,76318,76318,0,0,6385.2,6310.2,6385.2,6310.2,0,0,0,0,0,0,0,0,0,0,0
"03088744",1,"2014","2013",0,0.153,0.153,"1",0.2423,0.2423,"39","D",0.0307,0.0307,0,"D",0,"D",58365,"D",0,"D",2,"D",0,"D",0,"D",0,"D",0,"D",2200,"D",204,"D",0,"D",0,"D",4352,"D",7409,1792,7408.53,7323.53,1791.87,1791.87,8929.84,8929.84,58367,58367,58367.01,58367.01,0,0,0,0,0,0,0,0,54015,54015,0,0,7408.53,7323.53,7408.53,7323.53,0,0,0,0,0,0,0,0,0,0,0
"03088784",1,"2014","2013",2,0,0,"3",-0.4,-0.4,"12","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",11700,"D",0,"D",0,"D",0,"D",1,"D",0,"D",0,-405,0,0,-405,-405,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212,3212,0.17,0.17,0,0,0,0,0,0,0
"03088894",1,"2014","2013",1,0.153,0.153,"3",0.3098,0.3098,"23","D",0.0521,0.0521,0,"D",0,"D",35791,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",67,"D",0,"D",0,"D",0,"D",1887,1165,1886.76,1736.32,1165.45,1155.03,5476.02,5476.02,35791,35791,35791.01,35791.01,0,0,0,0,0,0,331.89,434.83,35791,35791,0,0,2218.65,2171.15,2218.65,2171.15,0,0,0,0,0,0,0,0,19.91,26.09,0
"03088914",1,"2014","2013",0,0,0,"1",-0.0765,-0.0765,"10","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",15495,"D",0,"D",0,"D",1200,"D",100,"D",0,"D",0,"D",15012,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03088954",1,"2014","2013",0,0.029,0.029,"1",0.26,0.26,"38","D",0.09,0.09,0,"D",0,"D",130000,"D",0,"D",3050,"D",0,"D",0,"D",0,"D",0,"D",7000,"D",21576,"D",0,"D",0,"D",21576,"D",15489,6670,15489.24,15255.24,6670.32,6658.32,17868.8,18278,133050,133050,133050.01,133050.01,0,0,0,0,0,0,0,0,111474,111474,1478.57,1326.57,14010.67,13928.67,14010.67,13928.67,2080.01,2115.6,50152,50152,0,0,0,0,0,0,0
"03088954",2,"2014","2013",0,0.153,0.153,"1",0.25,0.25,"38","D",0.0675,0.09,0,"D",0,"D",52000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6429,3514,6428.75,6318.75,3514.3,3498.91,7956,7956,52000,52000,52000.01,52000.01,0,0,0,0,0,0,0,0,52000,52000,0,0,6428.75,6318.75,6428.75,6318.75,2080.01,2115.6,0,0,0,0,0,0,0,0,0
"03089104",1,"2014","2013",0,0.153,0.153,"1",0.1765,0.1765,"44","D",0,0,0,"D",0,"D",12753,"D",0,"D",0,"D",0,"D",0,"D",0,"D",7488,"D",0,"D",0,"D",0,"D",0,"D",0,"D",154,0,154.2,119.49,0,0,1951.21,1951.21,12753,12753,0,0,0,0,0,0,0,0,121.1,140.81,12753,12753,0,0,275.3,260.3,275.3,260.3,0,0,0,0,0,0,0,0,0,0,0
"03089124",1,"2014","2013",0,0.153,0.153,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",27000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",9600,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2104,0,2103.75,2073.75,0,0,4131,4131,27000,27000,0,0,0,0,0,0,0,0,0,0,27000,27000,0,0,2103.75,2073.75,2103.75,2073.75,0,0,0,0,0,0,0,0,0,0,0
"03089134",1,"2014","2013",2,0,0,"3",0.1486,0.138,"05","D",0.08,0.08,0,"D",0,"D",0,"D",0,"D",67951,"D",0,"D",0,"D",0,"D",0,"D",3700,"D",227,"D",0,"D",0,"D",4820,"D",6333,1033,6333.08,6307.64,1033.45,952.59,0,0,67951,67951,67951.01,67951.01,0,0,0,0,0,0,0,0,63131,63131,0,0,6333.08,6307.64,6333.08,6307.64,7812,7984,8747,8747,0,0,0,0,0,0,0
