"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
"03248824",1,"2015","2014",3,0.029,0.029,"3",0.325,0.325,"45","D",0.05,0.05,0,"D",0,"D",130000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",21600,"D",0,"D",2470,"D",0,"D",2,"D",0,"D",20732,6500,20897.5,20566,6500,6500,18278,18464,130000,130000,130000.01,130000.01,0,0,0,0,0,0,0,0,130000,130000,210,56,20687.5,20510,20687.5,20510,0,0,0,0,0,0,0,0,0,0,0
"03248844",1,"2015","2014",2,0,0,"3",-0.4,-0.4,"47","D",0,0,0,"D",0,"D",0,"D",0,"D",400,"D",6800,"D",0,"D",0,"D",0,"D",3000,"D",720,"D",0,"D",0,"D",9211,"D",0,0,0,0,0,0,0,0,7200,7200,7200.01,7200.01,0,0,0,0,0,0,0,0,7200,7200,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,0,0,0
"03248864",1,"2015","2014",0,0.153,0.153,"2",0.1402,0.1402,"50","D",0.0652,0.0652,0,"D",0,"D",90000,"D",0,"D",3500,"D",0,"D",0,"D",0,"D",0,"D",3500,"D",1515,"D",0,"D",0,"D",7292,"D",9372,4664,9386.02,9357.73,4669.55,4658.11,13770,13770,93500,93500,93500.01,93500.01,0,0,0,0,0,0,0,0,86208,86208,0,0,9386.02,9357.73,9386.02,9357.73,3771.6,4146.86,7292,7292,0,0,0,0,0,0,0
"03248884",1,"2015","2014",0,0,0,"1",0,0,"11","D",0,0,1,"D",1,"D",0,"D",0,"D",377,"D",4100,"D",21862,"D",0,"D",0,"D",3400,"D",6668,"D",0,"D",0,"D",8200,"D",0,0,0,0,0,0,0,0,4477,4477,0,0,0,0,0,0,0,0,0,0,4477,4477,0,0,0,0,0,0,3600,3600,0,0,0,0,0,0,0,0,0
"03248894",1,"2015","2014",1,0.153,0.153,"3",0,0,"33","D",0.042,0.042,0,"D",0,"D",16600,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",5000,"D",40,"D",0,"D",0,"D",4608,"D",-3332,-960,-3305,-3359,-949.3,-971.5,2539.8,2539.8,16600,16600,16600.01,16600.01,0,0,0,0,0,0,3305,3359,16600,16600,0,0,0,0,0,0,10950,11100,0,0,43.8,43.8,0,0,915.19,931.39,0
"03248904",1,"2015","2014",0,0.153,0.153,"2",0.15,0.15,"28","D",0.0501,0.0684,0,"D",0,"D",40200,"D",36000,"D",-5150,"D",0,"D",0,"D",0,"D",0,"D",2700,"D",635,"D",0,"D",0,"D",4460,"D",6675,2073,6705,6645,2091.26,2055.7,11658.6,11658.6,71050,71050,71050.01,71050.01,0,0,0,0,0,0,0,0,71050,71050,0,0,6705,6645,6705,6645,12400,12600,0,0,0,0,0,0,0,0,0
"03248934",1,"2015","2014",0,0.153,0.153,"1",0.2285,0.2285,"24","D",0.0859,0.0859,0,"D",0,"D",57699,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2400,"D",30,"D",0,"D",0,"D",6932,"D",6347,2274,6383.49,6310.71,2278.05,2269.17,8827.95,8827.95,57699,57699,57699.01,57699.01,0,0,0,0,0,0,0,0,50767,50767,0,0,6383.49,6310.71,6383.49,6310.71,0,0,11640.05,11631.17,431.44,431.44,0,0,0,0,0
"03248934",2,"2015","2014",0,0.153,0.153,"1",0.15,0.15,"24","D",0.0705,0.0705,0,"D",0,"D",46210,"D",0,"D",-2311,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4594,1952,4608.6,4578.6,1959.5,1943.58,7070.13,7070.13,43899,43899,43899.01,43899.01,0,0,0,0,0,0,0,0,43899,43899,0,0,4608.6,4578.6,4608.6,4578.6,6200,6300,0,0,0,0,0,0,0,0,0
"03248964",1,"2015","2014",2,0.153,0.153,"2",0.15,0.15,"10","D",0,0,0,"D",0,"D",37000,"D",37000,"D",0,"D",0,"D",0,"D",0,"D",14400,"D",0,"D",0,"D",0,"D",2,"D",0,"D",3925,0,3962.5,3887.5,0,0,11322,11322,74000,74000,0,0,2000,2000,0,0,0,0,0,0,74000,74000,0,0,5962.5,5887.5,5962.5,5887.5,0,0,0,0,0,0,0,0,0,0,0
"03248984",1,"2015","2014",2,0,0,"3",-0.4,-0.4,"05","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1600,"D",0,"D",0,"D",0,"D",1138,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7984,8088,2738,2738,0,0,0,0,0,0,0
