NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03639434,10,2017,005100,2,41.6667,
03639434,11,2017,005100,2,41.6667,
03639434,12,2017,005100,2,41.6667,
03639434,10,2017,005110,2,1000.0000,
03639434,11,2017,005110,2,1000.0000,
03639434,12,2017,005110,2,1000.0000,
03639434,10,2017,005200,2,2500.0000,
03639434,11,2017,005200,2,2500.0000,
03639434,12,2017,005200,2,2500.0000,
03639434,10,2017,005210,2,2500.0000,
03639434,11,2017,005210,2,2500.0000,
03639434,12,2017,005210,2,2500.0000,
03639434,10,2017,005400,2,750.0000,
03639434,11,2017,005400,2,750.0000,
03639434,12,2017,005400,2,750.0000,
03639434,10,2017,005410,2,41.6667,
03639434,11,2017,005410,2,41.6667,
03639434,12,2017,005410,2,41.6667,
03639434,10,2017,800940,2,526.3667,
03639434,11,2017,800940,2,526.3667,
03639434,12,2017,800940,2,526.3667,
03639434,10,2017,900000,2,18288.8826,T
03639434,11,2017,900000,2,18288.8826,T
03639434,12,2017,900000,2,18288.8826,T
03639434,10,2017,900180,2,4.5833,
03639434,11,2017,900180,2,4.5833,
03639434,12,2017,900180,2,4.5833,
03639434,10,2017,980000,2,18293.4660,T
03639434,11,2017,980000,2,18293.4660,T
03639434,12,2017,980000,2,18293.4660,T
03639434,10,2017,980010,2,0.3333,
03639434,11,2017,980010,2,0.3333,
03639434,12,2017,980010,2,0.3333,
03639434,10,2017,980020,2,3.0000,
03639434,11,2017,980020,2,3.0000,
03639434,12,2017,980020,2,3.0000,
03639434,10,2017,980030,2,0.0833,
03639434,11,2017,980030,2,0.0833,
03639434,12,2017,980030,2,0.0833,
03639434,10,2017,980040,2,0.1667,
03639434,11,2017,980040,2,0.1667,
03639434,12,2017,980040,2,0.1667,
03639434,10,2017,980050,2,0.1667,
03639434,11,2017,980050,2,0.1667,
03639434,12,2017,980050,2,0.1667,
03639434,10,2017,980090,1,8.3333,
03639434,11,2017,980090,1,8.3333,
03639434,12,2017,980090,1,8.3333,
03639434,10,2017,980220,2,8.3333,
03639434,11,2017,980220,2,8.3333,
03639434,12,2017,980220,2,8.3333,
03639434,10,2017,980230,2,8.3333,
03639434,11,2017,980230,2,8.3333,
03639434,12,2017,980230,2,8.3333,
03639434,10,2017,980281,2,8.3333,
03639434,11,2017,980281,2,8.3333,
03639434,12,2017,980281,2,8.3333,
03639434,10,2017,980286,2,8.3333,
03639434,11,2017,980286,2,8.3333,
03639434,12,2017,980286,2,8.3333,
03639434,10,2017,980310,2,8.3333,
03639434,11,2017,980310,2,8.3333,
03639434,12,2017,980310,2,8.3333,
03639434,10,2017,980330,2,8.3333,
03639434,11,2017,980330,2,8.3333,
03639434,12,2017,980330,2,8.3333,
03639434,10,2017,980350,2,8.3333,
03639434,11,2017,980350,2,8.3333,
03639434,12,2017,980350,2,8.3333,
03639444,10,2017,005100,2,145.8333,
03639444,11,2017,005100,2,145.8333,
03639444,12,2017,005100,2,145.8333,
03639444,10,2017,005110,2,62.5000,
03639444,11,2017,005110,2,62.5000,
03639444,12,2017,005110,2,62.5000,
03639444,10,2017,800940,2,143.8667,
03639444,11,2017,800940,2,143.8667,
03639444,12,2017,800940,2,143.8667,
03639444,10,2017,900000,2,1880.6667,
03639444,11,2017,900000,2,1880.6667,
03639444,12,2017,900000,2,1880.6667,
03639444,10,2017,980000,2,1880.6667,
03639444,11,2017,980000,2,1880.6667,
03639444,12,2017,980000,2,1880.6667,
03639444,10,2017,980010,2,0.2500,
03639444,11,2017,980010,2,0.2500,
03639444,12,2017,980010,2,0.2500,
03639444,10,2017,980020,2,4.7500,
03639444,11,2017,980020,2,4.7500,
03639444,12,2017,980020,2,4.7500,
03639444,10,2017,980030,2,0.0833,
03639444,11,2017,980030,2,0.0833,
03639444,12,2017,980030,2,0.0833,
03639444,10,2017,980040,2,0.1667,
