NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03386764,10,2016,800940,2,,1,752.1667
03386764,10,2016,800940,2,,2,599.9167
03386764,10,2016,800940,2,,3,638.3333
03386764,10,2016,800940,2,,4,718.75
03386764,10,2016,800940,2,,5,645.9167
03386764,11,2016,800940,2,,1,752.1667
03386764,11,2016,800940,2,,2,599.9167
03386764,11,2016,800940,2,,3,638.3333
03386764,11,2016,800940,2,,4,718.75
03386764,11,2016,800940,2,,5,645.9167
03386764,12,2016,800940,2,,1,752.1667
03386764,12,2016,800940,2,,2,599.9167
03386764,12,2016,800940,2,,3,638.3333
03386764,12,2016,800940,2,,4,718.75
03386764,12,2016,800940,2,,5,645.9167
03386764,10,2016,900000,2,,1,9832.6667
03386764,10,2016,900000,2,,2,7842.1667
03386764,10,2016,900000,2,,3,8343.9167
03386764,10,2016,900000,2,,4,9395.5833
03386764,10,2016,900000,2,,5,8442.8333
03386764,11,2016,900000,2,,1,9832.6667
03386764,11,2016,900000,2,,2,7842.1667
03386764,11,2016,900000,2,,3,8343.9167
03386764,11,2016,900000,2,,4,9395.5833
03386764,11,2016,900000,2,,5,8442.8333
03386764,12,2016,900000,2,,1,9832.6667
03386764,12,2016,900000,2,,2,7842.1667
03386764,12,2016,900000,2,,3,8343.9167
03386764,12,2016,900000,2,,4,9395.5833
03386764,12,2016,900000,2,,5,8442.8333
03386764,10,2016,980000,2,,1,9832.6667
03386764,10,2016,980000,2,,2,7842.1667
03386764,10,2016,980000,2,,3,8343.9167
03386764,10,2016,980000,2,,4,9395.5833
03386764,10,2016,980000,2,,5,8442.8333
03386764,11,2016,980000,2,,1,9832.6667
03386764,11,2016,980000,2,,2,7842.1667
03386764,11,2016,980000,2,,3,8343.9167
03386764,11,2016,980000,2,,4,9395.5833
03386764,11,2016,980000,2,,5,8442.8333
03386764,12,2016,980000,2,,1,9832.6667
03386764,12,2016,980000,2,,2,7842.1667
03386764,12,2016,980000,2,,3,8343.9167
03386764,12,2016,980000,2,,4,9395.5833
03386764,12,2016,980000,2,,5,8442.8333
03386774,10,2016,800940,2,,1,102
03386774,10,2016,800940,2,,2,102
03386774,10,2016,800940,2,,3,102
03386774,10,2016,800940,2,,4,102
03386774,10,2016,800940,2,,5,102
03386774,11,2016,800940,2,,1,102
03386774,11,2016,800940,2,,2,102
03386774,11,2016,800940,2,,3,102
03386774,11,2016,800940,2,,4,102
03386774,11,2016,800940,2,,5,102
03386774,12,2016,800940,2,,1,102
03386774,12,2016,800940,2,,2,102
03386774,12,2016,800940,2,,3,102
03386774,12,2016,800940,2,,4,102
03386774,12,2016,800940,2,,5,102
03386774,10,2016,900000,2,,1,1333.3333
03386774,10,2016,900000,2,,2,1333.3333
03386774,10,2016,900000,2,,3,1333.3333
03386774,10,2016,900000,2,,4,1333.3333
03386774,10,2016,900000,2,,5,1333.3333
03386774,11,2016,900000,2,,1,1333.3333
03386774,11,2016,900000,2,,2,1333.3333
03386774,11,2016,900000,2,,3,1333.3333
03386774,11,2016,900000,2,,4,1333.3333
03386774,11,2016,900000,2,,5,1333.3333
03386774,12,2016,900000,2,,1,1333.3333
