era_id,source_file,total_pages,page_number,printed_release_code,printed_release_title,printed_release_date,page_adjustment_status,direct_table_title_count,inferred_table_title_count,detected_month_row_count,detected_numeric_column_count,cells_extracted,page_classification,classification_score,classification_reason
1,1970s/1977-10-13_491110_October_13_1977.pdf,2,1,G.6,"G.6 REVISION OF BANK DEBITS AND DEPOSIT TURNOVER SERIES October 13,",1977-10-13,unknown,1,2,13,6,0,metadata_page,0.98,Explicit G.6 revision/methodology notice without three independently valid table grids.
1,1970s/1977-10-13_491110_October_13_1977.pdf,2,2,G.6,OEBITS AND DEPOSIT TURNOVER AT COMMERCIAL BANKS,1977-10-13,unknown,3,0,13,6,234,table_page,0.99,"Three semantic G.6 title bands have credible grids, month rows, and aligned numeric columns."
1,1970s/1977-11-10_491111_November_10_1977.pdf,1,1,G.6,DEBITS AND DEPOSIT TURNOVER AT COMMERCIAL BANKS,1977-11-10,unknown,3,0,13,6,234,table_page,0.99,"Three semantic G.6 title bands have credible grids, month rows, and aligned numeric columns."
1,1970s/1977-12-08_491112_December_8_1977.pdf,1,1,G.6,DEBITS AND DEPOSIT TURNOVER AT COMMERCIAL BANKS,1977-12-08,unknown,3,0,13,6,234,table_page,0.99,"Three semantic G.6 title bands have credible grids, month rows, and aligned numeric columns."
1,1970s/1978-01-11_491113_January_11_1978.pdf,1,1,G.6,DEBITS AND DEPOSIT TURNOVER AT COMMERCIAL BANKS,1978-01-11,unknown,3,0,13,6,234,table_page,0.99,"Three semantic G.6 title bands have credible grids, month rows, and aligned numeric columns."
1,1970s/1978-02-09_491114_February_9_1978.pdf,1,1,G.6,DEBITS AND DEPOSIT TURNOVER AT COMMERCIAL BANKS,1978-02-09,unknown,3,0,13,6,234,table_page,0.99,"Three semantic G.6 title bands have credible grids, month rows, and aligned numeric columns."
1,1970s/1978-03-22_491115_March_22_1978.pdf,1,1,G.6,| DEBITS AND DEPOSIT TURNOVER AT COMMERCIAL BANKS,1978-03-22,unknown,3,0,13,6,234,table_page,0.99,"Three semantic G.6 title bands have credible grids, month rows, and aligned numeric columns."
1,1970s/1978-04-13_491116_April_13_1978.pdf,1,1,G.6,DEBITS AND POSIT TURNOVER AT COMMERCIAL BANKS,1978-04-13,unknown,3,0,13,6,234,table_page,0.99,"Three semantic G.6 title bands have credible grids, month rows, and aligned numeric columns."
1,1970s/1978-05-16_491117_May_16_1978.pdf,1,1,G.6,DEBITS AND DEPOSIT TURNOVER AT COMMERCIAL BANKS,1978-05-16,unknown,3,0,13,6,234,table_page,0.99,"Three semantic G.6 title bands have credible grids, month rows, and aligned numeric columns."
1,1970s/1978-06-05_491118_June_5_1978.pdf,1,1,G.6,DEBITS AND DEPOSIT TURNOVER AT COMMERCIAL BANKS,1978-06-05,unknown,3,0,13,6,234,table_page,0.99,"Three semantic G.6 title bands have credible grids, month rows, and aligned numeric columns."
