era_id,source_file,release_date,page_number,metadata_type,text_raw,ocr_confidence
1,1970s/1977-10-13_491110_October_13_1977.pdf,1977-10-13,1,revision_notice,"ee
4
G.6 REVISION OF BANK DEBITS AND DEPOSIT TURNOVER SERIES October 13, 1977
e
The bank debits and demand deposit turnover data published
monthly on the G.6 release has been revised. The attached G.6 release
is the first issue for the new series. Commencing with July, the new
monthly series replaces the former 233 SMSA series which terminated
r with June 1977 data. The new series provides monthly estimates of
debits, deposits, and deposit turnover at all commercial banks for
demand deposits, total savings deposits, business savings deposits,
and savings deposits of all other customers. Breakdowns for major
New York City banks and for all other commercial banks also are pro-
vided for the demand deposit series.
e
Back data for the period January 1970 through June 1977 have
been estimated for the demand deposit series based on data from the
former 233 SMSA series and from member bank deposit reports. Seasonal
factors based on these back data will be applied to current estimates
for the demand deposit series. The back data are available on request
@ from the Banking Section, Division of Research and Statistics Board of
Governors of Federal Reserve System, Washington, D.C., 20551. Savings
debits, deposits, and turnover will be available only on an unadjusted
basis until sufficient data are available for computation of seasonal
adjustments.
@ The new debits estimates are derived from reports of a national
sample of about 300 member banks. For purposes of this series, demand
deposits include deposits of individuals, partnerships, and corporations
and States and political subdivisions in the United States. All debits
and turnover estimates are expressed as annual rates.
e ~
e
igitized for FRASER",86.67
1,1970s/1977-10-13_491110_October_13_1977.pdf,1977-10-13,2,other_non_table_material,"Pom arn nar nnn n nnn $name wanna n-gage
2/ REPRESENTS ACCOUNTS OF INDIVIOUALS, PARTNERSHIPS, AND CORPORATIONS AND OF STATES AND
POLITICAL SUBDIVISIONS.
£/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS AND VACATION CLUBS.
e 2/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREOIT UNIONS,
THE EXPORT-IMPORT BANK, ANO FEDERALLY SPUNSORED LENDING AGENCIES).
NOTE? HISTORICAL DATA FOR THE PERIOD 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED; THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA°S, WHICH WERE AVAILABLE THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION OF ADMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, D.C. 20551. DEBITS
AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABLE PRIOR TO JULY 1977.",81.61
1,1970s/1977-11-10_491111_November_10_1977.pdf,1977-11-10,1,other_non_table_material,"V/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS, AND CORPORATIONS AND OF STATES ANO
POLITICAL SUBDIVISICNS.
Z/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLU& ACCOUNTS, SUCH AS CHRISTMAS ANO VACATIGN CLU8S.
3/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSUCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIGNS,
THE FXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENOING AGENCIES).
NOTE: HISTORICAL DATA FOR THE PERIOU 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATEOs THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA*S, WHICH WERE AVAILABLE THROUGH
@ JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES» DIVISION OF ADMINISTRATIVE",84.96
1,1970s/1977-12-08_491112_December_8_1977.pdf,1977-12-08,1,other_non_table_material,"e@ U/ REPRESENTS ACCOUNTS OF INDIVIDUALS», PARTNERSHIPS, ANU CORPORATIONS AND OF STATES AND
POLITICAL SUBDIVISIONS.
2/ EXCLUDES NGW ACCOUNTS ANO SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS ANDO VACATION CLUBS.
2/ REPRESENTS CORPORATIONS AND OTHER PRUFIT-SEEKING URGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSURED LENDING AGENCIES).
| NUTE? HISTORICAL DATA FOR THE PERIUO 1970 THRUUGH JUNE 1977 HAVE BEEN ESTIMATED; THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOK 233 SMSA®S, WHICH WERE AVAILABLE THROUGH
| JUNE 1977. 6ACK DATA ARE AVAILABLE FRUM PUBLICATIONS SERVICES» DIVISION OF AUMINISTRATIVE
@ SERVICES, BOARD OF GOVEKNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, 0.C. 20551. DEBITS",84.51
1,1970s/1978-01-11_491113_January_11_1978.pdf,1978-01-11,1,revision_notice,"| 1/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS, AND CORPORATIONS AND OF STATES AND
POLITICAL SUBDIVISIONS.
: 2/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS AND VACATION CLUBS.
33/. REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENDING AGENCIES).
NOTE: HISTORICAL DATA FOR THE PERIOD 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED: THESE
ESTIMATES ARE BASED IN PART ON THE BEBITS SERIES FOR 233 SMSA'S, WHICH WERE AVAILABLE THROUGH
JUNE 1977. BACK DATA RRE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION OF ADMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, D.C. 20551. DEBITS
AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABLE PRIOR TO JULY 1877.
BEGINNING WITH JULY 1977, DATA RAVE BEEN REVISED TO TAKE ACCOUNT OF CALL REPORT BENCHMARKS",93.93
1,1970s/1978-02-09_491114_February_9_1978.pdf,1978-02-09,1,other_non_table_material,"1/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS, AND CORPORATIONS ANDO OF STATES AND
POLITICAL SUBDIVISIONS.
27 EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS AND VACATION CLUBS.
3/ REPRESENTS CORPORATIONS AND UTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT BANK, ANO FEDERALLY SPONSOREO LENOING AGENCIES).
NOTE: HISTURICAL DATA FOR THE PERIUD 1970 THRUUGH JUNE 1977 HAVE BEEN ESTIMATED; THESE
ESTIMATES ARE BASEO IN PART ON THE DEBITS SERIES FOR 233 SMSA*S, WHICH WERE AVAILABLE THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, OIVIS1ON OF AOMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, 0.C. 20551. DEBITS
AND TURNUVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABLE PRIOK TO JULY 1977.
igitized for FRASER",89.84
1,1970s/1978-03-22_491115_March_22_1978.pdf,1978-03-22,1,other_non_table_material,"1/ REPRESENTS ACCOUNTS OF INDIVIOUALS, PARTNERSHIPS, AND CORPORATIONS ANDO OF STATES AND
POLITICAL SUBDIVISIONS.
2/ EXCLUDES NGW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS AND VACATION CLUBS.
3/ REPRESENTS CORPORATIONS ANO OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT BANK, ANDO FEDERALLY SPONSORED LENDING AGENCIES)~
NOTE: HISTORICAL DATA FOR THE PERIUO 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED: THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA*S, WHICH WERE AVAILABLE THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION OF ADMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, D.C. 20551. OEBITS",86.68
1,1970s/1978-04-13_491116_April_13_1978.pdf,1978-04-13,1,revision_notice,"1/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS, AND CORPORATIONS AND OF STATES AND
POLITICAL SUBDIVISIONS.
2/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS AND VACATION CLUBS.
3/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCLAI
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENDING AGENCIES).
NOTE: HISTORICAL DATA FOR THE PERIOD 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED: THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA'S, WHICH WERE AVAILABLE THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION OF ADMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, D.C, 20551. DEBITS
AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABLE PRIOR TO JULY 1977.
BEGINNING WITH JULY 1977, DATA HAVE BEEN REVISED TO TAKE ACCOUNT OF CALL REPORT BENCHMARKS
AS OF SEPTEMBER 30, 1977.
Jigitized for FRASER °",90.12
1,1970s/1978-05-16_491117_May_16_1978.pdf,1978-05-16,1,other_non_table_material,"D/ REPRESENTS ACCOUNTS OF INDIVIDUALS» PARTNERSHIPS» AND CORPORATIONS AND OF STATES AND
POLITICAL SUBDIVISIONS.
2/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS» SUCH AS CHRISTMAS AND VACATION CLuBs.
3/ REPRESENTS CORPORATIONS AND OTHER PROF IT~SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENOING AGENCIES).
NOTES HISTORICAL DATA FOR THE PERIOD 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED: THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA*S, WHICH WERE AVAILABLE THROUGH
JUNE 1977~ BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES» DIVISION OF ADMINISTRATIVE
SERVICES,» BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, D.C. 20551. ODEBITS
AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABLE PRIOR TO JULY 1977.",85.75
1,1970s/1978-06-05_491118_June_5_1978.pdf,1978-06-05,1,footnotes,"1/7 REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS, AND CORPORATIONS AND OF STATES AND
POLITICAL SUBDIVISIONS.
&/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS ANO VACATION CLUBS.
| 32/ REPRESENTS CORPORATIONS ANC OTHER PRUFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
| BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTLAL SAVINGS BANKS, CREULIT UNIONS,
| THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENDING AGENCIES).
| NOTE: HISTORICAL DATA FOR THE PERICD 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED; THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA’S, WHICH WERE AVAILABLE THRUUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION UF AUMINISTRATIVE
| SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, D.C. 20551. DEBITS
| AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NUT AVAILABLE PRIGR TO JULY 1977.",82.93
