"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYA","CLOTHYA_","CLOTHMOA","CLOT_MOA","CLOTHXA","CLOTHXA_","AGE_SEXA","AGE__EXA","CLOGFTA","CLOGFTA_","CLOTHA1","CLOTHA1_","CLOTHA2","CLOTHA2_","CLOTHA3","CLOTHA3_","CLOTHA4","CLOTHA4_","CLOTHA5","CLOTHA5_","CLOTHA6","CLOTHA6_","CLOTHA7","CLOTHA7_","CLOTHA8","CLOTHA8_","CLOTHA9","CLOTHA9_"
"20131",2511505,15,0,"1","140","D","12","D",200,"D","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511555,13,0,"1","270","D","11","D",.,"H","2","D","2","D","200","D","210","D","190","D",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511555,13,1,"1","200","D","11","D",20,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511555,13,2,"1","210","D","11","D",10,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511555,13,3,"1","190","D","11","D",70,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511565,15,0,"1","275","D","12","D",.,"H","5","D","1","D","190","D","150","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511565,15,1,"1","190","D","12","D",51,"E","5","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511565,15,2,"1","150","D","12","D",129,"E","5","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511565,16,0,"1","140","D","12","D",60,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511565,17,0,"1","200","D","12","D",75,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511565,18,0,"1","280","D","11","D",98,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,0,"1","270","D","11","D",.,"H",,"B","2","D","140","D","150","D","170","D","190","D","200","D","210","D","230","D","260","D","100","D"
"20131",2511575,13,101,"1","140","D","11","D",68,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,102,"1","150","D","11","D",57,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,103,"1","190","D","11","D",40,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,104,"1","200","D","11","D",23,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,105,"1","210","D","11","D",9,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,106,"1","230","D","11","D",26,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,107,"1","100","D","11","D",90,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,201,"1","140","D","11","D",39,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,202,"1","150","D","11","D",41,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,203,"1","170","D","11","D",26,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,204,"1","190","D","11","D",30,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,205,"1","200","D","11","D",15,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,206,"1","210","D","11","D",6,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,207,"1","230","D","11","D",30,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,208,"1","260","D","11","D",30,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,209,"1","100","D","11","D",49,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,301,"1","140","D","11","D",68,"E","3","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,302,"1","150","D","11","D",150,"E","3","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,303,"1","190","D","11","D",82,"E","3","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,304,"1","200","D","11","D",27,"E","3","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,305,"1","260","D","11","D",22,"E","3","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,13,306,"1","100","D","11","D",72,"E","3","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511575,14,0,"1","310","D","11","D",40,"D","3","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,22,0,"1","270","D","10","D",.,"H","2","D","2","D","200","D","190","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,22,1,"1","200","D","10","D",38,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,22,2,"1","190","D","10","D",65,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,23,0,"1","900","D","11","D",.,"H","2","D","2","D","280","D","230","D","190","D",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,23,1,"1","280","D","11","D",51,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,23,2,"1","230","D","11","D",35,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,23,3,"1","190","D","11","D",60,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,24,0,"1","900","D","12","D",.,"H",,"B","1","D","210","D","280","D","190","D",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,24,101,"1","210","D","12","D",85,"E","1","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,24,102,"1","280","D","12","D",45,"E","1","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,24,103,"1","190","D","12","D",42,"E","1","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,24,201,"1","210","D","12","D",25,"E","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,24,202,"1","280","D","12","D",55,"E","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511585,24,203,"1","190","D","12","D",65,"E","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,16,0,"1","270","D","12","D",.,"H","2","D","2","D","120","D","170","D","190","D","180","D","150","D",,"A",,"A",,"A",,"A"
"20131",2511595,16,1,"1","120","D","12","D",174,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,16,2,"1","170","D","12","D",330,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,16,3,"1","190","D","12","D",163,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,16,4,"1","180","D","12","D",178,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,16,5,"1","150","D","12","D",218,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,17,0,"1","270","D","12","D",.,"H","1","D","2","D","200","D","150","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,17,1,"1","200","D","12","D",56,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,17,2,"1","150","D","12","D",157,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,18,0,"1","150","D","12","D",80,"D","5","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,19,0,"1","270","D","12","D",.,"H","2","D","1","D","240","D","190","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,19,1,"1","240","D","12","D",37,"E","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,19,2,"1","190","D","12","D",69,"E","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,20,0,"1","280","D","12","D",53,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,21,0,"1","280","D","11","D",36,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511595,22,0,"1","380","D","12","D",800,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,0,"1","270","D","11","D",.,"H","5","D","2","D","150","D","190","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,101,"1","150","D","11","D",19,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,102,"1","190","D","11","D",13,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,103,"1","100","D","11","D",27,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,201,"1","150","D","11","D",20,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,202,"1","190","D","11","D",17,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,203,"1","100","D","11","D",14,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,501,"1","150","D","11","D",13,"E","5","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,502,"1","190","D","11","D",12,"E","5","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,13,503,"1","100","D","11","D",15,"E","5","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511625,14,0,"1","310","D","11","D",100,"D","5","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511675,16,0,"1","280","D","11","D",70,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511695,16,0,"1","100","D","12","D",18,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511695,17,0,"1","140","D","10","D",68,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
