"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","POLICYIB","POLI_YIB","PLCYSTAB","PLCY_TAB","POLICYYB","POLI_YYB","INSPRPY1","INSP_PY1","INSPRPY2","INSP_PY2","INSPRPY3","INSP_PY3","INSPRPY4","INSP_PY4","INSPRPY5","INSP_PY5","INSPRPY6","INSP_PY6","PREMPAID","PREM_AID","PAYDEDPR","PAYD_DPR","QINSRDDZ","QINS_DDZ","QPROPDDZ","QPRO_DDZ","QRTINDDZ","QRTI_DDZ","QVH3MCMX","QVH3_CMX","QPR3MCMX","QPR3_CMX","QTN3MCMX","QTN3_CMX","QLIFCMX","QLIFCMX_","QOTHCMX","QOTHCMX_","INSPTYPE","INSP_YPE","INSCMB1","INSCMB1_","INSCMB2","INSCMB2_","INSCMB3","INSCMB3_","INSCMB4","INSCMB4_","INSCMB5","INSCMB5_","INSCMB6","INSCMB6_","INSCMB7","INSCMB7_","INSCMB8","INSCMB8_","INSCMB9","INSCMB9_","QLNGTCMX","QLNG_CMX","PREMOUT","PREMOUT_","PREMYOU","PREMYOU_"
"20131",2511505,33,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511505,35,0,"5","03","D",,"A","110","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511505,36,0,"5","04","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",815,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511505,38,0,"5","06","D",,"A","500","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511555,36,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511555,37,0,"5","02","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511565,35,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511565,36,0,"5","02","D",,"A","900","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","300","D","200","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511565,36,1,"5",,"B",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A",,"B",,"A",.,"A",.,"A",.,"A",205,"E",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511565,36,11,"5",,"B",,"A","300","D",,"A",,"A",,"A",,"A",,"A",,"A",,"B",,"A",.,"A",.,"A",.,"A",.,"A",395,"E",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511565,37,0,"5","03","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511565,38,0,"5","04","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511575,38,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",160,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511575,39,0,"5","02","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",320,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511575,40,0,"5","03","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511585,39,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",334,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511585,40,0,"5","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511595,42,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511595,43,0,"5","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511595,44,0,"5","03","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",1198,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511615,22,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511615,23,0,"5","02","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",280,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511625,24,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511625,25,0,"5","02","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511675,29,0,"5","01","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511675,30,0,"5","02","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511695,78,0,"5","02","D",,"A","110","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",1333,"D",,"A",,"A"
"20131",2511695,79,0,"5","03","D",,"A","900","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","500","D","200","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511695,79,1,"5",,"B",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A",,"B",,"A",.,"A",.,"A",.,"A",875,"E",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
