"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20131",2511505,44,0,"5","01","D","100","D",.,"A","3","D","08","D","1993","D",.,"A",.,"A",.,"A",4040,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511565,43,0,"5","01","D","100","D",.,"A","3","D","03","D","2011","D",.,"A",.,"A",.,"A",3600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511575,48,0,"5","01","D","100","D",.,"A","1","D","02","D","2009","D",.,"A",.,"A",.,"A",188,"D",,"A",.,"A",,"A",.,"A","1","D",0,"D",,"A","2","D"
"20131",2511585,53,0,"5","01","D","100","D",.,"A","3","D","06","D","1995","D",.,"A",.,"A",.,"A",2678,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511595,58,0,"5","01","D","100","D",.,"A","3","D","05","D","1985","D",.,"A",.,"A",.,"A",4300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511615,27,0,"5","01","D","100","D",.,"A","3","D","05","D","2005","D",.,"A",.,"A",.,"A",15480,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511675,35,0,"5","01","D","100","D",.,"A","3","D","06","D","1994","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511675,36,0,"5","02","D","400","D",.,"A","3","D","04","D","2009","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2511695,105,0,"5","01","D","100","D",.,"A","3","D","10","D","2005","D",.,"A",.,"A",.,"A",5326,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511695,106,0,"5","02","D","300","D",.,"A","1","D","06","D","2006","D",.,"A",.,"A",.,"A",5397,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2511735,53,0,"5","01","D","100","D",.,"A","3","D","09","D","1990","D",.,"A",.,"A",.,"A",850,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2511765,36,0,"5","01","D","100","D",.,"A","3","D","02","D","2002","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511815,31,0,"5","01","D","100","D",.,"A","3","D","08","D","1996","D",.,"A",.,"A",.,"A",265,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511825,26,0,"5","01","D","100","D",.,"A","3","D","04","D","2012","D",215000,"D",6500,"D",8000,"D",1400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D"
"20131",2511825,27,0,"5","02","D","200","D",.,"A","3","D","09","D","2010","D",.,"A",.,"A",.,"A",1100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2511825,28,0,"5","03","D","300","D",.,"A","3","D","11","D","2008","D",.,"A",.,"A",.,"A",4000,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2511855,18,0,"1","01","D","100","D",.,"A","3","D","10","F","2012","D",.,"A",.,"A",.,"A",460,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511855,19,0,"1","02","D","200","D",.,"A","3","D",,"C","1999","D",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2511905,59,0,"5","01","D","100","D",.,"A","3","D","03","D","1988","D",.,"A",.,"A",.,"A",4100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511905,60,0,"5","02","D","500","D",.,"A","3","D",,"C","2001","D",.,"A",.,"A",.,"A",50,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2511905,61,0,"5","03","D","500","D",.,"A","3","D","12","D","2010","D",5000,"D",5000,"D",250,"D",75,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D",,"A"
"20131",2511955,29,0,"5","01","D","100","D",.,"A","3","D","01","D","1977","D",.,"A",.,"A",.,"A",900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511965,27,0,"1","01","D","100","D",.,"A","3","D","11","D","2012","D",173000,"F",0,"F",450,"F",2400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2511975,45,0,"5","01","D","100","D",.,"A","3","D","06","D","1962","D",.,"A",.,"A",.,"A",2077,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
