"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20131",2512055,30,0,"1","110","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2512465,30,0,"1","110","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2512525,51,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",7000,"D","01","D"
"20131",2512575,40,0,"1","100","D","1","D","10","D",2300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2512635,36,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",1057,"D","01","D"
"20131",2512645,40,0,"1","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2512685,53,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20131",2512715,82,0,"1","110","D","1","D","10","D",3500,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2513015,66,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",24500,"D","01","D"
"20131",2513355,45,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20131",2513645,50,0,"1","110","D","1","D","11","D",17000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2513775,43,0,"1","110","D","4","D","11","D",.,"A",28000,"D",.,"A","2","D",.,"A","01","D"
"20131",2514705,96,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2514725,37,0,"1","100","D","1","D","12","D",2300,"F",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2514975,49,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2515075,33,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2515205,35,0,"1","110","D","1","D","10","D",250,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2515295,50,0,"1","110","D","1","D","10","D",16000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2515815,50,0,"1","100","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2516485,59,0,"2","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2516595,51,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2516935,46,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2517025,49,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20131",2517075,93,0,"1","100","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
