"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20131",2511555,44,0,"1","810","D","1","D",40,"D",.,"A",,"A"
"20131",2511575,53,0,"1","150","D","1","D",25,"F",.,"A",,"A"
"20131",2511575,54,0,"1","820","D","1","D",60,"D",.,"A",,"A"
"20131",2511585,61,0,"1","800","D","1","D",95,"D",.,"A",,"A"
"20131",2511585,62,0,"1","800","D","1","D",25,"D",.,"A",,"A"
"20131",2511585,63,0,"1","830","D","1","D",250,"D",.,"A",,"A"
"20131",2511585,64,0,"1","840","D","1","D",0,"D",.,"A",,"A"
"20131",2511595,68,0,"1","150","D","1","D",44,"D",.,"A",,"A"
"20131",2511595,69,0,"1","200","D","1","D",60,"D",.,"A",,"A"
"20131",2511615,32,0,"1","830","D","1","D",80,"D",.,"A",,"A"
"20131",2511675,46,0,"1","150","D","1","D",16,"D",.,"A",,"A"
"20131",2511695,112,0,"1","150","D","1","D",114,"D",.,"A",,"A"
"20131",2511695,113,0,"1","150","D","1","D",35,"D",.,"A",,"A"
"20131",2511695,114,0,"1","830","D","1","D",302,"D",.,"A",,"A"
"20131",2511765,44,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2511905,69,0,"1","150","D","1","D",98,"D",.,"A",,"A"
"20131",2511905,70,0,"1","830","D","1","D",117,"D",.,"A",,"A"
"20131",2511955,36,0,"1","150","D","1","D",35,"D",.,"A",,"A"
"20131",2511975,47,0,"1","150","D","1","D",17,"D",.,"A",,"A"
"20131",2512045,53,0,"1","840","D","1","D",35,"D",.,"A",,"A"
"20131",2512085,32,0,"1","830","D","1","D",0,"D",.,"A",,"A"
"20131",2512105,45,0,"1","200","D","1","D",70,"D",.,"A",,"A"
"20131",2512165,52,0,"1","830","D","1","D",114,"D",.,"A",,"A"
"20131",2512225,46,0,"1","910","D","1","D",120,"D",.,"A",,"A"
"20131",2512305,68,0,"1","830","D","1","D",120,"D",.,"A",,"A"
"20131",2512375,67,0,"1","150","D","1","D",78,"D",.,"A",,"A"
"20131",2512485,33,0,"1","150","D","1","D",40,"D",.,"A",,"A"
"20131",2512545,79,0,"1","150","D","1","D",48,"D",.,"A",,"A"
"20131",2512545,80,0,"1","150","D","1","D",16,"D",.,"A",,"A"
"20131",2512545,81,0,"1","150","D","2","D",32,"D",.,"A",,"A"
"20131",2512545,82,0,"1","150","D","2","D",20,"D",.,"A",,"A"
