"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20131",2511565,51,0,"1",1,"D",.,"H",,"A"
"20131",2511565,51,1,"1",.,"A",11,"E","120","D"
"20131",2511565,51,2,"1",.,"A",33,"E","150","D"
"20131",2511565,51,3,"1",.,"A",15,"E","160","D"
"20131",2511565,51,4,"1",.,"A",1,"E","190","D"
"20131",2512105,50,0,"1",1,"D",.,"H",,"A"
"20131",2512105,50,1,"1",.,"A",60,"E","100","D"
"20131",2512105,50,2,"1",.,"A",15,"E","110","D"
"20131",2512105,50,3,"1",.,"A",25,"E","120","D"
"20131",2512105,50,4,"1",.,"A",133,"E","130","D"
"20131",2512105,50,5,"1",.,"A",2,"E","140","D"
"20131",2512105,50,6,"1",.,"A",230,"E","150","D"
"20131",2512105,50,7,"1",.,"A",15,"E","160","D"
"20131",2512105,50,8,"1",.,"A",20,"E","190","D"
"20131",2512485,34,0,"1",1,"D",.,"H",,"A"
"20131",2512485,34,1,"1",.,"A",11,"E","120","D"
"20131",2512485,34,2,"1",.,"A",2,"E","140","D"
"20131",2512485,34,3,"1",.,"A",47,"E","150","D"
"20131",2513435,74,0,"1",1,"D",.,"H",,"A"
"20131",2513435,74,1,"1",.,"A",30,"E","100","D"
"20131",2513435,74,2,"1",.,"A",11,"E","110","D"
"20131",2513435,74,3,"1",.,"A",38,"E","120","D"
"20131",2513435,74,4,"1",.,"A",64,"E","130","D"
"20131",2513435,74,5,"1",.,"A",6,"E","140","D"
"20131",2513435,74,6,"1",.,"A",134,"E","150","D"
"20131",2513435,74,7,"1",.,"A",11,"E","190","D"
"20131",2513435,74,8,"1",.,"A",28,"E","200","D"
"20131",2513435,74,9,"1",.,"A",69,"E","210","D"
"20131",2513435,74,10,"1",.,"A",9,"E","220","D"
"20131",2514775,48,0,"1",2,"D",.,"H",,"A"
"20131",2514775,48,1,"1",.,"A",10,"E","200","D"
"20131",2514775,48,2,"1",.,"A",23,"E","210","D"
"20131",2514775,48,3,"1",.,"A",17,"E","220","D"
"20131",2514925,51,0,"1",1,"D",.,"H",,"A"
"20131",2514925,51,1,"1",.,"A",87,"E","100","D"
"20131",2514925,51,2,"1",.,"A",33,"E","110","D"
"20131",2514925,51,3,"1",.,"A",99,"E","120","D"
"20131",2514925,51,4,"1",.,"A",187,"E","130","D"
"20131",2514925,51,5,"1",.,"A",20,"E","140","D"
"20131",2514925,51,6,"1",.,"A",391,"E","150","D"
"20131",2514925,51,7,"1",.,"A",1,"E","160","D"
"20131",2514925,51,8,"1",.,"A",32,"E","190","D"
"20131",2514995,67,0,"1",1,"D",.,"H",,"A"
"20131",2514995,67,1,"1",.,"A",709,"E","100","D"
"20131",2514995,67,2,"1",.,"A",191,"E","110","D"
"20131",2517295,82,0,"1",1,"D",.,"H",,"A"
"20131",2517295,82,1,"1",.,"A",103,"E","100","D"
"20131",2517295,82,2,"1",.,"A",20,"E","110","D"
"20131",2517295,82,3,"1",.,"A",116,"E","120","D"
"20131",2517295,82,4,"1",.,"A",8,"E","140","D"
"20131",2517295,82,5,"1",.,"A",492,"E","150","D"
"20131",2517295,82,6,"1",.,"A",234,"E","160","D"
"20131",2517295,82,7,"1",.,"A",27,"E","190","D"
"20131",2518975,60,0,"1",1,"D",.,"H",,"A"
"20131",2518975,60,1,"1",.,"A",101,"E","100","D"
"20131",2518975,60,2,"1",.,"A",41,"E","110","D"
"20131",2518975,60,3,"1",.,"A",94,"E","200","D"
"20131",2518975,60,4,"1",.,"A",233,"E","210","D"
"20131",2518975,60,5,"1",.,"A",31,"E","220","D"
"20131",2519205,59,0,"1",3,"D",.,"H",,"A"
"20131",2519205,59,1,"1",.,"A",35,"E","100","D"
"20131",2519205,59,2,"1",.,"A",8,"E","110","D"
"20131",2519205,59,3,"1",.,"A",13,"E","120","D"
"20131",2519205,59,4,"1",.,"A",1,"E","140","D"
"20131",2519205,59,5,"1",.,"A",125,"E","150","D"
"20131",2519205,59,6,"1",.,"A",8,"E","160","D"
"20131",2519205,59,7,"1",.,"A",10,"E","190","D"
"20131",2520345,64,0,"1",1,"D",.,"H",,"A"
"20131",2520345,64,1,"1",.,"A",29,"E","200","D"
"20131",2520345,64,2,"1",.,"A",70,"E","210","D"
"20131",2520345,64,3,"1",.,"A",9,"E","220","D"
"20131",2522165,53,0,"1",2,"D",.,"H",,"A"
"20131",2522165,53,1,"1",.,"A",63,"E","100","D"
"20131",2522165,53,2,"1",.,"A",37,"E","110","D"
"20131",2523675,71,0,"1",2,"D",.,"H",,"A"
"20131",2523675,71,1,"1",.,"A",12,"E","120","D"
"20131",2523675,71,2,"1",.,"A",1,"E","140","D"
"20131",2523675,71,3,"1",.,"A",120,"E","150","D"
"20131",2523675,71,4,"1",.,"A",7,"E","160","D"
