"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMNONCU","NUMN_NCU","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20131",2512335,39,0,"1",1,"D",.,"H",,"A"
"20131",2512335,39,1,"1",.,"A",29,"E","120","D"
"20131",2512335,39,2,"1",.,"A",3,"E","140","D"
"20131",2512335,39,3,"1",.,"A",148,"E","150","D"
"20131",2512335,39,4,"1",.,"A",28,"E","160","D"
"20131",2512335,39,5,"1",.,"A",25,"E","170","D"
"20131",2512335,39,6,"1",.,"A",17,"E","190","D"
"20131",2512375,68,0,"1",1,"D",.,"H",,"A"
"20131",2512375,68,1,"1",.,"A",46,"E","100","D"
"20131",2512375,68,2,"1",.,"A",17,"E","110","D"
"20131",2512375,68,3,"1",.,"A",32,"E","120","D"
"20131",2512375,68,4,"1",.,"A",8,"E","140","D"
"20131",2512375,68,5,"1",.,"A",217,"E","150","D"
"20131",2512375,68,6,"1",.,"A",22,"E","160","D"
"20131",2512375,68,7,"1",.,"A",14,"E","170","D"
"20131",2512375,68,8,"1",.,"A",17,"E","180","D"
"20131",2512375,68,9,"1",.,"A",27,"E","190","D"
"20131",2513235,56,0,"1",1,"D",.,"H",,"A"
"20131",2513235,56,1,"1",.,"A",60,"E","100","D"
"20131",2513235,56,2,"1",.,"A",15,"E","110","D"
"20131",2513235,56,3,"1",.,"A",24,"E","120","D"
"20131",2513235,56,4,"1",.,"A",4,"E","140","D"
"20131",2513235,56,5,"1",.,"A",179,"E","150","D"
"20131",2513235,56,6,"1",.,"A",20,"E","160","D"
"20131",2513235,56,7,"1",.,"A",22,"E","170","D"
"20131",2513235,56,8,"1",.,"A",653,"E","180","D"
"20131",2513235,56,9,"1",.,"A",23,"E","190","D"
"20131",2514835,37,0,"1",1,"D",.,"H",,"A"
"20131",2514835,37,1,"1",.,"A",169,"E","100","D"
"20131",2514835,37,2,"1",.,"A",55,"E","110","D"
"20131",2514835,37,3,"1",.,"A",106,"E","120","D"
"20131",2514835,37,4,"1",.,"A",379,"E","130","D"
"20131",2514835,37,5,"1",.,"A",14,"E","140","D"
"20131",2514835,37,6,"1",.,"A",593,"E","150","D"
"20131",2514835,37,7,"1",.,"A",113,"E","160","D"
"20131",2514835,37,8,"1",.,"A",101,"E","170","D"
"20131",2514835,37,9,"1",.,"A",70,"E","190","D"
"20131",2520095,49,0,"1",1,"D",.,"H",,"A"
"20131",2520095,49,1,"1",.,"A",51,"E","120","D"
"20131",2520095,49,2,"1",.,"A",7,"E","140","D"
"20131",2520095,49,3,"1",.,"A",287,"E","150","D"
"20131",2520095,49,4,"1",.,"A",54,"E","160","D"
"20131",2520095,49,5,"1",.,"A",48,"E","170","D"
"20131",2520095,49,6,"1",.,"A",33,"E","190","D"
"20131",2522105,52,0,"1",1,"D",.,"H",,"A"
"20131",2522105,52,1,"1",.,"A",220,"E","100","D"
