"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","NTRTPUR","NTRTPUR_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","QADNTR1X","QADN_R1X","QADNTR2X","QADN_R2X","QADNTR3X","QADN_R3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","TELVOP1X","TELV_P1X","TELVOP2X","TELV_P2X","TELVOP3X","TELV_P3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X"
"20131",2511505,56,0,"1",.,"A","1","D",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",37,"D",37,"D",37,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511505,57,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",60,"D",60,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511555,45,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",200,"D",200,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511555,46,0,"1",.,"A","1","D",,"A","1","D","1","D","2","D",,"A",33,"F",30,"F",33,"F",33,"F",60,"F",33,"F",.,"A",.,"A",.,"A",63,"F",39,"F",63,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511565,52,0,"1",.,"A",,"A","2","D","1","D","2","D","2","D",,"A",20,"D",20,"D",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",90,"F",90,"F",90,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511575,57,0,"1",.,"A","1","D",,"A","1","D","1","D","2","D",,"A",50,"F",50,"F",50,"F",50,"F",50,"F",50,"F",.,"A",.,"A",.,"A",50,"F",50,"F",50,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511575,58,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",116,"D",116,"D",116,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511585,68,0,"1",.,"A","1","D","2","D","1","D","2","D","2","D",,"A",23,"D",23,"D",23,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",77,"G",25,"G",30,"G",160,"G",53,"G",64,"G",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511595,71,0,"1",.,"A","1","D",,"A","1","D","1","D","2","D",,"A",40,"F",40,"F",40,"F",60,"F",60,"F",60,"F",.,"A",.,"A",.,"A",60,"F",60,"F",60,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511595,72,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",164,"D",164,"D",164,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511615,33,0,"1",.,"A",,"A",,"A","1","D","1","D","2","D",,"A",30,"D",30,"D",30,"D",70,"D",70,"D",70,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"F",40,"F",40,"F",.,"A",.,"A",.,"A"
"20131",2511615,34,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",70,"D",70,"D",70,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511625,34,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",130,"D",130,"D",130,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511645,22,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",30,"D",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511675,48,0,"1",.,"A",,"A","2","D","1","D","2","D","2","D",,"A",0,"F",0,"F",12,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",159,"F",159,"F",147,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511675,49,0,"1",.,"A","1","D",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",21,"D",21,"D",21,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511695,118,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",107,"D",107,"D",107,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511695,119,0,"1",.,"A","1","D",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",73,"D",73,"D",73,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511695,120,0,"1",.,"A","1","D",,"A","1","D","1","D","2","D","1","D",45,"D",45,"D",0,"D",45,"D",45,"D",0,"D",.,"A",.,"A",.,"A",45,"F",45,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511735,61,0,"1",.,"A","1","D",,"A","1","D","1","D","2","D",,"A",15,"D",15,"D",15,"D",124,"D",124,"D",124,"D",.,"A",.,"A",.,"A",45,"F",66,"F",66,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511765,45,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D","5","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511795,23,0,"1",.,"A","1","D",,"A","1","D","2","D","2","D",,"A",84,"D",84,"D",84,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",5,"F",5,"F",5,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511815,39,0,"1",.,"A","1","D",,"A","1","D","1","D","2","D",,"A",50,"F",35,"F",35,"F",60,"F",55,"F",55,"F",.,"A",.,"A",.,"A",61,"F",81,"F",81,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511815,40,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",294,"D",294,"D",294,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511825,37,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",52,"D",52,"D",52,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511855,23,0,"1",.,"A","1","D",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",35,"D",35,"D",35,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511905,73,0,"1",.,"A","1","D",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",30,"D",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511905,74,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",135,"D",146,"D",161,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511955,37,0,"1",.,"A","1","D",,"A","1","D","1","D","2","D",,"A",30,"F",30,"F",30,"F",65,"F",65,"F",65,"F",.,"A",.,"A",.,"A",35,"F",35,"F",35,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511955,38,0,"1",.,"A",,"A","2","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",120,"D",120,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
