"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20131",2511575,60,0,"1",40,"D",.,"A",.,"A"
"20131",2511645,25,0,"1",.,"A",1,"D",.,"A"
"20131",2512225,53,0,"1",20,"D",.,"A",.,"A"
"20131",2512355,33,0,"1",60,"D",.,"A",.,"A"
"20131",2512545,93,0,"1",.,"A",.,"A",20,"D"
"20131",2512585,68,0,"1",.,"A",.,"A",29,"D"
"20131",2513235,60,0,"1",15,"D",.,"A",.,"A"
"20131",2513435,81,0,"1",.,"A",.,"A",99,"D"
"20131",2513855,55,0,"1",.,"A",.,"A",60,"D"
"20131",2513885,37,0,"1",.,"A",.,"A",230,"D"
"20131",2513935,76,0,"1",10,"D",.,"A",.,"A"
"20131",2514235,45,0,"1",15,"D",.,"A",.,"A"
"20131",2514935,52,0,"1",.,"A",.,"A",50,"D"
"20131",2514965,52,0,"1",270,"D",.,"A",.,"A"
"20131",2515035,40,0,"1",85,"D",.,"A",.,"A"
"20131",2515205,41,0,"1",30,"D",.,"A",.,"A"
"20131",2516025,44,0,"1",.,"A",.,"A",80,"D"
"20131",2516335,72,0,"1",.,"A",.,"A",20,"D"
"20131",2516625,24,0,"1",10,"D",.,"A",.,"A"
"20131",2516755,36,0,"1",.,"A",.,"A",90,"D"
"20131",2516805,55,0,"1",.,"A",.,"A",.,"A"
"20131",2517255,48,0,"1",.,"A",.,"A",95,"D"
"20131",2517515,24,0,"1",150,"D",.,"A",.,"A"
"20131",2517805,63,0,"1",5,"D",.,"A",.,"A"
"20131",2517865,73,0,"1",.,"A",.,"A",25,"D"
"20131",2517905,34,0,"1",.,"A",.,"A",80,"D"
"20131",2518115,61,0,"1",75,"D",.,"A",.,"A"
"20131",2518285,41,0,"1",25,"D",.,"A",.,"A"
"20131",2519725,27,0,"1",40,"D",.,"A",.,"A"
"20131",2520425,145,0,"1",.,"A",.,"A",53,"D"
"20131",2520485,38,0,"1",.,"A",.,"A",90,"D"
"20131",2520905,31,0,"1",90,"D",.,"A",.,"A"
"20131",2521245,62,0,"1",22,"D",.,"A",.,"A"
"20131",2521505,40,0,"1",5,"D",.,"A",.,"A"
"20131",2521655,48,0,"1",20,"D",.,"A",.,"A"
"20131",2521725,30,0,"1",.,"A",.,"A",120,"D"
"20131",2521815,47,0,"1",.,"A",.,"A",135,"D"
"20131",2522505,27,0,"1",.,"A",.,"A",0,"D"
"20131",2522605,47,0,"1",.,"A",.,"A",105,"D"
"20131",2522835,52,0,"1",100,"D",.,"A",.,"A"
"20131",2523085,24,0,"1",80,"D",.,"A",.,"A"
"20131",2523145,49,0,"1",.,"A",.,"A",0,"D"
"20131",2523245,70,0,"1",8,"D",.,"A",.,"A"
"20131",2523335,41,0,"1",.,"A",.,"A",150,"D"
"20131",2523475,23,0,"1",40,"D",.,"A",.,"A"
"20131",2524135,58,0,"1",35,"D",.,"A",.,"A"
"20131",2524195,23,0,"1",30,"D",.,"A",.,"A"
"20131",2524225,51,0,"1",.,"A",.,"A",90,"D"
"20131",2524555,53,0,"1",.,"A",.,"A",13,"D"
"20131",2525265,38,0,"1",.,"A",.,"A",93,"F"
"20131",2525285,45,0,"1",.,"A",.,"A",15,"D"
"20131",2525425,67,0,"1",24,"D",.,"A",.,"A"
"20131",2525595,41,0,"1",35,"D",.,"A",.,"A"
"20131",2525975,72,0,"1",.,"A",.,"A",225,"D"
"20131",2526375,38,0,"1",.,"A",.,"A",30,"D"
"20131",2526505,41,0,"1",0,"D",.,"A",.,"A"
"20131",2526725,41,0,"1",150,"D",.,"A",.,"A"
"20131",2527485,28,0,"1",.,"A",.,"A",255,"D"
"20131",2528065,27,0,"1",.,"A",.,"A",150,"D"
"20131",2528265,56,0,"1",18,"D",.,"A",.,"A"
"20131",2528815,23,0,"1",60,"D",.,"A",.,"A"
"20131",2528865,26,0,"1",70,"D",.,"A",.,"A"
"20131",2529325,83,0,"1",120,"D",.,"A",.,"A"
"20131",2529735,46,0,"1",.,"A",.,"A",19,"D"
"20131",2529905,71,0,"1",188,"D",3,"D",.,"A"
"20131",2530085,33,0,"1",10,"D",.,"A",.,"A"
"20131",2530355,32,0,"1",.,"A",.,"A",1,"D"
"20131",2530695,42,0,"1",30,"D",.,"A",.,"A"
"20131",2530755,29,0,"1",.,"A",.,"A",50,"D"
"20131",2531015,37,0,"1",.,"A",.,"A",24,"D"
"20131",2531135,20,0,"1",215,"D",.,"A",.,"A"
"20131",2531165,36,0,"1",20,"D",.,"A",.,"A"
"20131",2531355,63,0,"1",150,"D",.,"A",.,"A"
"20131",2531495,38,0,"1",8,"D",.,"A",.,"A"
"20131",2531555,47,0,"1",0,"D",.,"A",.,"A"
"20131",2531655,47,0,"1",10,"D",.,"A",.,"A"
"20131",2531835,44,0,"1",.,"A",.,"A",0,"D"
"20131",2533435,35,0,"1",5,"D",.,"A",.,"A"
"20131",2534125,35,0,"1",55,"D",.,"A",.,"A"
"20131",2534955,36,0,"1",0,"D",.,"A",.,"A"
"20131",2535245,89,0,"1",50,"D",.,"A",.,"A"
"20131",2535485,38,0,"1",120,"D",.,"A",.,"A"
"20131",2535625,51,0,"1",.,"A",.,"A",120,"D"
"20131",2535635,37,0,"1",.,"A",.,"A",30,"D"
