"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_"
2612735,"07","2013","900030","2",2400,
2612735,"08","2013","900030","2",2400,
2612735,"09","2013","900030","2",2400,
2612735,"07","2013","900170","2",2895.6167,
2612735,"08","2013","900170","2",2895.6167,
2612735,"09","2013","900170","2",2895.6167,
2612735,"07","2013","980000","2",5295.6167,
2612735,"08","2013","980000","2",5295.6167,
2612735,"09","2013","980000","2",5295.6167,
2612735,"07","2013","980010","2",0.1667,
2612735,"08","2013","980010","2",0.1667,
2612735,"09","2013","980010","2",0.1667,
2612735,"07","2013","980020","2",6.4167,
2612735,"08","2013","980020","2",6.4167,
2612735,"09","2013","980020","2",6.4167,
2612735,"07","2013","980040","2",0.1667,
2612735,"08","2013","980040","2",0.1667,
2612735,"09","2013","980040","2",0.1667,
2612735,"07","2013","980060","2",0.1667,
2612735,"08","2013","980060","2",0.1667,
2612735,"09","2013","980060","2",0.1667,
2612735,"07","2013","980070","2",5295.6167,
2612735,"08","2013","980070","2",5295.6167,
2612735,"09","2013","980070","2",5295.6167,
2612735,"07","2013","980071","2",5112.3667,
2612735,"08","2013","980071","2",5112.3667,
2612735,"09","2013","980071","2",5112.3667,
2612735,"07","2013","980090","1",8.3333,
2612735,"08","2013","980090","1",8.3333,
2612735,"09","2013","980090","1",8.3333,
2612735,"07","2013","980210","2",8.3333,
2612735,"08","2013","980210","2",8.3333,
2612735,"09","2013","980210","2",8.3333,
2612735,"07","2013","980240","2",8.3333,
2612735,"08","2013","980240","2",8.3333,
2612735,"09","2013","980240","2",8.3333,
2612735,"07","2013","980281","2",8.3333,
2612735,"08","2013","980281","2",8.3333,
2612735,"09","2013","980281","2",8.3333,
2612735,"07","2013","980286","2",8.3333,
2612735,"08","2013","980286","2",8.3333,
2612735,"09","2013","980286","2",8.3333,
2612735,"07","2013","980310","2",8.3333,
2612735,"08","2013","980310","2",8.3333,
2612735,"09","2013","980310","2",8.3333,
2612735,"07","2013","980330","2",8.3333,
2612735,"08","2013","980330","2",8.3333,
2612735,"09","2013","980330","2",8.3333,
2612735,"07","2013","980350","2",8.3333,
2612735,"08","2013","980350","2",8.3333,
2612735,"09","2013","980350","2",8.3333,
2612765,"07","2013","005100","2",208.3333,
2612765,"08","2013","005100","2",208.3333,
2612765,"09","2013","005100","2",208.3333,
2612765,"07","2013","005110","2",208.3333,
2612765,"08","2013","005110","2",208.3333,
2612765,"09","2013","005110","2",208.3333,
2612765,"07","2013","005200","2",25000,
2612765,"08","2013","005200","2",25000,
2612765,"09","2013","005200","2",25000,
2612765,"07","2013","005210","2",27500,
2612765,"08","2013","005210","2",27500,
2612765,"09","2013","005210","2",27500,
2612765,"07","2013","900030","2",967,
2612765,"08","2013","900030","2",967,
2612765,"09","2013","900030","2",967,
2612765,"07","2013","900170","2",4.75,
2612765,"08","2013","900170","2",4.75,
2612765,"09","2013","900170","2",4.75,
2612765,"07","2013","980000","2",971.75,
2612765,"08","2013","980000","2",971.75,
2612765,"09","2013","980000","2",971.75,
2612765,"07","2013","980010","2",0.0833,
2612765,"08","2013","980010","2",0.0833,
2612765,"09","2013","980010","2",0.0833,
2612765,"07","2013","980020","2",5.75,
2612765,"08","2013","980020","2",5.75,
2612765,"09","2013","980020","2",5.75,
2612765,"07","2013","980040","2",0.0833,
2612765,"08","2013","980040","2",0.0833,
2612765,"09","2013","980040","2",0.0833,
2612765,"07","2013","980060","2",0.0833,
2612765,"08","2013","980060","2",0.0833,
2612765,"09","2013","980060","2",0.0833,
2612765,"07","2013","980070","2",971.75,
2612765,"08","2013","980070","2",971.75,
2612765,"09","2013","980070","2",971.75,
2612765,"07","2013","980071","2",971.75,
2612765,"08","2013","980071","2",971.75,
2612765,"09","2013","980071","2",971.75,
2612765,"07","2013","980090","1",8.3333,
2612765,"08","2013","980090","1",8.3333,
2612765,"09","2013","980090","1",8.3333,
2612765,"07","2013","980220","2",8.3333,
2612765,"08","2013","980220","2",8.3333,
2612765,"09","2013","980220","2",8.3333,
2612765,"07","2013","980230","2",8.3333,
2612765,"08","2013","980230","2",8.3333,
2612765,"09","2013","980230","2",8.3333,
2612765,"07","2013","980281","2",8.3333,
2612765,"08","2013","980281","2",8.3333,
2612765,"09","2013","980281","2",8.3333,
2612765,"07","2013","980286","2",8.3333,
2612765,"08","2013","980286","2",8.3333,
2612765,"09","2013","980286","2",8.3333,
2612765,"07","2013","980310","2",8.3333,
2612765,"08","2013","980310","2",8.3333,
2612765,"09","2013","980310","2",8.3333,
2612765,"07","2013","980330","2",8.3333,
2612765,"08","2013","980330","2",8.3333,
2612765,"09","2013","980330","2",8.3333,
2612765,"07","2013","980350","2",8.3333,
2612765,"08","2013","980350","2",8.3333,
2612765,"09","2013","980350","2",8.3333,
2612775,"07","2013","800940","2",981.8333,
2612775,"08","2013","800940","2",981.8333,
2612775,"09","2013","800940","2",981.8333,
2612775,"07","2013","900000","2",12833.3333,
2612775,"08","2013","900000","2",12833.3333,
2612775,"09","2013","900000","2",12833.3333,
2612775,"07","2013","950001","2",-541.6667,
2612775,"08","2013","950001","2",-541.6667,
2612775,"09","2013","950001","2",-541.6667,
2612775,"07","2013","950011","2",-125,
2612775,"08","2013","950011","2",-125,
2612775,"09","2013","950011","2",-125,
2612775,"07","2013","980000","2",12833.3333,
2612775,"08","2013","980000","2",12833.3333,
2612775,"09","2013","980000","2",12833.3333,
2612775,"07","2013","980010","2",0.3333,
2612775,"08","2013","980010","2",0.3333,
2612775,"09","2013","980010","2",0.3333,
2612775,"07","2013","980020","2",4.25,
2612775,"08","2013","980020","2",4.25,
2612775,"09","2013","980020","2",4.25,
2612775,"07","2013","980030","2",0.25,
2612775,"08","2013","980030","2",0.25,
2612775,"09","2013","980030","2",0.25,
2612775,"07","2013","980040","2",0.8333,
2612775,"08","2013","980040","2",0.8333,
2612775,"09","2013","980040","2",0.8333,
2612775,"07","2013","980050","2",0.0833,
2612775,"08","2013","980050","2",0.0833,
