"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2578855,1,"2012","2011",2,0,0,"3",-0.4,-0.4,"0","T",0,0,0,"D",0,"D",0,"D",0,"D",60,"D",0,"D",0,"D",0,"D",0,"D",2400,"D",6,"D",0,"D",0,"D",9049,"D",0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2578865,1,"2012","2011",0,0,0,"1",-0.0765,-0.0765,"44","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",147,"D",9324,"D",0,"D",4200,"D",0,"D",0,"D",0,"D",0,"D",1020,"D",0,0,0,0,0,0,0,0,147,147,0,0,0,0,0,0,0,0,0,0,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2578875,1,"2012","2011",1,0.133,0.133,"3",0.2305,0.2301,"33","D",0.078,0.0798,0,"D",0,"D",105029,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",8500,"D",0,"D",0,"D",0,"D",736,"D",15339,5762,15390.66,15287.31,5900.36,5623.76,13968.86,13968.86,105029,105029,105029.01,105029.01,0,0,0,0,0,0,0,0,104293,104293,0,0,15390.66,15287.31,15390.66,15287.31,10500,10500,9236,9236,0,0,0,0,0,0,0
2578875,2,"2012","2011",0,0.133,0.133,"1",0.15,0.25,"33","D",0.0645,0.0685,0,"D",0,"D",45000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4926,2137,5000,4852.5,2171.75,2101.75,5985,5985,45000,45000,45000.01,45000.01,0,0,0,0,0,0,0,0,45000,45000,0,0,5000,4852.5,5000,4852.5,7500,7500,0,0,0,0,0,0,0,0,0
2578895,1,"2012","2011",0,0.133,0.133,"1",-0.0765,-0.0765,"20","D",0,0,0,"D",0,"D",6000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",378,"D",598,"D",0,"D",0,"D",48,"D",-459,0,-459,-459,0,0,798,798,6000,6000,6000.01,6000.01,0,0,0,0,0,0,459,459,6000,6000,0,0,0,0,0,0,5800,5950,0,0,0,0,0,0,22.95,22.95,0
2578905,1,"2012","2011",3,0.133,0.133,"3",0.2106,0.3106,"05","D",0,0,0,"D",0,"D",23544,"D",0,"D",0,"D",0,"D",0,"D",7100,"D",14400,"D",0,"D",0,"D",0,"D",2,"D",0,"D",-6409,0,-6283.15,-6533.89,0,0,3131.35,3131.35,23544,23544,23544.01,23544.01,24.4,0,1975.6,2000,0,0,4307.55,4533.89,23544,23544,0,0,24.4,0,24.4,0,7538,7682,0,0,0,0,0,0,0,0,0
2578905,2,"2012","2011",0,0.133,0.133,"1",0,0,"05","D",0,0,0,"D",0,"D",6779,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-470,0,-464,-475,0,0,901.61,901.61,6779,6779,6779.01,6779.01,0,0,0,0,0,0,464,475,6779,6779,0,0,0,0,0,0,3769,3841,0,0,0,0,0,0,0,0,0
2578915,1,"2012","2011",0,0.133,0.133,"1",0.0765,0.0765,"33","D",0.065,0.0649,0,"D",0,"D",9000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1100,"D",0,"D",0,"D",0,"D",0,"D",-368,-109,-356.13,-379.37,-105.84,-112.81,1197,1197,9000,9000,9000.01,9000.01,0,0,0,0,0,0,356.13,379.37,9000,9000,0,0,0,0,0,0,7500,7500,0,0,59,59,0,0,57.61,64.58,0
2578935,1,"2012","2011",3,0,0,"3",-0.45,-0.45,"39","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1152,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2578955,1,"2012","2011",0,0.133,0.133,"1",0.2397,0.2397,"36","D",0.0411,0.0411,0,"D",0,"D",70000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",970,"D",38,"D",0,"D",0,"D",4588,"D",10696,2182,10753.83,10637.34,2188.68,2174.63,9310,9310,70000,70000,70000.01,70000.01,0,0,0,0,0,0,0,0,65412,65412,0,0,10753.83,10637.34,10753.83,10637.34,0,0,0,0,0,0,0,0,0,0,0
