"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","POLICYIB","POLI_YIB","PLCYSTAB","PLCY_TAB","POLICYYB","POLI_YYB","INSPRPY1","INSP_PY1","INSPRPY2","INSP_PY2","INSPRPY3","INSP_PY3","INSPRPY4","INSP_PY4","INSPRPY5","INSP_PY5","INSPRPY6","INSP_PY6","PAYDEDPR","PAYD_DPR","QINSRDDZ","QINS_DDZ","QPROPDDZ","QPRO_DDZ","QRTINDDZ","QRTI_DDZ","QVH3MCMX","QVH3_CMX","QPR3MCMX","QPR3_CMX","QTN3MCMX","QTN3_CMX","QLIFCMX","QLIFCMX_","QOTHCMX","QOTHCMX_","INSPTYPE","INSP_YPE","INSCMB1","INSCMB1_","INSCMB2","INSCMB2_","INSCMB3","INSCMB3_","INSCMB4","INSCMB4_","INSCMB5","INSCMB5_","INSCMB6","INSCMB6_","INSCMB7","INSCMB7_","INSCMB8","INSCMB8_","INSCMB9","INSCMB9_","QLNGTCMX","QLNG_CMX","PREMOUT","PREMOUT_","PREMYOU","PREMYOU_"
"20141",2647065,10,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",42,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647105,9,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647115,8,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",110,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647125,10,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",210,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647135,10,0,"1","03","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",1,"D",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647135,11,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647165,18,0,"5","01","D",,"A","110","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647165,19,0,"5","02","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647165,20,0,"5","03","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",1,"D",.,"A",.,"A",700,"D",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647205,16,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647205,17,0,"5","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647295,19,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",0.45,"D",.,"A",.,"A",363,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647295,20,0,"5","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",1,"D",.,"A",.,"A",660,"D",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647355,12,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647395,34,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",96,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647395,35,0,"5","02","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"F",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647395,36,0,"5","03","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",69,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647395,37,0,"5","04","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",475,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647395,38,0,"5","05","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",1,"D",.,"A",.,"A",254,"D",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647435,15,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647435,16,0,"5","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",1,"D",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647445,10,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",837,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647445,11,0,"5","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
"20141",2647475,9,0,"1","04","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1,"D",.,"A",.,"A",1000,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A","1","D"
