"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X","TELBLPRS","TELB_PRS"
"20151","02792005",15,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",50,"D",50,"D",.,"A",.,"A",.,"A",,"A"
"20151","02792075",15,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",68,"D",73,"D",68,"D",.,"A",.,"A",.,"A",,"A"
"20151","02792075",16,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",78,"D",78,"D",78,"D",.,"A",.,"A",.,"A",,"A"
"20151","02792095",15,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",40,"D",40,"D",.,"A",.,"A",.,"A",,"A"
"20151","02792115",23,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",30,"F",10,"F",30,"F",50,"F",50,"F",50,"F",40,"F",60,"F",40,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20151","02792125",14,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",39,"D",39,"D",39,"D",.,"A",.,"A",.,"A",,"A"
"20151","02792125",15,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",59,"D",59,"D",59,"D",.,"A",.,"A",.,"A",,"A"
"20151","02792155",20,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",0,"F",15,"F",0,"F",.,"A",.,"A",.,"A",44,"F",29,"F",44,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D"
"20151","02792225",10,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",26,"D",26,"D",26,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A"
"20151","02792245",40,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",70,"F",70,"F",70,"F",.,"A",.,"A",.,"A",180,"F",180,"F",180,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
