"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_"
"02792005","11","2014","005200","2",83.3333,
"02792005","12","2014","005200","2",83.3333,
"02792005","01","2015","005200","2",83.3333,
"02792005","11","2014","005210","2",41.6667,
"02792005","12","2014","005210","2",41.6667,
"02792005","01","2015","005210","2",41.6667,
"02792005","11","2014","800931","2",60.6667,
"02792005","12","2014","800931","2",60.6667,
"02792005","01","2015","800931","2",60.6667,
"02792005","11","2014","800940","2",152.5,
"02792005","12","2014","800940","2",152.5,
"02792005","01","2015","800940","2",152.5,
"02792005","11","2014","900000","2",1993.3333,
"02792005","12","2014","900000","2",1993.3333,
"02792005","01","2015","900000","2",1993.3333,
"02792005","11","2014","980000","2",1993.3333,
"02792005","12","2014","980000","2",1993.3333,
"02792005","01","2015","980000","2",1993.3333,
"02792005","11","2014","980010","2",0.0833,
"02792005","12","2014","980010","2",0.0833,
"02792005","01","2015","980010","2",0.0833,
"02792005","11","2014","980020","2",5,
"02792005","12","2014","980020","2",5,
"02792005","01","2015","980020","2",5,
"02792005","11","2014","980030","2",0.0833,
"02792005","12","2014","980030","2",0.0833,
"02792005","01","2015","980030","2",0.0833,
"02792005","11","2014","980040","2",0.1667,
"02792005","12","2014","980040","2",0.1667,
"02792005","01","2015","980040","2",0.1667,
"02792005","11","2014","980071","2",1788,
"02792005","12","2014","980071","2",1788,
"02792005","01","2015","980071","2",1788,
"02792005","11","2014","980090","1",8.3333,
"02792005","12","2014","980090","1",8.3333,
"02792005","01","2015","980090","1",8.3333,
"02792005","11","2014","980210","2",8.3333,
"02792005","12","2014","980210","2",8.3333,
"02792005","01","2015","980210","2",8.3333,
"02792005","11","2014","980230","2",8.3333,
"02792005","12","2014","980230","2",8.3333,
"02792005","01","2015","980230","2",8.3333,
"02792005","11","2014","980270","2",8.3333,
"02792005","12","2014","980270","2",8.3333,
"02792005","01","2015","980270","2",8.3333,
"02792005","11","2014","980286","2",8.3333,
"02792005","12","2014","980286","2",8.3333,
"02792005","01","2015","980286","2",8.3333,
"02792005","11","2014","980300","2",8.3333,
"02792005","12","2014","980300","2",8.3333,
"02792005","01","2015","980300","2",8.3333,
"02792005","11","2014","980330","2",8.3333,
"02792005","12","2014","980330","2",8.3333,
"02792005","01","2015","980330","2",8.3333,
"02792005","11","2014","980350","2",8.3333,
"02792005","12","2014","980350","2",8.3333,
"02792005","01","2015","980350","2",8.3333,
"02792065","11","2014","005100","2",208.3333,
"02792065","12","2014","005100","2",208.3333,
"02792065","01","2015","005100","2",208.3333,
"02792065","11","2014","005110","2",58.3333,
"02792065","12","2014","005110","2",58.3333,
"02792065","01","2015","005110","2",58.3333,
"02792065","11","2014","005200","2",833.3333,
"02792065","12","2014","005200","2",833.3333,
"02792065","01","2015","005200","2",833.3333,
"02792065","11","2014","005210","2",705.3333,
"02792065","12","2014","005210","2",705.3333,
"02792065","01","2015","005210","2",705.3333,
"02792065","11","2014","005400","2",16.6667,
"02792065","12","2014","005400","2",16.6667,
"02792065","01","2015","005400","2",16.6667,
"02792065","11","2014","005420","2",120,
"02792065","12","2014","005420","2",120,
"02792065","01","2015","005420","2",120,
"02792065","11","2014","800931","2",69.8333,
"02792065","12","2014","800931","2",69.8333,
"02792065","01","2015","800931","2",69.8333,
"02792065","11","2014","800940","2",350.6667,
"02792065","12","2014","800940","2",350.6667,
"02792065","01","2015","800940","2",350.6667,
"02792065","11","2014","900000","2",4583.3333,
"02792065","12","2014","900000","2",4583.3333,
"02792065","01","2015","900000","2",4583.3333,
"02792065","11","2014","980000","2",4583.3333,
"02792065","12","2014","980000","2",4583.3333,
"02792065","01","2015","980000","2",4583.3333,
"02792065","11","2014","980010","2",0.0833,
"02792065","12","2014","980010","2",0.0833,
"02792065","01","2015","980010","2",0.0833,
"02792065","11","2014","980020","2",3.25,
"02792065","12","2014","980020","2",3.25,
"02792065","01","2015","980020","2",3.25,
"02792065","11","2014","980030","2",0.0833,
"02792065","12","2014","980030","2",0.0833,
"02792065","01","2015","980030","2",0.0833,
"02792065","11","2014","980040","2",0.0833,
"02792065","12","2014","980040","2",0.0833,
"02792065","01","2015","980040","2",0.0833,
"02792065","11","2014","980071","2",3784.8333,
"02792065","12","2014","980071","2",3784.8333,
"02792065","01","2015","980071","2",3784.8333,
"02792065","11","2014","980210","2",8.3333,
"02792065","12","2014","980210","2",8.3333,
"02792065","01","2015","980210","2",8.3333,
"02792065","11","2014","980260","2",8.3333,
"02792065","12","2014","980260","2",8.3333,
"02792065","01","2015","980260","2",8.3333,
"02792065","11","2014","980281","2",8.3333,
"02792065","12","2014","980281","2",8.3333,
"02792065","01","2015","980281","2",8.3333,
"02792065","11","2014","980286","2",8.3333,
"02792065","12","2014","980286","2",8.3333,
"02792065","01","2015","980286","2",8.3333,
"02792065","11","2014","980310","2",8.3333,
"02792065","12","2014","980310","2",8.3333,
"02792065","01","2015","980310","2",8.3333,
