"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20161","03088894",6,0,"1","170","D","12","D",230,"D"
"20161","03089104",3,0,"1","170","D","12","D",250,"D"
"20161","03089104",4,0,"1","170","D","12","D",400,"D"
"20161","03089134",13,0,"1","170","D","12","D",140,"D"
"20161","03089134",14,0,"1","160","D","10","D",1205,"D"
"20161","03089164",21,0,"1","170","D","12","D",50,"D"
"20161","03089164",22,0,"1","170","D","11","D",75,"D"
"20161","03089164",23,0,"1","170","D","10","D",10,"D"
"20161","03089164",24,0,"1","150","D","12","D",300,"D"
"20161","03089164",25,0,"1","150","D","11","D",25,"D"
"20161","03089164",26,0,"1","150","D","12","D",25,"D"
"20161","03089164",27,0,"2","170","D","10","D",200,"D"
"20161","03089164",28,0,"2","150","D","10","D",100,"D"
"20161","03089204",48,0,"1","170","D","12","D",50,"D"
"20161","03089204",49,0,"1","170","D","12","D",160,"D"
"20161","03089204",50,0,"1","160","D","13","D",78,"D"
"20161","03089204",51,0,"1","160","D","11","D",10,"D"
"20161","03089204",52,0,"1","160","D","12","D",15,"D"
"20161","03089224",3,0,"1","150","D","12","D",50,"D"
"20161","03089404",1,0,"1","170","D","12","D",600,"D"
"20161","03089474",1,0,"1","150","D","13","D",50,"D"
"20161","03089514",4,0,"1","160","D","13","D",25,"D"
"20161","03089654",9,0,"1","160","D","10","D",5,"D"
"20161","03089754",1,0,"1","150","D","13","D",20,"D"
"20161","03089794",2,0,"1","170","D","12","D",50,"D"
"20161","03089794",3,0,"1","150","D","13","D",100,"D"
"20161","03089794",4,0,"1","160","D","13","D",50,"D"
"20161","03089964",2,0,"1","130","D","13","D",25,"D"
"20161","03089964",3,0,"1","150","D","13","D",200,"D"
"20161","03090134",2,0,"1","140","D","13","D",25,"D"
"20161","03090234",2,0,"1","160","D","12","D",80,"D"
"20161","03090284",6,0,"1","150","D","12","D",300,"D"
"20161","03090294",3,0,"1","150","D","13","D",280,"F"
"20161","03090314",3,0,"1","160","D","12","D",50,"D"
"20161","03090494",4,0,"1","150","D","13","D",12000,"D"
"20161","03090534",10,0,"1","170","D","12","D",50,"D"
"20161","03090534",11,0,"1","170","D","12","D",300,"D"
"20161","03090534",12,0,"1","160","D","11","D",60,"D"
"20161","03090534",13,0,"1","150","D","13","D",200,"D"
"20161","03090574",7,0,"1","170","D","12","D",150,"D"
"20161","03090674",3,0,"1","180","D","10","D",250,"D"
"20161","03090674",4,0,"1","180","D","11","D",250,"D"
"20161","03090674",5,0,"1","180","D","12","D",250,"D"
"20161","03090724",6,0,"1","150","D","12","D",3000,"D"
