"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20161","03088954",39,0,"5","01","D","100","D",0.0425,"D",67000,"D",10,"D",686,"D",,"A",,"A",,"A",,"A",0,"D",1405,"T",1387,"T",1442,"T",823,"D",817,"D",811,"D",,"A","03","D","2015","D","2","D",,"A",63823,"D",63363,"D",62901,"D","01","D","1","D",,"A",,"A",1783,"T",1783,"T",1688,"T","1","D","2","D"
"20161","03090834",23,0,"5","01","D","100","D",0.0859,"F",60000,"F",15,"F",594,"F",,"A",,"A",,"A",,"A",0,"F",329,"F",331,"F",333,"F",671,"F",669,"F",667,"F",,"A","10","F","2013","F","2","F",,"A",55709,"F",55514,"F",55317,"F","01","D","1","D",,"A",,"A",1000,"F",1000,"F",1000,"F","1","D","2","D"
"20161","03090854",20,0,"5","01","D","100","D",0.07,"D",42374,"D",10,"D",492,"D",,"A",,"A",,"A",,"A",0,"D",464,"D",467,"D",470,"D",28,"D",25,"D",22,"D",,"A","08","D","2006","D","1","D",,"A",4765,"D",4301,"D",3834,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03093804",43,0,"5","01","D","100","D",0.0859,"D",39397,"D",5,"D",810,"D",,"A",,"A",,"A",,"A",0,"D",528,"D",532,"D",536,"D",282,"D",278,"D",274,"D",,"A","10","D","2015","D","1","D",,"A",39397,"D",38869,"D",38337,"D","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03093804",45,0,"5","01","D","100","D",0.0859,"D",39397,"D",5,"D",810,"D",,"A",,"A",,"A",,"A",0,"D",539,"D",543,"D",547,"D",271,"D",267,"D",263,"D",,"A","07","D","2015","D","1","D",,"A",37802,"D",37262,"D",36719,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03095374",36,0,"5","01","D","100","D",0.0859,"D",22130,"D",5,"D",455,"D",,"A",,"A",,"A",,"A",0,"D",323,"D",325,"D",328,"D",132,"D",130,"D",127,"D",,"A","10","D","2014","D","1","D",,"A",18427,"D",18104,"D",17779,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03097384",11,0,"5","01","D","100","D",0.08,"D",31392,"D",15,"D",300,"D",,"A",,"A",,"A",,"A",0,"D",167,"D",168,"D",169,"D",133,"D",132,"D",131,"D",,"A","02","D","2008","D","1","D",,"A",19923,"D",19756,"D",19587,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03098264",54,0,"5","01","D","100","D",0.04,"D",11000,"D",10,"D",117,"D",,"B",,"B",,"B",,"B",6,"D",79,"D",79,"D",80,"D",32,"D",32,"D",31,"D",,"A","03","D","2014","D","1","D",,"A",9544,"D",9465,"D",9386,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03099424",40,0,"5","01","D","100","D",0.859,"F",43800,"F",15,"D",545,"F",,"A",,"A",,"A",,"A",0,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","06","F","1997","D","1","D",,"A",.,"A",.,"A",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
"20161","03101094",38,0,"5","01","D","100","D",0.0859,"F",9853,"F",14,"F",101,"F",,"A",,"A",,"A",,"A",0,"F",35,"F",35,"F",35,"F",66,"F",66,"F",66,"F",,"A","05","F","2014","F","1","F",,"A",9270,"F",9235,"F",9200,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
