"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20161","03089104",33,0,"1","420","D","10","D",73,"D",,"A",,"A",,"A",,"A"
"20161","03089104",34,0,"1","410","D","10","D",25,"D",,"A",,"A",,"A",,"A"
"20161","03089164",90,0,"2","400","D","10","D",18,"D",,"A",,"A",,"A",,"A"
"20161","03089164",91,0,"2","420","D","10","D",118,"D",,"A",,"A",,"A",,"A"
"20161","03090094",37,0,"1","400","D","11","D",30,"D",,"A",,"A",,"A",,"A"
"20161","03090284",26,0,"1","420","D","11","D",36,"D",,"A",,"A",,"A",,"A"
"20161","03090294",40,0,"2","420","D","10","D",14,"D",,"A",,"A",,"A",,"A"
"20161","03090314",45,0,"1","420","D","11","D",98,"D",,"A",,"A",,"A",,"A"
"20161","03090494",30,0,"1","420","D","11","D",50,"D",,"A",,"A",,"A",,"A"
"20161","03090534",60,0,"1","420","D","12","D",170,"D",,"A",,"A",,"A",,"A"
"20161","03090534",61,0,"2","420","D","10","D",170,"D",,"A",,"A",,"A",,"A"
"20161","03090574",31,0,"1","400","D","10","D",32,"F",,"A",,"A",,"A",,"A"
"20161","03090574",32,0,"1","410","D","10","D",52,"F",,"A",,"A",,"A",,"A"
"20161","03091114",26,0,"1","410","D","11","D",35,"D",,"A",,"A",,"A",,"A"
"20161","03091454",28,0,"1","420","D","12","D",175,"D",,"A",,"A",,"A",,"A"
"20161","03091474",53,0,"1","405","D","12","D",450,"D",,"A",,"A",,"A",,"A"
"20161","03091534",24,0,"2","420","D","10","D",120,"D",,"A",,"A",,"A",,"A"
"20161","03091594",61,0,"1","410","D","11","D",45,"D",,"A",,"A",,"A",,"A"
"20161","03091864",49,0,"1","430","D","11","D",.,"H","415","D","405","D",,"A",,"A"
"20161","03091864",49,1,"1","420","D","11","D",96,"E",,"A",,"A",,"A",,"A"
"20161","03091864",49,2,"1","405","D","11","D",323,"E",,"A",,"A",,"A",,"A"
"20161","03092094",31,0,"1","420","D","12","D",98,"D",,"A",,"A",,"A",,"A"
"20161","03092444",56,0,"2","410","D","10","D",50,"D",,"A",,"A",,"A",,"A"
"20161","03092444",57,0,"2","410","D","10","D",50,"D",,"A",,"A",,"A",,"A"
"20161","03092444",58,0,"2","420","D","10","D",160,"D",,"A",,"A",,"A",,"A"
"20161","03092444",59,0,"2","420","D","10","D",90,"D",,"A",,"A",,"A",,"A"
"20161","03092454",28,0,"1","405","D","12","D",218,"D",,"A",,"A",,"A",,"A"
"20161","03092854",51,0,"1","410","D","11","D",60,"D",,"A",,"A",,"A",,"A"
"20161","03092854",52,0,"1","420","D","11","D",740,"D",,"A",,"A",,"A",,"A"
"20161","03092954",46,0,"2","410","D","10","D",24,"D",,"A",,"A",,"A",,"A"
"20161","03092954",47,0,"2","430","D","10","D",.,"H","405","D","415","D",,"A",,"A"
"20161","03092954",47,1,"2","405","D","10","D",38,"E",,"A",,"A",,"A",,"A"
"20161","03092954",47,2,"2","420","D","10","D",13,"E",,"A",,"A",,"A",,"A"
"20161","03093284",26,0,"1","430","D","10","D",.,"H","400","D","410","D","415","D",,"A"
"20161","03093284",26,1,"1","400","D","10","D",55,"E",,"A",,"A",,"A",,"A"
"20161","03093284",26,2,"1","420","D","10","D",65,"E",,"A",,"A",,"A",,"A"
"20161","03093424",22,0,"1","420","D","11","D",50,"D",,"A",,"A",,"A",,"A"
"20161","03093484",74,0,"1","400","D","12","D",33,"D",,"A",,"A",,"A",,"A"
"20161","03093564",19,0,"1","430","D","12","D",.,"H","415","D","400","D",,"A",,"A"
"20161","03093564",19,1,"1","420","D","12","D",67,"E",,"A",,"A",,"A",,"A"
"20161","03093564",19,2,"1","400","D","12","D",33,"E",,"A",,"A",,"A",,"A"
"20161","03093624",28,0,"1","420","D","10","D",100,"D",,"A",,"A",,"A",,"A"
"20161","03093674",55,0,"1","410","D","11","D",45,"D",,"A",,"A",,"A",,"A"
"20161","03093674",56,0,"1","420","D","10","D",150,"D",,"A",,"A",,"A",,"A"
"20161","03093674",57,0,"1","420","D","11","D",160,"D",,"A",,"A",,"A",,"A"
"20161","03093674",58,0,"2","420","D","10","D",177,"D",,"A",,"A",,"A",,"A"
"20161","03093824",43,0,"1","405","D","12","D",59,"D",,"A",,"A",,"A",,"A"
"20161","03093874",41,0,"1","420","D","12","D",55,"D",,"A",,"A",,"A",,"A"
"20161","03093874",42,0,"1","410","D","11","D",22,"D",,"A",,"A",,"A",,"A"
"20161","03094014",40,0,"1","420","D","11","D",20,"D",,"A",,"A",,"A",,"A"
"20161","03094544",40,0,"1","420","D","12","D",83,"D",,"A",,"A",,"A",,"A"
"20161","03095074",83,0,"1","430","D","10","D",.,"H","415","D","405","D","410","D",,"A"
"20161","03095074",83,1,"1","420","D","10","D",161,"E",,"A",,"A",,"A",,"A"
"20161","03095074",83,2,"1","405","D","10","D",13,"E",,"A",,"A",,"A",,"A"
"20161","03095074",83,3,"1","410","D","10","D",55,"E",,"A",,"A",,"A",,"A"
"20161","03095284",32,0,"1","420","D","10","D",180,"D",,"A",,"A",,"A",,"A"
"20161","03095284",33,0,"1","420","D","11","D",75,"D",,"A",,"A",,"A",,"A"
"20161","03095284",34,0,"1","410","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20161","03095374",52,0,"2","410","D","10","D",67,"D",,"A",,"A",,"A",,"A"
"20161","03095614",50,0,"1","420","D","10","D",48,"D",,"A",,"A",,"A",,"A"
"20161","03096184",42,0,"1","420","D","12","D",155,"D",,"A",,"A",,"A",,"A"
"20161","03096604",37,0,"1","420","D","12","D",130,"D",,"A",,"A",,"A",,"A"
"20161","03096784",41,0,"1","400","D","12","D",80,"D",,"A",,"A",,"A",,"A"
"20161","03097224",28,0,"1","405","D","12","D",648,"D",,"A",,"A",,"A",,"A"
"20161","03097374",44,0,"1","400","D","10","D",35,"D",,"A",,"A",,"A",,"A"
"20161","03097534",38,0,"1","420","D","11","D",102,"D",,"A",,"A",,"A",,"A"
"20161","03097994",31,0,"1","400","D","11","D",99,"D",,"A",,"A",,"A",,"A"
"20161","03097994",32,0,"1","420","D","11","D",70,"D",,"A",,"A",,"A",,"A"
"20161","03098104",16,0,"1","420","D","11","D",55,"D",,"A",,"A",,"A",,"A"
"20161","03098114",39,0,"1","420","D","10","D",150,"D",,"A",,"A",,"A",,"A"
"20161","03098604",53,0,"1","400","D","11","D",88,"D",,"A",,"A",,"A",,"A"
"20161","03098684",27,0,"1","410","D","11","D",35,"D",,"A",,"A",,"A",,"A"
"20161","03098684",28,0,"1","420","D","11","D",95,"D",,"A",,"A",,"A",,"A"
"20161","03099074",26,0,"1","410","D","12","D",10,"D",,"A",,"A",,"A",,"A"
"20161","03099074",27,0,"1","420","D","12","D",150,"D",,"A",,"A",,"A",,"A"
"20161","03099424",74,0,"1","430","D","12","D",.,"H","415","D","405","D",,"A",,"A"
"20161","03099424",74,1,"1","420","D","12","D",33,"E",,"A",,"A",,"A",,"A"
"20161","03099424",74,2,"1","405","D","12","D",114,"E",,"A",,"A",,"A",,"A"
"20161","03099424",75,0,"1","430","D","12","D",.,"H","415","D","405","D",,"A",,"A"
"20161","03099424",75,1,"1","420","D","12","D",33,"E",,"A",,"A",,"A",,"A"
"20161","03099424",75,2,"1","405","D","12","D",114,"E",,"A",,"A",,"A",,"A"
"20161","03099714",26,0,"1","420","D","11","D",59,"D",,"A",,"A",,"A",,"A"
"20161","03099954",26,0,"1","420","D","10","D",39,"D",,"A",,"A",,"A",,"A"
"20161","03100174",51,0,"2","400","D","10","D",24,"D",,"A",,"A",,"A",,"A"
"20161","03100194",58,0,"1","400","D","10","D",50,"D",,"A",,"A",,"A",,"A"
"20161","03100274",28,0,"1","410","D","11","D",25,"D",,"A",,"A",,"A",,"A"
"20161","03100404",41,0,"1","420","D","12","D",111,"D",,"A",,"A",,"A",,"A"
"20161","03101094",52,0,"1","410","D","11","D",68,"D",,"A",,"A",,"A",,"A"
"20161","03101094",53,0,"1","400","D","12","D",36,"D",,"A",,"A",,"A",,"A"
"20161","03101304",26,0,"1","420","D","12","D",112,"D",,"A",,"A",,"A",,"A"
"20161","03101434",29,0,"1","420","D","11","D",83,"D",,"A",,"A",,"A",,"A"
"20161","03101494",30,0,"1","420","D","12","D",200,"D",,"A",,"A",,"A",,"A"
"20161","03102454",34,0,"1","420","D","11","D",98,"D",,"A",,"A",,"A",,"A"
"20161","03102524",39,0,"1","405","D","12","D",747,"D",,"A",,"A",,"A",,"A"
"20161","03102804",18,0,"1","400","D","10","D",75,"D",,"A",,"A",,"A",,"A"
"20161","03103454",32,0,"1","420","D","12","D",100,"D",,"A",,"A",,"A",,"A"
"20161","03103484",22,0,"1","420","D","12","D",109,"D",,"A",,"A",,"A",,"A"
"20161","03103694",16,0,"1","410","D","11","D",55,"D",,"A",,"A",,"A",,"A"
"20161","03103694",17,0,"1","420","D","11","D",100,"D",,"A",,"A",,"A",,"A"
