NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03566504,07,2017,005100,2,616.6667,
03566504,08,2017,005100,2,616.6667,
03566504,09,2017,005100,2,616.6667,
03566504,07,2017,005110,2,250.0000,
03566504,08,2017,005110,2,250.0000,
03566504,09,2017,005110,2,250.0000,
03566504,07,2017,005400,2,250.0000,
03566504,08,2017,005400,2,250.0000,
03566504,09,2017,005400,2,250.0000,
03566504,07,2017,005410,2,1333.3333,
03566504,08,2017,005410,2,1333.3333,
03566504,09,2017,005410,2,1333.3333,
03566504,07,2017,005420,2,180.0000,
03566504,08,2017,005420,2,180.0000,
03566504,09,2017,005420,2,180.0000,
03566504,07,2017,800940,2,439.9167,
03566504,08,2017,800940,2,439.9167,
03566504,09,2017,800940,2,439.9167,
03566504,07,2017,900000,2,5750.0000,
03566504,08,2017,900000,2,5750.0000,
03566504,09,2017,900000,2,5750.0000,
03566504,07,2017,900210,2,3259.1613,T
03566504,08,2017,900210,2,3259.1613,T
03566504,09,2017,900210,2,3259.1613,T
03566504,07,2017,980000,2,9009.1613,T
03566504,08,2017,980000,2,9009.1613,T
03566504,09,2017,980000,2,9009.1613,T
03566504,07,2017,980010,2,0.1667,
03566504,08,2017,980010,2,0.1667,
03566504,09,2017,980010,2,0.1667,
03566504,07,2017,980020,2,2.1667,
03566504,08,2017,980020,2,2.1667,
03566504,09,2017,980020,2,2.1667,
03566504,07,2017,980030,2,0.1667,
03566504,08,2017,980030,2,0.1667,
03566504,09,2017,980030,2,0.1667,
03566504,07,2017,980040,2,0.5833,
03566504,08,2017,980040,2,0.5833,
03566504,09,2017,980040,2,0.5833,
03566504,07,2017,980210,2,8.3333,
03566504,08,2017,980210,2,8.3333,
03566504,09,2017,980210,2,8.3333,
03566504,07,2017,980260,2,8.3333,
03566504,08,2017,980260,2,8.3333,
03566504,09,2017,980260,2,8.3333,
03566504,07,2017,980283,2,8.3333,
03566504,08,2017,980283,2,8.3333,
03566504,09,2017,980283,2,8.3333,
03566504,07,2017,980286,2,8.3333,
03566504,08,2017,980286,2,8.3333,
03566504,09,2017,980286,2,8.3333,
03566504,07,2017,980310,2,8.3333,
03566504,08,2017,980310,2,8.3333,
03566504,09,2017,980310,2,8.3333,
03566504,07,2017,980330,2,8.3333,
03566504,08,2017,980330,2,8.3333,
03566504,09,2017,980330,2,8.3333,
03566504,07,2017,980340,2,8.3333,
03566504,08,2017,980340,2,8.3333,
03566504,09,2017,980340,2,8.3333,
03566504,07,2017,980350,2,8.3333,
03566504,08,2017,980350,2,8.3333,
03566504,09,2017,980350,2,8.3333,
03566504,07,2017,980360,2,0.0833,
03566504,08,2017,980360,2,0.0833,
03566504,09,2017,980360,2,0.0833,
03566514,07,2017,005100,2,333.3333,
03566514,08,2017,005100,2,333.3333,
03566514,09,2017,005100,2,333.3333,
03566514,07,2017,005110,2,333.3333,
03566514,08,2017,005110,2,333.3333,
03566514,09,2017,005110,2,333.3333,
03566514,07,2017,900030,2,5202.0000,
03566514,08,2017,900030,2,5202.0000,
03566514,09,2017,900030,2,5202.0000,
03566514,07,2017,900170,2,83.0833,
03566514,08,2017,900170,2,83.0833,
03566514,09,2017,900170,2,83.0833,
03566514,07,2017,980000,2,5285.0833,
03566514,08,2017,980000,2,5285.0833,
03566514,09,2017,980000,2,5285.0833,
03566514,07,2017,980010,2,0.2500,
03566514,08,2017,980010,2,0.2500,
03566514,09,2017,980010,2,0.2500,
03566514,07,2017,980020,2,5.1667,
03566514,08,2017,980020,2,5.1667,
03566514,09,2017,980020,2,5.1667,
03566514,07,2017,980040,2,0.2500,
03566514,08,2017,980040,2,0.2500,
03566514,09,2017,980040,2,0.2500,
03566514,07,2017,980060,2,0.1667,
03566514,08,2017,980060,2,0.1667,
03566514,09,2017,980060,2,0.1667,
03566514,07,2017,980090,1,8.3333,
03566514,08,2017,980090,1,8.3333,
03566514,09,2017,980090,1,8.3333,
03566514,07,2017,980220,2,8.3333,
03566514,08,2017,980220,2,8.3333,
03566514,09,2017,980220,2,8.3333,
03566514,07,2017,980230,2,8.3333,
03566514,08,2017,980230,2,8.3333,
03566514,09,2017,980230,2,8.3333,
03566514,07,2017,980281,2,8.3333,
03566514,08,2017,980281,2,8.3333,
03566514,09,2017,980281,2,8.3333,
03566514,07,2017,980286,2,8.3333,
03566514,08,2017,980286,2,8.3333,
03566514,09,2017,980286,2,8.3333,
03566514,07,2017,980310,2,8.3333,
03566514,08,2017,980310,2,8.3333,
03566514,09,2017,980310,2,8.3333,
03566514,07,2017,980330,2,8.3333,
03566514,08,2017,980330,2,8.3333,
03566514,09,2017,980330,2,8.3333,
03566514,07,2017,980350,2,8.3333,
03566514,08,2017,980350,2,8.3333,
03566514,09,2017,980350,2,8.3333,
03566534,07,2017,005100,2,30626.0798,T
03566534,08,2017,005100,2,30626.0798,T
03566534,09,2017,005100,2,30626.0798,T
03566534,07,2017,005110,2,3474.2500,
03566534,08,2017,005110,2,3474.2500,
03566534,09,2017,005110,2,3474.2500,
03566534,07,2017,005200,2,182197.3175,T
03566534,08,2017,005200,2,182197.3175,T
03566534,09,2017,005200,2,182197.3175,T
03566534,07,2017,005210,2,158602.0609,T
