NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03440054,01,2017,800940,2,,1,231.3333
03440054,01,2017,800940,2,,2,228
03440054,01,2017,800940,2,,3,203.3333
03440054,01,2017,800940,2,,4,236.3333
03440054,01,2017,800940,2,,5,225.4167
03440054,02,2017,800940,2,,1,231.3333
03440054,02,2017,800940,2,,2,228
03440054,02,2017,800940,2,,3,203.3333
03440054,02,2017,800940,2,,4,236.3333
03440054,02,2017,800940,2,,5,225.4167
03440054,03,2017,800940,2,,1,231.3333
03440054,03,2017,800940,2,,2,228
03440054,03,2017,800940,2,,3,203.3333
03440054,03,2017,800940,2,,4,236.3333
03440054,03,2017,800940,2,,5,225.4167
03440054,01,2017,900000,2,,1,3023.6667
03440054,01,2017,900000,2,,2,2980.3333
03440054,01,2017,900000,2,,3,2657.9167
03440054,01,2017,900000,2,,4,3089.8333
03440054,01,2017,900000,2,,5,2947
03440054,02,2017,900000,2,,1,3023.6667
03440054,02,2017,900000,2,,2,2980.3333
03440054,02,2017,900000,2,,3,2657.9167
03440054,02,2017,900000,2,,4,3089.8333
03440054,02,2017,900000,2,,5,2947
03440054,03,2017,900000,2,,1,3023.6667
03440054,03,2017,900000,2,,2,2980.3333
03440054,03,2017,900000,2,,3,2657.9167
03440054,03,2017,900000,2,,4,3089.8333
03440054,03,2017,900000,2,,5,2947
03440054,01,2017,980000,2,,1,3023.6667
03440054,01,2017,980000,2,,2,2980.3333
03440054,01,2017,980000,2,,3,2657.9167
03440054,01,2017,980000,2,,4,3089.8333
03440054,01,2017,980000,2,,5,2947
03440054,02,2017,980000,2,,1,3023.6667
03440054,02,2017,980000,2,,2,2980.3333
03440054,02,2017,980000,2,,3,2657.9167
03440054,02,2017,980000,2,,4,3089.8333
03440054,02,2017,980000,2,,5,2947
03440054,03,2017,980000,2,,1,3023.6667
03440054,03,2017,980000,2,,2,2980.3333
03440054,03,2017,980000,2,,3,2657.9167
03440054,03,2017,980000,2,,4,3089.8333
03440054,03,2017,980000,2,,5,2947
03440064,01,2017,800940,2,,1,911.6667
03440064,01,2017,800940,2,,2,911.6667
03440064,01,2017,800940,2,,3,911.6667
03440064,01,2017,800940,2,,4,911.6667
03440064,01,2017,800940,2,,5,911.6667
03440064,02,2017,800940,2,,1,911.6667
03440064,02,2017,800940,2,,2,911.6667
03440064,02,2017,800940,2,,3,911.6667
03440064,02,2017,800940,2,,4,911.6667
03440064,02,2017,800940,2,,5,911.6667
03440064,03,2017,800940,2,,1,911.6667
03440064,03,2017,800940,2,,2,911.6667
03440064,03,2017,800940,2,,3,911.6667
03440064,03,2017,800940,2,,4,911.6667
03440064,03,2017,800940,2,,5,911.6667
03440064,01,2017,900000,2,,1,11916.6667
03440064,01,2017,900000,2,,2,11916.6667
03440064,01,2017,900000,2,,3,11916.6667
03440064,01,2017,900000,2,,4,11916.6667
03440064,01,2017,900000,2,,5,11916.6667
03440064,02,2017,900000,2,,1,11916.6667
03440064,02,2017,900000,2,,2,11916.6667
03440064,02,2017,900000,2,,3,11916.6667
03440064,02,2017,900000,2,,4,11916.6667
03440064,02,2017,900000,2,,5,11916.6667
03440064,03,2017,900000,2,,1,11916.6667
03440064,03,2017,900000,2,,2,11916.6667
03440064,03,2017,900000,2,,3,11916.6667
03440064,03,2017,900000,2,,4,11916.6667
03440064,03,2017,900000,2,,5,11916.6667
03440064,01,2017,980000,2,,1,11916.6667
03440064,01,2017,980000,2,,2,11916.6667
03440064,01,2017,980000,2,,3,11916.6667
03440064,01,2017,980000,2,,4,11916.6667
03440064,01,2017,980000,2,,5,11916.6667
03440064,02,2017,980000,2,,1,11916.6667
03440064,02,2017,980000,2,,2,11916.6667
03440064,02,2017,980000,2,,3,11916.6667
03440064,02,2017,980000,2,,4,11916.6667
