state,state_name,year,rpp_all_items,rpp_goods,rpp_housing_services,rpp_other_services,rpp_utilities
0,United States,2013,100.0,99.573,100.37,100.245,98.672
0,United States,2014,100.0,99.586,100.386,100.238,98.557
0,United States,2015,100.0,99.583,100.419,100.221,98.486
0,United States,2016,100.0,99.583,100.389,100.219,98.518
0,United States,2017,100.0,99.563,100.43,100.218,98.535
1,Alabama,2013,90.324,96.222,61.409,99.949,93.467
1,Alabama,2014,90.175,96.253,59.913,99.939,94.27
1,Alabama,2015,89.741,95.222,59.246,100.041,94.682
1,Alabama,2016,90.609,96.055,60.511,100.582,94.749
1,Alabama,2017,90.065,95.483,61.118,98.995,93.702
2,Alaska,2013,102.052,100.142,114.823,99.551,118.265
2,Alaska,2014,102.386,99.883,116.652,100.17,112.924
2,Alaska,2015,103.287,104.376,114.548,99.812,116.966
2,Alaska,2016,104.073,107.412,108.72,100.713,123.388
2,Alaska,2017,104.833,107.706,109.38,101.755,123.106
4,Arizona,2013,98.441,97.602,93.617,100.928,99.019
4,Arizona,2014,97.944,97.741,92.74,99.873,100.348
4,Arizona,2015,97.865,98.517,93.772,98.67,101.048
4,Arizona,2016,98.622,97.834,92.448,101.545,97.467
4,Arizona,2017,97.915,97.225,93.527,99.881,98.97
5,Arkansas,2013,89.493,95.382,59.938,99.773,81.468
5,Arkansas,2014,89.395,94.764,60.244,99.863,81.277
5,Arkansas,2015,89.013,93.983,59.372,99.54,84.454
5,Arkansas,2016,89.298,94.932,59.309,99.539,83.698
5,Arkansas,2017,88.561,94.536,57.639,98.14,83.143
6,California,2013,109.667,104.288,155.709,101.796,121.446
6,California,2014,109.926,104.339,157.935,101.899,128.277
6,California,2015,110.685,105.536,158.044,102.75,129.312
6,California,2016,109.956,104.385,160.083,101.909,129.462
6,California,2017,110.998,104.466,162.521,103.26,130.666
8,Colorado,2013,103.099,101.018,118.014,101.03,83.488
8,Colorado,2014,103.068,100.171,120.756,100.041,96.816
8,Colorado,2015,103.048,99.748,123.873,99.814,89.158
8,Colorado,2016,102.716,99.775,126.18,98.534,89.326
8,Colorado,2017,102.946,99.531,128.889,98.76,86.066
9,Connecticut,2013,107.731,104.271,129.56,103.589,134.234
9,Connecticut,2014,107.015,103.392,127.716,103.196,135.62
9,Connecticut,2015,107.536,103.167,132.47,103.319,139.094
9,Connecticut,2016,107.477,103.557,127.433,104.028,142.796
9,Connecticut,2017,107.228,104.422,121.44,104.394,144.606
10,Delaware,2013,98.624,97.113,98.895,98.938,111.723
10,Delaware,2014,99.708,95.653,103.868,100.98,105.0
10,Delaware,2015,97.913,97.123,95.175,98.975,103.984
