category,n_obs,coef_log_price,coef_log_full_exp,r2,price_elasticity_proxy
food,88806,-0.0901387258444184,0.33103538535477806,0.20818719190005985,-0.0901387258444184
apparel,56069,-1.6889843102755098,0.39342598985762023,0.10596457246838653,-1.6889843102755098
housing_core,88113,-0.34330231840719494,0.5037939939816726,0.16583943857254424,-0.34330231840719494
utilities,86399,-1.2030346966124505,0.24976828938826623,0.22699334329982956,-1.2030346966124505
transport,84831,-1.0802127319977979,0.37151049287142107,0.1329698702868426,-1.0802127319977979
medical,66072,-1.0838405560698934,0.3641566416461809,0.13288817443766632,-1.0838405560698934
recreation,76084,-1.4257720082869447,0.5125815160491909,0.12108322261725746,-1.4257720082869447
education,9584,0.24647393044566113,0.7885245240921358,0.1199517990774378,0.24647393044566113
misc_personal,65739,-1.641600774820856,0.33397718978072016,0.05323450383549,-1.641600774820856
leisure,89212,-1.0888383955707948,1.3003111672839736,0.7613875457374252,-1.0888383955707948
