"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20131",2511505,16,0,"1","130","D","10","D",100,"D"
"20131",2511505,17,0,"1","160","D","11","D",250,"D"
"20131",2511555,14,0,"1","170","D","12","D",300,"D"
"20131",2511555,15,0,"1","150","D","13","D",170,"D"
"20131",2511575,15,0,"1","170","D","12","D",300,"D"
"20131",2511575,16,0,"2","170","D","10","D",100,"D"
"20131",2511585,25,0,"1","170","D","10","D",50,"D"
"20131",2511585,26,0,"1","170","D","12","D",1500,"D"
"20131",2511585,27,0,"1","150","D","13","D",100,"D"
"20131",2511585,28,0,"1","160","D","12","D",100,"D"
"20131",2511585,29,0,"2","160","D","10","D",300,"D"
"20131",2511595,23,0,"1","170","D","12","D",10,"D"
"20131",2511595,24,0,"1","160","D","12","D",100,"D"
"20131",2511615,13,0,"1","150","D","13","D",80,"D"
"20131",2511625,15,0,"1","160","D","12","D",300,"D"
"20131",2511675,17,0,"1","160","D","10","D",200,"D"
"20131",2511695,43,0,"1","170","D","10","D",200,"D"
"20131",2511695,44,0,"1","170","D","11","D",125,"D"
"20131",2511695,45,0,"1","170","D","12","D",1175,"D"
"20131",2511695,46,0,"1","130","D","12","D",200,"D"
"20131",2511695,47,0,"1","140","D","10","D",195,"D"
"20131",2511695,48,0,"1","140","D","12","D",305,"D"
"20131",2511695,49,0,"1","140","D","12","D",150,"D"
"20131",2511695,50,0,"2","140","D","10","D",200,"D"
"20131",2511765,15,0,"1","170","D","12","D",200,"D"
"20131",2511765,16,0,"1","150","D","13","D",75,"D"
"20131",2511815,16,0,"1","160","D","13","D",2000,"D"
"20131",2511825,13,0,"1","110","D","13","D",750,"D"
"20131",2511905,18,0,"1","160","D","12","D",300,"D"
"20131",2511905,19,0,"1","160","D","11","D",100,"D"
"20131",2511905,20,0,"1","150","D","13","D",100,"D"
"20131",2511905,21,0,"1","180","D","12","D",3000,"D"
"20131",2511955,14,0,"1","170","D","12","D",250,"D"
"20131",2511955,15,0,"1","160","D","12","D",20,"D"
"20131",2511965,15,0,"1","160","D","11","D",50,"D"
"20131",2511975,13,0,"1","160","D","11","D",15,"D"
"20131",2511975,14,0,"1","160","D","12","D",20,"D"
"20131",2511975,15,0,"1","160","D","10","D",67,"D"
"20131",2511975,16,0,"1","160","D","10","D",10,"D"
"20131",2511975,17,0,"2","160","D","10","D",100,"D"
"20131",2511975,18,0,"2","160","D","10","D",75,"D"
"20131",2511975,19,0,"2","160","D","10","D",10,"D"
"20131",2511985,19,0,"1","170","D","12","D",50,"D"
"20131",2511995,30,0,"1","170","D","12","D",250,"D"
"20131",2512005,14,0,"1","150","D","13","D",80,"D"
"20131",2512085,15,0,"1","170","D","12","D",60,"D"
"20131",2512165,26,0,"1","170","D","12","D",100,"D"
"20131",2512195,20,0,"2","140","D","10","D",50,"D"
"20131",2512225,24,0,"1","170","D","11","D",540,"D"
"20131",2512285,14,0,"1","150","D","10","D",320,"D"
"20131",2512285,15,0,"1","150","D","11","D",320,"D"
"20131",2512285,16,0,"1","150","D","12","D",320,"D"
"20131",2512295,19,0,"1","170","D","12","D",65,"D"
"20131",2512295,20,0,"1","160","D","12","D",35,"D"
"20131",2512305,20,0,"1","170","D","12","D",200,"D"
"20131",2512335,15,0,"1","150","D","13","D",130,"D"
"20131",2512345,16,0,"1","150","D","12","D",10,"D"
"20131",2512355,13,0,"1","150","D","13","D",20,"D"
"20131",2512375,16,0,"1","170","D","12","D",200,"D"
"20131",2512395,19,0,"1","170","D","13","D",400,"D"
"20131",2512475,13,0,"1","150","D","13","D",50,"D"
"20131",2512505,16,0,"1","170","D","11","D",200,"D"
"20131",2512505,17,0,"1","160","D","13","D",450,"D"
"20131",2512505,18,0,"1","150","D","13","D",100,"D"
"20131",2512525,14,0,"1","160","D","13","D",6,"D"
"20131",2512545,21,0,"1","160","D","10","D",5,"D"
"20131",2512545,22,0,"1","160","D","10","D",10,"D"
"20131",2512545,23,0,"1","160","D","10","D",16,"D"
"20131",2512585,17,0,"1","170","D","12","D",725,"D"
"20131",2512655,18,0,"1","100","D","13","D",125,"D"
"20131",2512655,19,0,"1","160","D","12","D",5,"D"
"20131",2512675,13,0,"1","150","D","13","D",80,"D"
"20131",2512685,26,0,"1","160","D","12","D",100,"D"
"20131",2512735,24,0,"1","170","D","13","D",200,"D"
"20131",2512735,25,0,"1","150","D","13","D",800,"D"
"20131",2512795,14,0,"1","170","D","12","D",95,"D"
"20131",2512845,13,0,"1","160","D","10","D",150,"D"
"20131",2512845,14,0,"1","160","D","11","D",200,"D"
"20131",2512845,15,0,"1","160","D","12","D",150,"D"
"20131",2512935,18,0,"1","170","D","12","D",125,"D"
"20131",2513095,17,0,"1","100","D","13","D",400,"D"
"20131",2513105,18,0,"1","170","D","12","D",40,"D"
"20131",2513105,19,0,"1","170","D","11","D",7,"D"
"20131",2513105,20,0,"1","150","D","10","D",420,"D"
"20131",2513105,21,0,"1","150","D","11","D",160,"D"
"20131",2513105,22,0,"1","160","D","10","D",100,"D"
"20131",2513115,15,0,"1","150","D","13","D",250,"D"
"20131",2513115,16,0,"1","150","D","12","D",751,"D"
"20131",2513225,14,0,"1","170","D","13","D",5,"D"
"20131",2513225,15,0,"1","150","D","13","D",5,"D"
"20131",2513285,15,0,"1","150","D","11","D",200,"D"
"20131",2513345,13,0,"1","150","D","13","D",200,"D"
"20131",2513355,13,0,"1","150","D","12","D",50,"D"
"20131",2513405,21,0,"1","100","D","13","D",200,"D"
"20131",2513435,20,0,"1","170","D","12","D",230,"D"
"20131",2513435,21,0,"1","150","D","13","D",700,"D"
"20131",2513435,22,0,"1","150","D","12","D",200,"D"
"20131",2513435,23,0,"1","160","D","12","D",25,"D"
"20131",2513435,24,0,"1","160","D","12","D",35,"D"
"20131",2513455,16,0,"1","150","D","13","D",20,"D"
"20131",2513505,15,0,"1","170","D","12","D",750,"D"
"20131",2513535,17,0,"1","170","D","12","D",5,"D"
"20131",2513565,21,0,"1","170","D","12","D",120,"D"
"20131",2513565,22,0,"1","150","D","13","D",200,"D"
"20131",2513565,23,0,"1","150","D","11","D",250,"D"
"20131",2513595,26,0,"1","100","D","12","D",800,"D"
"20131",2513595,27,0,"1","170","D","12","D",500,"D"
"20131",2513595,28,0,"1","150","D","13","D",270,"D"
"20131",2513605,19,0,"1","170","D","12","D",300,"D"
"20131",2513605,20,0,"1","160","D","12","D",100,"D"
"20131",2513605,21,0,"1","150","D","12","D",50,"D"
"20131",2513615,20,0,"1","170","D","12","D",400,"D"
"20131",2513615,21,0,"1","150","D","13","D",430,"D"
"20131",2513735,14,0,"1","150","D","13","D",25,"D"
"20131",2513825,16,0,"1","170","D","12","D",350,"D"
"20131",2513825,17,0,"1","150","D","12","D",25,"D"
"20131",2513885,15,0,"1","150","D","13","D",40,"D"
"20131",2513885,16,0,"1","160","D","12","D",100,"D"
