"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_"
"20131",2511615,24,0,"5","01","D","100","D","2009","D",.,"A",36,"D","05","D",210,"D","3","D",.,"A",.,"A",6000,"D",.,"A",,"A",210,"D",210,"D",210,"D",.,"A",.,"A",.,"A",6000,"D",.,"A","HONAA","D",,"A",,"A"
"20131",2511695,85,0,"5","01","D","110","D","2010","D",.,"A",39,"D","02","D",385,"D","3","D",.,"A",.,"A",2490,"D",.,"A",,"A",385,"D",385,"D",385,"D",.,"A",.,"A",.,"A",2490,"D",.,"A","TOYBA","D",,"A",,"A"
"20131",2511975,35,0,"5","01","D","100","D","2011","D",.,"A",36,"D","02","D",.,"B","3","D",.,"A",.,"A",12000,"D",.,"A",,"A",325,"F",325,"F",325,"F",.,"A",.,"A",.,"A",12000,"D",.,"A","HONAF","D",,"A",,"A"
"20131",2512335,30,0,"5","01","D","110","D","2011","D",.,"A",30,"D","04","F",339,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",339,"D",339,"D",339,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAQ","D",,"A",,"A"
"20131",2512535,28,0,"5","01","D","100","D","2012","D",.,"A",23,"D","08","D",160,"D","3","D",.,"A",5000,"D",.,"A",.,"A",,"A",160,"D",160,"D",160,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBT","D",,"A",,"A"
"20131",2512635,29,0,"1","01","D","110","D","2011","D",.,"A",60,"D","01","D",295,"D","3","D",.,"A",10600,"D",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","DODAX","D",,"A",,"A"
"20131",2512845,27,0,"5","01","D","100","D","2011","D",.,"A",36,"D","09","D",310,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",310,"D",310,"D",310,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAF","D",,"A",,"A"
"20131",2513775,33,0,"5","01","D","110","D","2011","D",.,"A",36,"D","05","D",380,"D","3","D",.,"A",2500,"D",5000,"D",.,"A","11","D",380,"D",380,"D",.,"A",.,"A",.,"A",.,"A",5000,"D",.,"A","TOYAU","D",,"A",,"A"
"20131",2513775,34,0,"1","02","D","110","D","2013","D",.,"A",36,"D","11","D",359,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",359,"D",359,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYBA","D",,"A",,"A"
"20131",2513855,36,0,"5","01","D","110","D","2010","D",.,"A",48,"D","08","D",389,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",389,"D",389,"D",389,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MITAQ","D",,"A",,"A"
