"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20131",2511575,49,0,"5","01","D","100","D",0.048,"D",249492,"D",30,"D",1309,"D",,"A",,"A",,"A",,"A",0,"D",371,"D",372,"D",374,"D",938,"D",937,"D",935,"D",,"A","02","D","2009","D","1","D",,"A",234561,"D",234190,"D",233818,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2511595,59,0,"5","01","D","100","D",0.046,"D",160000,"D",30,"D",1300,"D","3","D","4","D",,"A",,"A",480,"D",725,"D",728,"D",730,"D",95,"D",92,"D",90,"D",,"A","06","D","1985","D","1","D",,"A",24808,"D",24083,"D",23356,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2511615,28,0,"5","01","D","100","D",0.0784,"D",438115,"D",30,"D",5124,"T","3","D","4","D",,"A",,"A",534,"D",539,"D",542,"D",546,"D",2627,"D",2624,"D",2620,"D",,"A","06","D","2005","D","1","D",,"A",552549,"T",551756,"T",551375,"T","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2511735,54,0,"5","01","D","100","D",0.05,"D",45266,"D",30,"D",481,"D","3","D","4","D",,"A",,"A",238,"D",162,"D",163,"D",164,"D",81,"D",80,"D",79,"D",,"A","11","D","1990","D","1","D",,"A",19355,"D",19193,"D",19030,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2511765,37,0,"5","01","D","100","D",0.05,"F",149500,"F",30,"F",2084,"F","3","F","4","F","5","F",,"A",1281,"F",329,"F",330,"F",332,"F",474,"F",473,"F",471,"F",,"A","10","F","2000","F","1","F",,"A",113738,"F",113409,"F",113079,"F","01","D",,"A",,"A","3","D",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2511815,32,0,"5","01","D","100","D",0.05,"D",36500,"D",20,"D",281,"D","3","D","4","D",,"A",,"A",40,"D",273,"D",274,"D",275,"D",57,"D",56,"D",55,"D",,"A","08","D","1996","D","2","D",,"A",10064,"D",9866,"D",9666,"D","01","D","1","D",,"A",,"A",353,"D",353,"D",353,"D","1","D","2","D"
"20131",2511825,29,0,"5","01","D","100","D",0.04,"D",208500,"D",30,"D",1300,"D","3","D","4","D","5","D",,"A",305,"D",304,"D",305,"D",306,"D",691,"D",690,"D",689,"D",,"A","06","D","2012","D","1","D",,"A",207294,"D",206990,"D",206685,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2511825,30,0,"5","02","D","200","D",0.0425,"D",167000,"D",30,"D",1100,"D","3","D","4","D","5","D",,"A",278,"D",251,"D",252,"D",253,"D",571,"D",570,"D",569,"D",,"A","10","D","2010","D","1","D",,"A",161236,"D",160985,"D",160733,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2511825,31,0,"5","03","D","300","D",0.06,"D",80000,"D",25,"D",525,"D",,"B",,"B",,"B",,"B",10,"D",145,"D",145,"D",146,"D",370,"D",370,"D",369,"D",,"A","12","D","2008","D","1","D",,"A",74069,"D",73924,"D",73779,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2511855,20,0,"1","01","D","100","D",0.0784,"F",135000,"F",30,"F",1665,"F","3","F","4","F","5","F",,"A",689,"F",158,"F",159,"F",160,"F",818,"F",817,"F",816,"F",,"A","02","F","2006","F","1","F",,"A",125164,"F",125005,"F",124846,"F","01","D",,"A","2","D",,"A",.,"A",.,"A",.,"A","1","D","2","D"
