"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20131",2513595,68,0,"1",1,"D",110,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20131",2513605,43,0,"1",2,"D",225,"G",54,"G",.,"A",65,"G","1","D","1","D","1","D","1","D",116,"G",25,"D"
"20131",2517395,78,0,"1",1,"D",250,"D",.,"A",.,"A",500,"D",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20131",2517675,37,0,"1",1,"D",.,"A",.,"A",.,"A",100,"D",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20131",2522045,103,0,"1",1,"D",209,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20131",2527775,40,0,"1",3,"D",132,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
"20131",2528085,71,0,"1",1,"D",211,"F",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"F",25,"F"
"20131",2530225,54,0,"1",2,"D",254,"D",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",220,"D",.,"A"
"20131",2534755,94,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",25,"D",.,"A"
"20131",2539195,43,0,"1",1,"D",150,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20131",2540785,62,0,"1",2,"D",180,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20131",2547774,40,0,"1",2,"D",600,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20131",2550774,44,0,"1",2,"D",500,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20131",2552814,41,0,"1",4,"D",500,"D",40,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",160,"D",.,"A"
"20131",2552894,54,0,"1",1,"D",35,"D",.,"A",30,"D",.,"A",,"A",,"A",,"A",,"A",20,"D",0,"D"
"20131",2553134,105,0,"1",1,"D",440,"D",20,"D",20,"D",.,"A",,"A",,"A",,"A",,"A",180,"D",10,"D"
"20131",2553544,54,0,"1",1,"D",350,"D",12,"D",.,"A",80,"D",,"A",,"A",,"A",,"A",38,"D",.,"A"
"20131",2555724,68,0,"1",1,"D",72,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
"20131",2562494,37,0,"1",10,"D",350,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",120,"D",.,"A"
"20131",2565504,49,0,"1",2,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",75,"D",.,"A"
"20131",2567974,58,0,"1",5,"D",340,"D",120,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",480,"D",.,"A"
"20131",2570884,78,0,"1",1,"D",292,"D",200,"F",.,"A",130,"D",,"A",,"A",,"A",,"A",300,"F",.,"A"
"20131",2571414,72,0,"1",3,"D",90,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20131",2572064,26,0,"1",4,"D",200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",60,"D",1,"D"
"20131",2572544,36,0,"1",1,"D",703,"G",77,"G",.,"A",.,"A","1","D","1","D","2","D","2","D",270,"G",.,"A"
"20131",2574414,67,0,"1",2,"D",60,"D",40,"F",.,"A",70,"G",,"A",,"A",,"A",,"A",60,"F",.,"A"
"20131",2574825,46,0,"1",2,"D",283,"G",30,"D",.,"A",116,"G","2","D","1","D","1","D","1","D",70,"D",20,"D"
"20131",2578304,61,0,"1",1,"D",500,"D",200,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",300,"D",.,"A"
"20131",2579153,32,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",10,"D",.,"A"
"20131",2579383,39,0,"1",2,"D",165,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",300,"D",.,"A"
"20131",2582365,62,0,"1",1,"D",240,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",85,"D",.,"A"
"20131",2585243,30,0,"1",2,"D",200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20131",2587743,87,0,"1",2,"D",300,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",150,"D",20,"D"
"20131",2597103,46,0,"1",2,"D",.,"A",12,"D",12,"D",45,"D",,"A",,"A",,"A",,"A",13,"D",0,"D"
"20131",2599663,55,0,"1",1,"D",207,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",150,"D",.,"A"
"20131",2602123,65,0,"1",1,"D",59,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",32,"D",.,"A"
"20131",2602253,35,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20131",2603463,68,0,"1",2,"D",300,"D",10,"D",.,"A",70,"D",,"A",,"A",,"A",,"A",110,"D",.,"A"
"20131",2607483,19,0,"1",1,"D",90,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",10,"D"
"20131",2608703,50,0,"1",1,"D",70,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20131",2610843,57,0,"1",2,"D",178,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",80,"D",.,"A"
"20131",2611623,64,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20131",2612373,85,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20131",2615232,38,0,"1",1,"D",1000,"D",30,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",70,"D",.,"A"
"20131",2615942,56,0,"1",2,"D",211,"F",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"F",.,"A"
"20131",2616622,41,0,"1",1,"D",145,"D",30,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",105,"D",.,"A"
"20131",2618812,127,0,"1",3,"D",119,"G",19,"G",.,"A",.,"A","1","D","1","D","2","D","2","D",57,"G",.,"A"
"20131",2619662,49,0,"1",1,"D",171,"G",5,"G",3,"G",14,"G",,"A",,"A",,"A",,"A",122,"G",10,"G"
"20131",2622015,36,0,"1",2,"D",350,"D",15,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20131",2622282,39,0,"1",7,"D",1000,"D",.,"A",.,"A",1240,"D",,"A",,"A",,"A",,"A",400,"D",.,"A"
"20131",2627652,39,0,"1",1,"D",199,"D",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20131",2628192,34,0,"1",2,"D",125,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
"20131",2628302,46,0,"1",2,"D",.,"A",4,"G",1,"G",.,"A",,"A",,"A",,"A",,"A",109,"G",6,"G"
"20131",2628422,60,0,"1",1,"D",200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
"20131",2628462,50,0,"1",1,"D",.,"A",.,"A",.,"A",300,"D","1","D","1","D","2","D","2","D",.,"A",.,"A"
