"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20131",2511575,62,0,"1","420","D","11","D",70,"D",,"A",,"A",,"A",,"A"
"20131",2511595,77,0,"1","410","D","12","D",29,"D",,"A",,"A",,"A",,"A"
"20131",2511695,130,0,"1","420","D","11","D",197,"D",,"A",,"A",,"A",,"A"
"20131",2511765,53,0,"1","420","D","12","D",88,"D",,"A",,"A",,"A",,"A"
"20131",2511815,45,0,"1","430","D","12","D",.,"H","415","D","410","D",,"A",,"A"
"20131",2511815,45,1,"1","420","D","12","D",99,"E",,"A",,"A",,"A",,"A"
"20131",2511815,45,2,"1","410","D","12","D",26,"E",,"A",,"A",,"A",,"A"
"20131",2511965,40,0,"1","400","D","12","D",30,"D",,"A",,"A",,"A",,"A"
"20131",2511965,41,0,"1","430","D","12","D",.,"H","415","D","410","D",,"A",,"A"
"20131",2511965,41,1,"1","420","D","12","D",118,"E",,"A",,"A",,"A",,"A"
"20131",2511965,41,2,"1","410","D","12","D",32,"E",,"A",,"A",,"A",,"A"
"20131",2511985,51,0,"1","410","D","12","D",36,"D",,"A",,"A",,"A",,"A"
"20131",2511995,101,0,"1","400","D","12","D",30,"D",,"A",,"A",,"A",,"A"
"20131",2511995,102,0,"1","420","D","11","D",156,"D",,"A",,"A",,"A",,"A"
"20131",2511995,103,0,"1","420","D","11","D",179,"D",,"A",,"A",,"A",,"A"
"20131",2511995,104,0,"1","420","D","11","D",99,"D",,"A",,"A",,"A",,"A"
"20131",2511995,105,0,"2","420","D","10","D",97,"D",,"A",,"A",,"A",,"A"
"20131",2512105,58,0,"1","400","D","10","D",60,"D",,"A",,"A",,"A",,"A"
"20131",2512205,70,0,"1","420","D","12","D",36,"D",,"A",,"A",,"A",,"A"
"20131",2512205,71,0,"1","420","D","12","D",28,"D",,"A",,"A",,"A",,"A"
"20131",2512295,51,0,"2","420","D","10","D",37,"D",,"A",,"A",,"A",,"A"
"20131",2512465,36,0,"1","420","D","10","D",500,"D",,"A",,"A",,"A",,"A"
"20131",2512535,41,0,"1","420","D","10","D",81,"D",,"A",,"A",,"A",,"A"
"20131",2512685,61,0,"1","410","D","12","D",18,"D",,"A",,"A",,"A",,"A"
"20131",2512795,48,0,"1","410","D","11","D",55,"D",,"A",,"A",,"A",,"A"
"20131",2512795,49,0,"1","420","D","11","D",94,"D",,"A",,"A",,"A",,"A"
"20131",2513015,73,0,"1","400","D","12","D",50,"D",,"A",,"A",,"A",,"A"
"20131",2513185,44,0,"1","410","D","12","D",15,"D",,"A",,"A",,"A",,"A"
"20131",2513235,65,0,"1","420","D","10","D",40,"D",,"A",,"A",,"A",,"A"
"20131",2513245,67,0,"1","420","D","11","D",56,"D",,"A",,"A",,"A",,"A"
"20131",2513405,63,0,"1","400","D","12","D",129,"D",,"A",,"A",,"A",,"A"
"20131",2513435,84,0,"1","420","D","12","D",232,"D",,"A",,"A",,"A",,"A"
"20131",2513455,38,0,"1","420","D","12","D",250,"D",,"A",,"A",,"A",,"A"
"20131",2513525,40,0,"1","420","D","12","D",89,"D",,"A",,"A",,"A",,"A"
"20131",2513565,70,0,"1","420","D","10","D",64,"D",,"A",,"A",,"A",,"A"
"20131",2513615,62,0,"2","400","D","10","D",20,"D",,"A",,"A",,"A",,"A"
"20131",2513775,50,0,"1","420","D","11","D",135,"F",,"A",,"A",,"A",,"A"
"20131",2513775,51,0,"1","420","D","11","D",63,"F",,"A",,"A",,"A",,"A"
"20131",2513935,78,0,"1","410","D","11","D",30,"D",,"A",,"A",,"A",,"A"
"20131",2513935,79,0,"1","420","D","11","D",70,"D",,"A",,"A",,"A",,"A"
"20131",2513955,34,0,"1","420","D","10","D",189,"D",,"A",,"A",,"A",,"A"
"20131",2513955,35,0,"1","410","D","10","D",12,"D",,"A",,"A",,"A",,"A"
