"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_"
2511505,"10","2012","002010","2",3333.3332,
2511505,"11","2012","002010","2",3333.3332,
2511505,"12","2012","002010","2",3333.3332,
2511505,"10","2012","002020","2",0,
2511505,"11","2012","002020","2",0,
2511505,"12","2012","002020","2",0,
2511505,"10","2012","002030","2",0,
2511505,"11","2012","002030","2",0,
2511505,"12","2012","002030","2",0,
2511505,"10","2012","800931","2",83.6667,
2511505,"11","2012","800931","2",83.6667,
2511505,"12","2012","800931","2",83.6667,
2511505,"10","2012","800940","2",186.25,
2511505,"11","2012","800940","2",186.25,
2511505,"12","2012","800940","2",186.25,
2511505,"10","2012","900000","2",2433.9167,
2511505,"11","2012","900000","2",2433.9167,
2511505,"12","2012","900000","2",2433.9167,
2511505,"10","2012","900040","2",4333.3333,
2511505,"11","2012","900040","2",4333.3333,
2511505,"12","2012","900040","2",4333.3333,
2511505,"10","2012","900050","2",24.05,
2511505,"11","2012","900050","2",24.05,
2511505,"12","2012","900050","2",24.05,
2511505,"10","2012","900080","2",5.9167,
2511505,"11","2012","900080","2",5.9167,
2511505,"12","2012","900080","2",5.9167,
2511505,"10","2012","920010","2",29666.6668,
2511505,"11","2012","920010","2",29666.6668,
2511505,"12","2012","920010","2",29666.6668,
2511505,"10","2012","920020","2",1000,
2511505,"11","2012","920020","2",1000,
2511505,"12","2012","920020","2",1000,
2511505,"10","2012","920030","2",66.6668,
2511505,"11","2012","920030","2",66.6668,
2511505,"12","2012","920030","2",66.6668,
2511505,"10","2012","920040","2",50000,
2511505,"11","2012","920040","2",50000,
2511505,"12","2012","920040","2",50000,
2511505,"10","2012","950002","2",157.0833,
2511505,"11","2012","950002","2",157.0833,
2511505,"12","2012","950002","2",157.0833,
2511505,"10","2012","950012","2",70.8333,
2511505,"11","2012","950012","2",70.8333,
2511505,"12","2012","950012","2",70.8333,
2511505,"10","2012","950022","2",23.3333,
2511505,"11","2012","950022","2",23.3333,
2511505,"12","2012","950022","2",23.3333,
