"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2647065,1,"2011","2010",3,0.133,0.153,"3",0,0,"22","D",0,0,0,"D",0,"D",13222,"D",0,"D",0,"D",0,"D",0,"D",4656,"D",5220,"D",0,"D",4,"D",0,"D",1,"D",0,"D",-7066,-850,-7066,-6751,-849.9,-862.65,2022.97,1758.53,13222,13222,13222.01,13222.01,0,0,1000,1000,0,0,5666,5751,13222,13222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849.9,862.65,0
2647085,1,"2011","2010",0,0,0,"1",-0.0765,-0.1385,"36","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",981,"D",0,"D",0,"D",0,"D",1636,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647105,1,"2011","2010",2,0.133,0.153,"2",0.3106,0.3106,"21","D",0.1528,0.1528,0,"D",0,"D",31615,"D",10611,"D",0,"D",0,"D",0,"D",0,"D",6300,"D",0,"D",0,"D",0,"D",2,"D",40,"D",-1840,767,-1840.08,-1204.52,766.89,704.68,6460.58,5616.06,42226,42226,41026.01,41026.01,1622.6,1582.6,377.4,417.4,0,0,662.68,787.12,42226,42226,0,0,1622.6,1582.6,1622.6,1582.6,4000,4000,0,0,0,0,0,0,331.34,393.56,0
2647115,1,"2011","2010",1,0.133,0.153,"2",0.15,0.15,"10","D",0,0,0,"D",0,"D",22414,"D",23847,"D",0,"D",0,"D",0,"D",0,"D",0,"D",422,"D",0,"D",0,"D",0,"D",5180,"D",1949,0,1949.15,2684.15,0,0,7077.93,6152.71,46261,46261,0,0,0,0,0,0,0,0,0,0,46261,46261,0,0,2749.15,2684.15,2749.15,2684.15,0,0,0,0,0,0,0,0,0,0,0
2647115,2,"2011","2010",3,0.133,0.153,"3",-0.6,-0.6,"10","D",0,0,0,"D",0,"D",11976,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2,"D",0,"D",-7136,0,-7135.6,-6735.6,0,0,1832.33,1592.81,11976,11976,0,0,0,0,1346.4,1346.4,0,0,5389.2,5389.2,11976,11976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647125,1,"2011","2010",3,0.133,0.153,"2",0.1425,0.1455,"14","D",0.05,0.03,0,"D",0,"D",30881,"D",30424,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6100,"D",0,"D",0,"D",3,"D",12960,"D",-1223,1234,-1223.37,-627.29,1234.15,2260.25,9379.66,8153.57,61305,61305,61305.01,61305.01,2576.63,2372.71,423.37,627.29,0,0,0,0,48345,48345,0,0,2576.63,2372.71,2576.63,2372.71,0,0,0,0,305,305,0,0,0,0,0
2647135,1,"2011","2010",0,0,0,"1",0,0,"39","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",738,"D",14856,"D",0,"D",0,"D",2200,"D",1559,"D",0,"D",0,"D",5681,"D",0,0,0,0,0,0,0,0,738,738,0.01,0.01,0,0,0,0,0,0,0,0,738,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647165,1,"2011","2010",0,0,0,"1",0,0,"44","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",3903,"D",0,"D",0,"D",2000,"D",0,"D",0,"D",0,"D",2676,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647205,1,"2011","2010",0,0.133,0.153,"2",0.1487,0.1436,"05","D",0.04,0.0425,0,"D",0,"D",25000,"D",0,"D",33472,"D",0,"D",0,"D",0,"D",0,"D",4000,"D",4806,"D",0,"D",0,"D",4176,"D",3953,917,3953.38,4737.49,917.49,775.51,3825,3325,58472,58472,58472.01,58472.01,0,0,0,0,0,0,0,0,54296,54296,0,0,4753.38,4737.49,4753.38,4737.49,7340,7538,12982,12982,0,0,0,0,0,0,0
2647295,1,"2011","2010",0,0.029,0.029,"1",0.2784,0.2784,"44","D",0,0,0,"D",0,"D",135682,"D",0,"D",14000,"D",0,"D",0,"D",0,"D",0,"D",6000,"D",564,"D",0,"D",0,"D",3000,"D",31544,0,31544.05,31434.29,0,0,17177.98,15041.98,149682,149682,0,0,0,0,0,0,0,0,0,0,146682,146682,0,0,31544.05,31434.29,31544.05,31434.29,0,0,0,0,0,0,0,0,0,0,0
