"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_"
"02966825","07","2015","005100","2",8.3333,
"02966825","08","2015","005100","2",8.3333,
"02966825","09","2015","005100","2",8.3333,
"02966825","07","2015","005110","2",8.3333,
"02966825","08","2015","005110","2",8.3333,
"02966825","09","2015","005110","2",8.3333,
"02966825","07","2015","005200","2",1250,
"02966825","08","2015","005200","2",1250,
"02966825","09","2015","005200","2",1250,
"02966825","07","2015","005210","2",833.3333,
"02966825","08","2015","005210","2",833.3333,
"02966825","09","2015","005210","2",833.3333,
"02966825","07","2015","005400","2",41.6667,
"02966825","08","2015","005400","2",41.6667,
"02966825","09","2015","005400","2",41.6667,
"02966825","07","2015","005410","2",258.3333,
"02966825","08","2015","005410","2",258.3333,
"02966825","09","2015","005410","2",258.3333,
"02966825","07","2015","005500","2",2916.6667,
"02966825","08","2015","005500","2",2916.6667,
"02966825","09","2015","005500","2",2916.6667,
"02966825","07","2015","005510","2",3116.6667,
"02966825","08","2015","005510","2",3116.6667,
"02966825","09","2015","005510","2",3116.6667,
"02966825","07","2015","005520","2",50,
"02966825","08","2015","005520","2",50,
"02966825","09","2015","005520","2",50,
"02966825","07","2015","800940","2",797.75,
"02966825","08","2015","800940","2",797.75,
"02966825","09","2015","800940","2",797.75,
"02966825","07","2015","900000","2",11676.6667,
"02966825","08","2015","900000","2",11676.6667,
"02966825","09","2015","900000","2",11676.6667,
"02966825","07","2015","900030","2",345.9167,
"02966825","08","2015","900030","2",345.9167,
"02966825","09","2015","900030","2",345.9167,
"02966825","07","2015","900190","2",-50,
"02966825","08","2015","900190","2",-50,
"02966825","09","2015","900190","2",-50,
"02966825","07","2015","980000","2",11972.5833,
"02966825","08","2015","980000","2",11972.5833,
"02966825","09","2015","980000","2",11972.5833,
"02966825","07","2015","980010","2",0.5833,
"02966825","08","2015","980010","2",0.5833,
"02966825","09","2015","980010","2",0.5833,
"02966825","07","2015","980020","2",3,
"02966825","08","2015","980020","2",3,
"02966825","09","2015","980020","2",3,
"02966825","07","2015","980030","2",0.1667,
"02966825","08","2015","980030","2",0.1667,
"02966825","09","2015","980030","2",0.1667,
"02966825","07","2015","980040","2",0.1667,
"02966825","08","2015","980040","2",0.1667,
"02966825","09","2015","980040","2",0.1667,
"02966825","07","2015","980050","2",0.3333,
"02966825","08","2015","980050","2",0.3333,
"02966825","09","2015","980050","2",0.3333,
"02966825","07","2015","980060","2",0.0833,
"02966825","08","2015","980060","2",0.0833,
"02966825","09","2015","980060","2",0.0833,
"02966825","07","2015","980071","2",10885.4167,
"02966825","08","2015","980071","2",10885.4167,
"02966825","09","2015","980071","2",10885.4167,
"02966825","07","2015","980090","1",8.3333,
"02966825","08","2015","980090","1",8.3333,
"02966825","09","2015","980090","1",8.3333,
"02966825","07","2015","980210","2",8.3333,
"02966825","08","2015","980210","2",8.3333,
"02966825","09","2015","980210","2",8.3333,
"02966825","07","2015","980230","2",8.3333,
"02966825","08","2015","980230","2",8.3333,
"02966825","09","2015","980230","2",8.3333,
"02966825","07","2015","980282","2",8.3333,
"02966825","08","2015","980282","2",8.3333,
"02966825","09","2015","980282","2",8.3333,
"02966825","07","2015","980286","2",8.3333,
"02966825","08","2015","980286","2",8.3333,
"02966825","09","2015","980286","2",8.3333,
"02966825","07","2015","980310","2",8.3333,
"02966825","08","2015","980310","2",8.3333,
"02966825","09","2015","980310","2",8.3333,
"02966825","07","2015","980330","2",8.3333,
"02966825","08","2015","980330","2",8.3333,
"02966825","09","2015","980330","2",8.3333,
"02966825","07","2015","980350","2",8.3333,
"02966825","08","2015","980350","2",8.3333,
"02966825","09","2015","980350","2",8.3333,
"02966845","07","2015","005200","2",2500,
"02966845","08","2015","005200","2",2500,
"02966845","09","2015","005200","2",2500,
"02966845","07","2015","005210","2",2500,
"02966845","08","2015","005210","2",2500,
"02966845","09","2015","005210","2",2500,
"02966845","07","2015","005400","2",391.6667,
"02966845","08","2015","005400","2",391.6667,
"02966845","09","2015","005400","2",391.6667,
"02966845","07","2015","800932","2",458.3333,
"02966845","08","2015","800932","2",458.3333,
"02966845","09","2015","800932","2",458.3333,
"02966845","07","2015","800940","2",344.25,
"02966845","08","2015","800940","2",344.25,
"02966845","09","2015","800940","2",344.25,
"02966845","07","2015","900000","2",4500,
"02966845","08","2015","900000","2",4500,
"02966845","09","2015","900000","2",4500,
"02966845","07","2015","900180","2",37.5,
"02966845","08","2015","900180","2",37.5,
"02966845","09","2015","900180","2",37.5,
"02966845","07","2015","980000","2",4537.5,
"02966845","08","2015","980000","2",4537.5,
"02966845","09","2015","980000","2",4537.5,
"02966845","07","2015","980010","2",0.0833,
"02966845","08","2015","980010","2",0.0833,
"02966845","09","2015","980010","2",0.0833,
"02966845","07","2015","980020","2",2,
"02966845","08","2015","980020","2",2,
"02966845","09","2015","980020","2",2,
"02966845","07","2015","980030","2",0.0833,
"02966845","08","2015","980030","2",0.0833,
"02966845","09","2015","980030","2",0.0833,
"02966845","07","2015","980040","2",0.0833,
"02966845","08","2015","980040","2",0.0833,
"02966845","09","2015","980040","2",0.0833,
"02966845","07","2015","980071","2",3970.8333,
"02966845","08","2015","980071","2",3970.8333,
"02966845","09","2015","980071","2",3970.8333,
"02966845","07","2015","980090","1",8.3333,
"02966845","08","2015","980090","1",8.3333,
"02966845","09","2015","980090","1",8.3333,
"02966845","07","2015","980220","2",8.3333,
"02966845","08","2015","980220","2",8.3333,
"02966845","09","2015","980220","2",8.3333,
"02966845","07","2015","980230","2",8.3333,
"02966845","08","2015","980230","2",8.3333,
"02966845","09","2015","980230","2",8.3333,
"02966845","07","2015","980281","2",8.3333,
"02966845","08","2015","980281","2",8.3333,
"02966845","09","2015","980281","2",8.3333,
"02966845","07","2015","980286","2",8.3333,
"02966845","08","2015","980286","2",8.3333,
"02966845","09","2015","980286","2",8.3333,
"02966845","07","2015","980300","2",8.3333,
"02966845","08","2015","980300","2",8.3333,
"02966845","09","2015","980300","2",8.3333,
"02966845","07","2015","980330","2",8.3333,
"02966845","08","2015","980330","2",8.3333,
"02966845","09","2015","980330","2",8.3333,
"02966845","07","2015","980350","2",8.3333,
"02966845","08","2015","980350","2",8.3333,
"02966845","09","2015","980350","2",8.3333,
"02966915","07","2015","005100","2",1666.6667,
"02966915","08","2015","005100","2",1666.6667,
"02966915","09","2015","005100","2",1666.6667,
"02966915","07","2015","005110","2",1666.6667,
"02966915","08","2015","005110","2",1666.6667,
"02966915","09","2015","005110","2",1666.6667,
"02966915","07","2015","005200","2",2500,
"02966915","08","2015","005200","2",2500,
"02966915","09","2015","005200","2",2500,
"02966915","07","2015","005210","2",2500,
"02966915","08","2015","005210","2",2500,
"02966915","09","2015","005210","2",2500,
"02966915","07","2015","800940","2",1454.3662,"T"
"02966915","08","2015","800940","2",1454.3662,"T"
"02966915","09","2015","800940","2",1454.3662,"T"
"02966915","07","2015","900000","2",24053.9,"T"
"02966915","08","2015","900000","2",24053.9,"T"
"02966915","09","2015","900000","2",24053.9,"T"
"02966915","07","2015","980000","2",24053.9,"T"
"02966915","08","2015","980000","2",24053.9,"T"
"02966915","09","2015","980000","2",24053.9,"T"
"02966915","07","2015","980010","2",0.25,
"02966915","08","2015","980010","2",0.25,
"02966915","09","2015","980010","2",0.25,
"02966915","07","2015","980020","2",3.75,
"02966915","08","2015","980020","2",3.75,
"02966915","09","2015","980020","2",3.75,
"02966915","07","2015","980030","2",0.1667,
"02966915","08","2015","980030","2",0.1667,
"02966915","09","2015","980030","2",0.1667,
"02966915","07","2015","980040","2",0.0833,
"02966915","08","2015","980040","2",0.0833,
"02966915","09","2015","980040","2",0.0833,
"02966915","07","2015","980050","2",0.0833,
"02966915","08","2015","980050","2",0.0833,
"02966915","09","2015","980050","2",0.0833,
"02966915","07","2015","980071","2",18831.3167,"T"
"02966915","08","2015","980071","2",18831.3167,"T"
"02966915","09","2015","980071","2",18831.3167,"T"
"02966915","07","2015","980090","1",8.3333,
"02966915","08","2015","980090","1",8.3333,
"02966915","09","2015","980090","1",8.3333,
"02966915","07","2015","980220","2",8.3333,
"02966915","08","2015","980220","2",8.3333,
"02966915","09","2015","980220","2",8.3333,
"02966915","07","2015","980230","2",8.3333,
"02966915","08","2015","980230","2",8.3333,
"02966915","09","2015","980230","2",8.3333,
"02966915","07","2015","980281","2",8.3333,
"02966915","08","2015","980281","2",8.3333,
"02966915","09","2015","980281","2",8.3333,
"02966915","07","2015","980286","2",8.3333,
"02966915","08","2015","980286","2",8.3333,
"02966915","09","2015","980286","2",8.3333,
"02966915","07","2015","980310","2",8.3333,
"02966915","08","2015","980310","2",8.3333,
"02966915","09","2015","980310","2",8.3333,
"02966915","07","2015","980330","2",8.3333,
"02966915","08","2015","980330","2",8.3333,
"02966915","09","2015","980330","2",8.3333,
"02966915","07","2015","980340","2",8.3333,
"02966915","08","2015","980340","2",8.3333,
"02966915","09","2015","980340","2",8.3333,
"02966915","07","2015","980350","2",8.3333,
"02966915","08","2015","980350","2",8.3333,
"02966915","09","2015","980350","2",8.3333,
"02966915","07","2015","980360","2",0.0833,
"02966915","08","2015","980360","2",0.0833,
"02966915","09","2015","980360","2",0.0833,
"02966925","07","2015","005100","2",416.6667,
"02966925","08","2015","005100","2",416.6667,
"02966925","09","2015","005100","2",416.6667,
"02966925","07","2015","005110","2",416.6667,
"02966925","08","2015","005110","2",416.6667,
"02966925","09","2015","005110","2",416.6667,
"02966925","07","2015","800940","2",38.25,
"02966925","08","2015","800940","2",38.25,
"02966925","09","2015","800940","2",38.25,
"02966925","07","2015","900000","2",500,
"02966925","08","2015","900000","2",500,
"02966925","09","2015","900000","2",500,
"02966925","07","2015","900030","2",1304.9167,
"02966925","08","2015","900030","2",1304.9167,
"02966925","09","2015","900030","2",1304.9167,
"02966925","07","2015","900150","2",180,
"02966925","08","2015","900150","2",180,
"02966925","09","2015","900150","2",180,
"02966925","07","2015","980000","2",1984.9167,
"02966925","08","2015","980000","2",1984.9167,
"02966925","09","2015","980000","2",1984.9167,
"02966925","07","2015","980010","2",0.0833,
"02966925","08","2015","980010","2",0.0833,
"02966925","09","2015","980010","2",0.0833,
"02966925","07","2015","980020","2",6,
"02966925","08","2015","980020","2",6,
"02966925","09","2015","980020","2",6,
"02966925","07","2015","980030","2",0.0833,
"02966925","08","2015","980030","2",0.0833,
"02966925","09","2015","980030","2",0.0833,
"02966925","07","2015","980060","2",0.0833,
"02966925","08","2015","980060","2",0.0833,
"02966925","09","2015","980060","2",0.0833,
"02966925","07","2015","980071","2",2009.0833,
"02966925","08","2015","980071","2",2009.0833,
"02966925","09","2015","980071","2",2009.0833,
"02966925","07","2015","980090","1",8.3333,
"02966925","08","2015","980090","1",8.3333,
"02966925","09","2015","980090","1",8.3333,
"02966925","07","2015","980220","2",8.3333,
"02966925","08","2015","980220","2",8.3333,
"02966925","09","2015","980220","2",8.3333,
"02966925","07","2015","980230","2",8.3333,
"02966925","08","2015","980230","2",8.3333,
"02966925","09","2015","980230","2",8.3333,
"02966925","07","2015","980281","2",8.3333,
"02966925","08","2015","980281","2",8.3333,
"02966925","09","2015","980281","2",8.3333,
"02966925","07","2015","980286","2",8.3333,
"02966925","08","2015","980286","2",8.3333,
"02966925","09","2015","980286","2",8.3333,
"02966925","07","2015","980300","2",8.3333,
"02966925","08","2015","980300","2",8.3333,
"02966925","09","2015","980300","2",8.3333,
"02966945","07","2015","005100","2",11666.6667,
"02966945","08","2015","005100","2",11666.6667,
"02966945","09","2015","005100","2",11666.6667,
"02966945","07","2015","005110","2",9166.6667,
"02966945","08","2015","005110","2",9166.6667,
"02966945","09","2015","005110","2",9166.6667,
"02966945","07","2015","005200","2",22500,
"02966945","08","2015","005200","2",22500,
"02966945","09","2015","005200","2",22500,
"02966945","07","2015","005210","2",20000,
