"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MINAPPLY","MINA_PLY","GFTCMIN","GFTCMIN_","MIN_MO","MIN_MO_","MINPURX","MINPURX_","MINRENTX","MINR_NTX","MNAPPL1","MNAPPL1_","MNAPPL2","MNAPPL2_","MNAPPL3","MNAPPL3_","MNAPPL4","MNAPPL4_","MNAPPL5","MNAPPL5_","MNAPPL6","MNAPPL6_","MNAPPL7","MNAPPL7_","MNAPPL8","MNAPPL8_","MNAPPL9","MNAPPL9_","INSTLSCR","INST_SCR","INSTLLEX","INST_LEX","TVPURCH"
"20161","03088744",1,0,"1","460","D","3","D","12","D",212,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03088744",2,0,"1","460","D","1","D","12","D",106,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03088894",1,0,"1","470","D","3","D","12","D",20,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03088894",2,0,"1","490","D","3","D","12","D",20,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03088954",1,0,"1","640","D","1","D","12","D",100,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",
"20161","03088954",2,0,"1","365","D","1","D","11","D",800,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",
"20161","03089134",2,0,"1","640","D","1","D","11","D",107,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",
"20161","03089134",3,0,"1","650","D","1","D","12","D",80,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089134",4,0,"1","440","D","1","D","11","D",54,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",
"20161","03089134",5,0,"1","470","D","1","D","11","D",86,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089164",1,0,"1","660","D","1","D","12","D",100,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089164",2,0,"1","645","D","1","D","11","D",34,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089164",3,0,"1","750","D","1","D","12","D",36,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089164",4,0,"2","645","D","1","D","10","D",42,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089204",1,0,"1","230","D","1","D","11","D",72,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089204",2,0,"1","230","D","1","D","11","D",32,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089204",3,0,"1","270","D","1","D","12","D",33,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089204",4,0,"1","640","D","1","D","12","D",159,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",
"20161","03089204",5,0,"1","650","D","1","D","12","D",140,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089204",6,0,"1","650","D","3","D","12","D",49,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089204",7,0,"1","300","D","1","D","11","D",150,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089204",8,0,"1","350","D","1","D","11","D",62,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089204",9,0,"1","350","D","1","D","12","D",109,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089224",1,0,"1","230","D","1","D","11","D",214,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089304",1,0,"2","230","D","1","D","10","D",280,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089444",1,0,"1","230","D","3","D","12","D",49,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089444",2,0,"1","460","D","1","D","12","D",28,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089514",2,0,"1","800","D","1","D","12","D",.,"H",.,"A","660","D","640","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",
"20161","03089514",2,1,"1","640","D","1","D","12","D",900,"E",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089654",1,0,"1","700","D","1","D","11","D",300,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089654",2,0,"1","425","D","1","D","11","D",40,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",
"20161","03089654",3,0,"1","520","D","2","D",,"A",.,"A",161,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089654",4,0,"1","570","D","1","D","12","D",120,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03089964",1,0,"1","230","D","1","D","12","D",200,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03090094",1,0,"1","540","D","1","D","11","D",100,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03090224",2,0,"2","660","D","1","D","10","D",75,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03090244",1,0,"1","230","D","3","D","12","D",37,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
"20161","03090244",2,0,"1","700","D","1","D","12","D",214,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",
