"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYA","CLOTHYA_","CLOTHMOA","CLOT_MOA","CLOTHXA","CLOTHXA_","AGE_SEXA","AGE__EXA","CLOGFTA","CLOGFTA_","CLOTHA1","CLOTHA1_","CLOTHA2","CLOTHA2_","CLOTHA3","CLOTHA3_","CLOTHA4","CLOTHA4_","CLOTHA5","CLOTHA5_","CLOTHA6","CLOTHA6_","CLOTHA7","CLOTHA7_","CLOTHA8","CLOTHA8_","CLOTHA9","CLOTHA9_","CLAPURCH"
"20161","03088744",3,0,"1","100","D","11","D",74,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088744",4,0,"1","145","D","11","D",64,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088744",5,0,"1","260","D","10","D",11,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088784",1,0,"1","275","D","12","D",.,"H","2","D","2","D","150","D","145","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088784",1,1,"1","150","D","12","D",39,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088784",1,2,"1","145","D","12","D",41,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088894",3,0,"1","145","D","12","D",108,"D","3","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088894",4,0,"1","280","D","12","D",30,"D","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088894",5,0,"1","280","D","12","D",60,"D","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088914",1,0,"1","100","D","12","D",89,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03088954",3,0,"1","150","D","11","D",100,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089104",1,0,"1","145","D","10","D",16,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089104",2,0,"1","280","D","11","D",35,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089124",1,0,"1","150","D","11","D",77,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089134",6,0,"1","145","D","11","D",9,"D","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089134",7,0,"1","240","D","12","D",20,"D","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089134",8,0,"1","240","D","12","D",42,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089134",9,0,"1","230","D","11","D",33,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089134",10,0,"1","280","D","10","D",50,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089134",11,0,"1","280","D","10","D",66,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089134",12,0,"1","280","D","10","D",80,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089164",5,0,"1","100","D","12","D",.,"H",,"B","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089164",5,300,"1","100","D","12","D",30,"E","3","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
"20161","03089164",5,400,"1","100","D","12","D",30,"E","4","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
