"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","LSD__AKE","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_","LSD_MAKE"
"20161","03089164",55,0,"5","01","D","105","D","2013","D",.,"A",36,"D","07","D",572,"D","3","D",.,"A",3000,"D",500,"D",.,"A","11","D",572,"D",572,"D",.,"A",.,"A",.,"A",.,"A",500,"D",.,"A","D",,"A","2013","D","LAN"
"20161","03089164",56,0,"1","02","D","105","D","2016","D",.,"A",48,"D","12","D",689,"D","3","D",.,"A",.,"A",1697,"D",.,"A",,"A",.,"A",.,"A",689,"D",.,"A",.,"A",.,"A",1697,"D",.,"A","D",,"A","2015","D","LAN"
"20161","03091054",12,0,"5","01","D","105","D","2012","D",.,"A",39,"D","11","D",367,"D","3","D",.,"A",.,"A",.,"A",.,"A","10","D",367,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2013","D","NIS"
"20161","03091054",13,0,"5","02","D","105","D","2015","D",.,"A",33,"D","08","D",565,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",565,"D",565,"D",565,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","LEX"
"20161","03093224",8,0,"5","01","D","105","D","2014","D",.,"A",39,"D","04","D",396,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",396,"D",396,"D",396,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","CHE"
"20161","03093284",8,0,"5","01","D","105","D","2014","D",.,"A",4,"D","01","D",294,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",294,"D",294,"D",294,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","D",,"A","2014","D","MAZ"
"20161","03093804",32,0,"5","02","D","105","D","2015","D",.,"A",24,"D","09","D",420,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",420,"D",420,"D",420,"D",30,"D",30,"D",30,"D",.,"A",.,"A","D",,"A","2015","D","FOR"
"20161","03094014",13,0,"5","01","D","105","D","2013","D",.,"A",60,"D","05","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","FOR"
"20161","03094014",14,0,"1","02","D","105","D","2015","D",.,"A",36,"D","12","D",428,"D","3","D",.,"A",.,"A",400,"D",.,"A",,"A",428,"D",428,"D",428,"D",.,"A",.,"A",.,"A",400,"D",.,"A","D",,"A","2014","D","NIS"
"20161","03095274",8,0,"4","01","D","105","D","2015","D",.,"A",36,"D","04","D",292,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",292,"D",292,"D",292,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","HON"
"20161","03095584",11,0,"1","01","D","105","D","2014","D",.,"A",36,"D","02","D",346,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",346,"D",346,"D",346,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","CHE"
"20161","03097534",18,0,"5","01","D","105","D","2014","D",.,"A",36,"D","05","F",249,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",249,"D",249,"D",249,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","CHE"
"20161","03098604",27,0,"5","01","D","105","D","2014","D",.,"A",36,"D","12","D",383,"D","3","D",.,"A",.,"A",800,"D",.,"A",,"A",383,"D",383,"D",383,"D",1,"D",1,"D",1,"D",800,"D",.,"A","D",,"A","2013","D","SUB"
"20161","03099044",21,0,"5","01","D","105","D","2006","D",.,"A",36,"D","08","D",180,"D","3","D",.,"A",.,"A",.,"A",.,"A","10","D",180,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2012","D","MEC"
