"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20161","03088744",24,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03090394",31,0,"1","110","D","4","D","10","D",.,"A",2000,"D",.,"A","1","D",800,"F","01","D"
"20161","03090914",34,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03091194",16,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03091594",49,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03092794",19,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20161","03093904",25,0,"1","110","D","1","D","11","D",2000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03095074",57,0,"1","150","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03095614",38,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20161","03096854",42,0,"1","110","D","1","D","11","D",500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03097804",36,0,"2","110","D","1","D","10","D",1200,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03098374",25,0,"1","110","D","1","D","10","D",14000,"D",.,"A",.,"A","1","D",13000,"D","01","D"
"20161","03098874",28,0,"2","110","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03098874",29,0,"2","100","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03100194",43,0,"1","110","D","1","D","11","D",1200,"D",.,"A",.,"A","1","D",800,"D","01","D"
"20161","03100594",32,0,"2","110","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03101604",25,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03101604",26,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20161","03105224",35,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03106224",50,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","03","D"
"20161","03106864",34,0,"1","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03107674",9,0,"1","110","D","1","D","10","D",7000,"F",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03107674",10,0,"1","100","D","4","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20161","03107994",20,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03109524",7,0,"1","150","D","1","D","12","D",125,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03109894",51,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20161","03110364",25,0,"1","100","D","1","D","11","D",1500,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03110464",17,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03142244",18,0,"1","110","D","1","D","12","D",17000,"F",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03142554",29,0,"1","110","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03143174",36,0,"1","100","D","4","D","11","D",.,"A",.,"A",11000,"F","2","D",.,"A","01","D"
"20161","03143684",36,0,"2","100","D","1","D","11","D",550,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03143714",7,0,"1","110","D","4","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03144124",24,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03144184",17,0,"1","110","D","1","D","01","D",400,"F",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03144454",29,0,"1","100","D","4","D","11","D",.,"A",2200,"D",.,"A","2","D",.,"A","02","D"
"20161","03145264",54,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20161","03145484",14,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03146424",22,0,"1","200","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03148384",20,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",4000,"F","01","D"
"20161","03148384",21,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",200,"F","02","D"
"20161","03148804",14,0,"1","110","D","6","D","01","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20161","03148854",37,0,"2","100","D","1","D","11","D",7500,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03149054",34,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03149314",43,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20161","03149644",28,0,"1","100","D","1","D","11","D",500,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03150254",35,0,"1","100","D","1","D","01","D",3400,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03150334",13,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03151024",11,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03151394",42,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03151544",35,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20161","03151724",38,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20161","03151934",32,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03152214",10,0,"1","100","D","4","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03152514",33,0,"1","100","D","4","D","11","D",.,"A",18000,"D",.,"A","2","D",.,"A","02","D"
"20161","03152804",20,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03163684",26,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03163694",52,0,"1","110","D","1","D","01","D",7000,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03163874",7,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03164014",34,0,"1","100","D","1","D","12","D",6000,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03164124",21,0,"1","100","D","4","D","12","D",.,"A",8800,"D",.,"A","1","D",7900,"D","01","D"
"20161","03164674",21,0,"1","110","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03164754",18,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03164784",16,0,"1","100","D","1","D","02","D",1200,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03164844",51,0,"1","200","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","08","D"
"20161","03165064",37,0,"1","100","D","4","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03165104",20,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03165404",49,0,"2","170","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20161","03165644",38,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
