"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20161","03089134",66,0,"1",1,"D",.,"H",,"A"
"20161","03089134",66,1,"1",.,"A",60,"E","100","D"
"20161","03089134",66,2,"1",.,"A",23,"E","110","D"
"20161","03089134",66,3,"1",.,"A",21,"E","120","D"
"20161","03089134",66,4,"1",.,"A",7,"E","140","D"
"20161","03089134",66,5,"1",.,"A",165,"E","150","D"
"20161","03089134",66,6,"1",.,"A",1,"E","160","D"
"20161","03089134",66,7,"1",.,"A",26,"E","170","D"
"20161","03089134",66,8,"1",.,"A",114,"E","190","D"
"20161","03089134",66,9,"1",.,"A",56,"E","200","D"
"20161","03089134",66,10,"1",.,"A",50,"E","210","D"
"20161","03089134",66,11,"1",.,"A",94,"E","220","D"
"20161","03090534",52,0,"1",1,"D",.,"H",,"A"
"20161","03090534",52,1,"1",.,"A",21,"E","100","D"
"20161","03090534",52,2,"1",.,"A",7,"E","110","D"
"20161","03090534",52,3,"1",.,"A",6,"E","120","D"
"20161","03090534",52,4,"1",.,"A",3,"E","140","D"
"20161","03090534",52,5,"1",.,"A",90,"E","150","D"
"20161","03090534",52,6,"1",.,"A",3,"E","160","D"
"20161","03090534",52,7,"1",.,"A",111,"E","180","D"
"20161","03090534",52,8,"1",.,"A",9,"E","190","D"
"20161","03097804",37,0,"1",1,"D",.,"H",,"A"
"20161","03097804",37,1,"1",.,"A",148,"E","100","D"
"20161","03097804",37,2,"1",.,"A",49,"E","110","D"
"20161","03097804",37,3,"1",.,"A",76,"E","120","D"
"20161","03097804",37,4,"1",.,"A",190,"E","130","D"
"20161","03097804",37,5,"1",.,"A",10,"E","140","D"
"20161","03097804",37,6,"1",.,"A",741,"E","150","D"
"20161","03097804",37,7,"1",.,"A",182,"E","170","D"
"20161","03097804",37,8,"1",.,"A",204,"E","190","D"
"20161","03100254",24,0,"1",1,"D",.,"H",,"A"
"20161","03100254",24,1,"1",.,"A",350,"E","130","D"
"20161","03102524",36,0,"1",1,"D",.,"H",,"A"
"20161","03102524",36,1,"1",.,"A",182,"E","100","D"
"20161","03102524",36,2,"1",.,"A",64,"E","110","D"
"20161","03102524",36,3,"1",.,"A",57,"E","120","D"
"20161","03102524",36,4,"1",.,"A",469,"E","130","D"
"20161","03102524",36,5,"1",.,"A",29,"E","140","D"
"20161","03102524",36,6,"1",.,"A",741,"E","150","D"
"20161","03102524",36,7,"1",.,"A",31,"E","160","D"
"20161","03102524",36,8,"1",.,"A",947,"E","180","D"
"20161","03102524",36,9,"1",.,"A",80,"E","190","D"
"20161","03102804",11,0,"1",1,"D",.,"H",,"A"
"20161","03102804",11,1,"1",.,"A",102,"E","100","D"
"20161","03102804",11,2,"1",.,"A",48,"E","110","D"
"20161","03103624",26,0,"1",5,"D",.,"H",,"A"
"20161","03103624",26,1,"1",.,"A",13,"E","100","D"
"20161","03103624",26,2,"1",.,"A",6,"E","110","D"
"20161","03105574",28,0,"1",1,"D",.,"H",,"A"
"20161","03105574",28,1,"1",.,"A",139,"E","100","D"
"20161","03105574",28,2,"1",.,"A",61,"E","110","D"
"20161","03108994",39,0,"1",12,"D",.,"H",,"A"
"20161","03108994",39,1,"1",.,"A",25,"E","100","D"
"20161","03108994",39,2,"1",.,"A",25,"E","110","D"
"20161","03109884",38,0,"1",1,"D",.,"H",,"A"
"20161","03109884",38,1,"1",.,"A",7,"E","100","D"
"20161","03109884",38,2,"1",.,"A",3,"E","110","D"
"20161","03109884",38,3,"1",.,"A",3,"E","120","D"
"20161","03109884",38,4,"1",.,"A",1,"E","140","D"
"20161","03109884",38,5,"1",.,"A",23,"E","150","D"
"20161","03109884",38,6,"1",.,"A",4,"E","160","D"
