"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20161","03088724",20,0,"1",.,"A"
"20161","03088744",33,0,"1",.,"A"
"20161","03088784",11,0,"1",.,"A"
"20161","03088894",45,0,"1",.,"A"
"20161","03088914",18,0,"1",.,"A"
"20161","03088954",57,0,"1",.,"A"
"20161","03089104",29,0,"1",.,"A"
"20161","03089124",13,0,"1",.,"A"
"20161","03089134",72,0,"1",.,"A"
"20161","03089164",86,0,"1",.,"A"
"20161","03089204",156,0,"1",.,"A"
"20161","03089224",24,0,"1",.,"A"
"20161","03089234",12,0,"1",.,"A"
"20161","03089304",24,0,"1",.,"A"
"20161","03089394",7,0,"1",.,"A"
"20161","03089404",18,0,"1",.,"A"
"20161","03089444",25,0,"1",.,"A"
"20161","03089474",13,0,"1",.,"A"
"20161","03089514",37,0,"1",.,"A"
"20161","03089614",25,0,"1",.,"A"
"20161","03089654",54,0,"1",.,"A"
"20161","03089754",17,0,"1",.,"A"
"20161","03089794",46,0,"1",.,"A"
"20161","03089814",26,0,"1",.,"A"
"20161","03089834",18,0,"1",.,"A"
"20161","03089964",27,0,"1",.,"A"
"20161","03090084",16,0,"1",.,"A"
"20161","03090094",34,0,"1",.,"A"
"20161","03090134",17,0,"1",.,"A"
"20161","03090224",42,0,"1",.,"A"
"20161","03090234",19,0,"1",.,"A"
"20161","03090244",69,0,"1",.,"A"
"20161","03090274",8,0,"1",.,"A"
"20161","03090284",24,0,"1",.,"A"
"20161","03090294",39,0,"1",.,"A"
"20161","03090314",43,0,"1",.,"A"
"20161","03090384",26,0,"1",.,"A"
"20161","03090394",38,0,"1",.,"A"
"20161","03090424",23,0,"1",.,"A"
"20161","03090494",28,0,"1",.,"A"
"20161","03090534",59,0,"1",.,"A"
"20161","03090574",30,0,"1",.,"A"
"20161","03090624",19,0,"1",.,"A"
"20161","03090674",23,0,"1",.,"A"
"20161","03090694",19,0,"1",.,"A"
"20161","03090724",42,0,"1",.,"A"
"20161","03090834",39,0,"1",.,"A"
"20161","03090854",32,0,"1",.,"A"
"20161","03090864",19,0,"1",.,"A"
"20161","03090914",50,0,"1",.,"A"
"20161","03090934",38,0,"1",.,"A"
"20161","03091004",18,0,"1",.,"A"
"20161","03091054",23,0,"1",.,"A"
"20161","03091114",23,0,"1",.,"A"
"20161","03091144",84,0,"1",.,"A"
"20161","03091164",21,0,"1",.,"A"
"20161","03091194",22,0,"1",.,"A"
"20161","03091244",59,0,"1",.,"A"
"20161","03091264",30,0,"1",.,"A"
"20161","03091364",35,0,"1",.,"A"
"20161","03091374",19,0,"1",.,"A"
"20161","03091404",27,0,"1",.,"A"
"20161","03091434",64,0,"1",.,"A"
"20161","03091454",27,0,"1",.,"A"
"20161","03091474",51,0,"1",.,"A"
"20161","03091534",22,0,"1",.,"A"
"20161","03091544",47,0,"1",.,"A"
"20161","03091594",60,0,"1",.,"A"
"20161","03091654",22,0,"1",.,"A"
"20161","03091824",42,0,"1",.,"A"
"20161","03091834",19,0,"1",.,"A"
"20161","03091864",47,0,"1",.,"A"
"20161","03091874",16,0,"1",.,"A"
"20161","03092044",13,0,"1",.,"A"
"20161","03092064",14,0,"1",.,"A"
"20161","03092094",30,0,"1",.,"A"
"20161","03092144",38,0,"1",.,"A"
"20161","03092334",12,0,"1",.,"A"
"20161","03092344",36,0,"1",20,"D"
"20161","03092364",25,0,"1",.,"A"
"20161","03092394",36,0,"1",.,"A"
"20161","03092404",31,0,"1",.,"A"
"20161","03092444",52,0,"1",.,"A"
"20161","03092454",26,0,"1",.,"A"
"20161","03092474",15,0,"1",.,"A"
"20161","03092564",62,0,"1",.,"A"
"20161","03092574",13,0,"1",.,"A"
"20161","03092794",25,0,"1",.,"A"
"20161","03092854",42,0,"1",.,"A"
"20161","03092874",25,0,"1",.,"A"
"20161","03092924",21,0,"1",.,"A"
"20161","03092954",43,0,"1",.,"A"
"20161","03092984",82,0,"1",.,"A"
"20161","03092994",45,0,"1",.,"A"
"20161","03093034",34,0,"1",.,"A"
"20161","03093074",23,0,"1",.,"A"
"20161","03093114",18,0,"1",.,"A"
"20161","03093194",20,0,"1",.,"A"
"20161","03093224",24,0,"1",.,"A"
"20161","03093284",24,0,"1",.,"A"
"20161","03093294",47,0,"1",.,"A"
"20161","03093384",38,0,"1",.,"A"
"20161","03093404",49,0,"1",.,"A"
"20161","03093424",20,0,"1",.,"A"
"20161","03093474",62,0,"1",.,"A"
"20161","03093484",69,0,"1",.,"A"
"20161","03093564",18,0,"1",.,"A"
"20161","03093624",27,0,"1",.,"A"
"20161","03093634",32,0,"1",.,"A"
"20161","03093654",9,0,"1",.,"A"
"20161","03093664",15,0,"1",.,"A"
"20161","03093674",53,0,"1",.,"A"
"20161","03093684",39,0,"1",.,"A"
"20161","03093754",16,0,"1",.,"A"
"20161","03093804",61,0,"1",.,"A"
"20161","03093824",41,0,"1",.,"A"
"20161","03093834",46,0,"1",.,"A"
"20161","03093874",39,0,"1",.,"A"
"20161","03093894",27,0,"1",.,"A"
"20161","03093904",31,0,"1",.,"A"
"20161","03093964",36,0,"1",.,"A"
"20161","03093984",35,0,"1",.,"A"
"20161","03094004",15,0,"1",.,"A"
"20161","03094014",37,0,"1",.,"A"
"20161","03094034",36,0,"1",.,"A"
"20161","03094124",28,0,"1",.,"A"
"20161","03094304",29,0,"1",.,"A"
"20161","03094374",28,0,"1",.,"A"
"20161","03094524",28,0,"1",.,"A"
"20161","03094534",16,0,"1",.,"A"
"20161","03094544",38,0,"1",.,"A"
"20161","03094604",11,0,"1",.,"A"
"20161","03094664",13,0,"1",.,"A"
"20161","03094764",18,0,"1",.,"A"
"20161","03095004",17,0,"1",40,"D"
"20161","03095064",34,0,"1",.,"A"
"20161","03095074",79,0,"1",.,"A"
"20161","03095234",22,0,"1",.,"A"
"20161","03095264",17,0,"1",.,"A"
"20161","03095284",30,0,"1",.,"A"
"20161","03095324",41,0,"1",90,"D"
"20161","03095344",11,0,"1",.,"A"
"20161","03095374",51,0,"1",.,"A"
"20161","03095564",50,0,"1",50,"D"
