"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20161","03088724",22,0,"1",1300,"D",650,"D",.,"A",650,"D",0,"D",.,"A",180,"D",650,"D",30,"D",.,"A",.,"A",195,"D",15,"D"
"20161","03088744",35,0,"1",1040,"D",260,"D",.,"A",1040,"D",120,"D",.,"A",.,"A",780,"D",180,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03088784",13,0,"1",2080,"D",325,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1755,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03088894",50,0,"1",754,"D",195,"D",.,"A",390,"D",75,"D",.,"A",.,"A",559,"D",0,"D",5,"D",65,"D",.,"A",.,"A"
"20161","03088914",21,0,"1",1560,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1300,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03088954",59,0,"1",1300,"D",0,"D",260,"D",1300,"D",120,"D",.,"A",.,"A",1300,"D",240,"D",5,"D",65,"D",.,"A",.,"A"
"20161","03089104",36,0,"1",3796,"D",390,"D",.,"A",624,"D",6,"D",.,"A",.,"A",3406,"D",6,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089124",15,0,"1",650,"D",130,"D",325,"D",650,"D",0,"D",.,"A",.,"A",520,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089134",75,0,"1",1352,"D",0,"D",65,"D",390,"D",150,"D",.,"A",.,"A",1352,"D",267,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089164",93,0,"1",845,"D",0,"D",1495,"D",468,"D",0,"D",.,"A",65,"D",845,"D",219,"D",14,"D",182,"D",.,"A",.,"A"
"20161","03089204",158,0,"1",2145,"D",130,"D",.,"A",195,"D",0,"D",.,"A",.,"A",2015,"D",150,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089224",26,0,"1",390,"D",65,"D",260,"D",0,"D",0,"D",.,"A",.,"A",325,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089234",14,0,"1",2600,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",2340,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089304",26,0,"1",1105,"D",325,"D",.,"A",0,"D",0,"D",.,"A",.,"A",780,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089394",9,0,"1",4680,"D",780,"D",.,"A",0,"D",0,"D",.,"A",.,"A",3900,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089404",20,0,"1",585,"D",65,"D",.,"A",0,"D",0,"D",.,"A",.,"A",520,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089444",27,0,"1",650,"D",130,"D",.,"A",130,"D",0,"D",.,"A",.,"A",520,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089474",15,0,"1",286,"D",52,"D",39,"D",0,"D",0,"D",.,"A",.,"A",234,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089514",40,0,"1",1950,"D",195,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1755,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089614",28,0,"1",2600,"D",650,"D",.,"A",650,"D",6,"D",.,"A",.,"A",1950,"D",6,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089654",57,0,"1",3250,"D",1040,"D",.,"A",780,"D",45,"D",.,"A",.,"A",2210,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089754",19,0,"1",1300,"D",650,"D",195,"D",325,"D",0,"D",.,"A",.,"A",650,"D",12,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089794",51,0,"1",2600,"D",520,"D",.,"A",0,"D",0,"D",.,"A",240,"D",2080,"D",0,"D",42,"D",546,"D",.,"A",.,"A"
"20161","03089814",28,0,"1",715,"D",65,"D",.,"A",195,"D",0,"D",.,"A",.,"A",650,"D",0,"D",30,"D",390,"D",.,"A",.,"A"
"20161","03089834",20,0,"1",520,"D",130,"D",.,"A",260,"D",30,"D",.,"A",.,"A",390,"D",15,"D",.,"A",.,"A",13,"D",1,"D"
"20161","03089964",29,0,"1",1300,"D",260,"D",.,"A",260,"D",0,"D",.,"A",.,"A",1040,"D",120,"D",30,"D",390,"D",.,"A",.,"A"
"20161","03090084",18,0,"1",572,"D",182,"D",.,"A",65,"D",0,"D",.,"A",.,"A",390,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090094",39,0,"1",2340,"D",520,"D",.,"A",260,"D",0,"D",.,"A",.,"A",1820,"D",180,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090134",20,0,"1",1300,"D",390,"D",.,"A",0,"D",0,"D",.,"A",.,"A",910,"D",150,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090224",45,0,"1",1300,"D",260,"D",.,"A",0,"D",67,"F",.,"A",15,"D",1040,"D",100,"F",.,"C",670,"F",.,"A",.,"A"
"20161","03090234",22,0,"1",780,"D",130,"D",.,"A",260,"D",30,"D",.,"A",.,"A",650,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090244",72,0,"1",1066,"D",195,"D",.,"A",1157,"D",60,"D",.,"A",.,"A",871,"D",36,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090274",10,0,"1",650,"D",0,"D",.,"A",65,"D",0,"D",.,"A",.,"A",650,"D",75,"D",15,"D",195,"D",.,"A",.,"A"
"20161","03090284",28,0,"1",975,"D",195,"D",325,"D",650,"D",0,"D",.,"A",.,"A",780,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090294",42,0,"1",1300,"D",260,"D",.,"A",650,"D",0,"D",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090314",47,0,"1",975,"D",0,"D",.,"A",520,"D",96,"D",.,"A",.,"A",975,"D",180,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090384",28,0,"1",1950,"D",328,"F",.,"A",818,"F",0,"D",.,"A",.,"A",1330,"F",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090394",40,0,"1",1625,"D",104,"D",52,"D",780,"D",0,"D",.,"A",.,"A",1521,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090424",25,0,"1",1300,"D",0,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",1300,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090494",32,0,"1",6500,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",6240,"D",150,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090534",63,0,"1",2028,"D",325,"D",130,"D",1014,"D",240,"D",.,"A",29,"D",1703,"D",141,"D",30,"D",390,"D",.,"A",.,"A"
"20161","03090574",34,0,"1",780,"D",0,"D",.,"A",780,"D",150,"D",.,"A",.,"A",780,"D",300,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090624",21,0,"1",975,"D",585,"D",.,"A",520,"D",60,"D",.,"A",.,"A",390,"D",360,"D",7,"D",91,"D",.,"A",.,"A"
"20161","03090674",26,0,"1",1300,"D",130,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",1170,"D",900,"D",20,"D",260,"D",.,"A",.,"A"
"20161","03090694",22,0,"1",1300,"D",325,"D",.,"A",390,"D",0,"D",.,"A",.,"A",975,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090724",45,0,"1",1300,"D",260,"D",.,"A",520,"D",0,"D",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
