QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VEHICYB,VEHICYB_,VEHICYR,VEHICYR_,VEHBSNZ,VEHBSNZ_,VEHNEWU,VEHNEWU_,VEHGFTC,VEHGFTC_,VEHPURMO,VEHP_RMO,VEHPURYR,VEHP_RYR,VFINSTAT,VFIN_TAT,TRADEX,TRADEX_,NETPURX,NETPURX_,DNPAYMTX,DNPA_MTX,PRINCIPX,PRIN_IPX,VEHQPMT,VEHQPMT_,PMT1MO,PMT1MO_,PMT1YR,PMT1YR_,PAYMENTX,PAYM_NTX,QINTRSTZ,QINT_STZ,QLOANM1Q,QLOA_M1Q,QBALNM1X,QBAL_M1X,QVINTM1X,QVIN_M1X,QVPRIM1X,QVPR_M1X,QLOANM2Q,QLOA_M2Q,QBALNM2X,QBAL_M2X,QVINTM2X,QVIN_M2X,QVPRIM2X,QVPR_M2X,QLOANM3Q,QLOA_M3Q,QBALNM3X,QBAL_M3X,QVINTM3X,QVIN_M3X,QVPRIM3X,QVPR_M3X,QTRADEX,QTRADEX_,QREIMBRZ,QREI_BRZ,QADITR1X,QADI_R1X,QADITR2X,QADI_R2X,QADITR3X,QADI_R3X,QDNPYMTX,QDNP_MTX,VEHEQTLN,VEHE_TLN,VEHICIB,VEHICIB_,MAKE,MAKE_,VFINANCE,FUELTYPE,FUEL_YPE,VPURINDV,VPUR_NDV,VINTRATE,VINT_ATE,OVBPURCH
20171,03386764,32,0,5,100,D,19,D,,A,2,D,2,D,05,D,2012,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,CHR,D,2,1,D,1,D,,A,
20171,03386764,33,0,5,100,D,21,D,,A,2,D,2,D,07,D,2014,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,LIN,D,2,1,D,2,D,,A,
20171,03386764,34,0,5,110,D,31,D,,A,2,D,1,D,04,D,2013,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,GMC,D,1,1,D,2,D,,A,
20171,03386774,22,0,5,100,D,30,D,,A,2,D,1,D,02,D,2012,D,2,D,,A,20000,D,600,D,15000,D,60,D,03,D,2012,D,267,D,.0260,D,56,D,1318,D,3,D,264,D,57,D,1054,D,2,D,265,D,58,D,789,D,2,D,265,D,20000,D,,A,3,D,2,D,2,D,600,D,2,D,01,D,HON,D,1,1,D,2,D,.0900,D,
20171,03386874,10,0,5,110,D,,C,,A,2,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,2,1,D,1,D,,A,
20171,03386884,29,0,5,110,D,36,D,,A,1,D,1,D,01,D,2016,D,2,D,7000,D,21000,D,0,D,16962,D,60,D,02,D,2016,D,324,D,.0550,D,9,D,14960,D,69,D,255,D,10,D,14705,D,67,D,257,D,11,D,14448,D,66,D,258,D,21000,D,,A,69,D,67,D,66,D,0,D,2,D,01,D,BUI,D,1,1,D,2,D,.0550,D,
20171,03386894,13,0,5,100,D,21,D,,A,2,D,1,D,05,D,2006,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,INF,D,2,1,D,1,D,,A,
20171,03386924,19,0,1,100,D,29,D,,A,2,D,1,D,07,D,2011,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,ACU,D,1,1,D,2,D,,A,
20171,03386924,20,0,1,100,D,30,D,,A,2,D,1,D,09,D,2011,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,ACU,D,1,1,D,2,D,,A,
20171,03386944,19,0,5,110,D,20,D,,A,1,D,1,D,04,D,2000,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,1,1,D,2,D,,A,
20171,03386964,63,0,5,100,D,24,D,,A,2,D,1,D,04,D,2012,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,MRB,D,2,1,D,1,D,,A,
20171,03386964,64,0,5,110,D,25,D,,A,2,D,1,D,06,D,2014,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,MAZ,D,2,1,D,1,D,,A,
20171,03386964,65,0,5,100,D,25,D,,A,2,D,1,D,06,D,2016,D,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,B,0.75,D,,A,,A,,A,,A,,A,03,D,FOR,D,2,1,D,1,D,,A,
20171,03387004,33,0,5,110,D,20,D,,A,2,D,1,D,06,D,2001,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,XXX,T,1,1,D,2,D,,A,
20171,03387004,34,0,5,100,D,32,D,,A,1,D,1,D,06,D,2012,D,2,D,,A,12000,D,0,D,18778,D,60,D,07,D,2012,D,350,D,.0450,D,52,D,3097,D,12,D,338,D,53,D,2758,D,10,D,340,D,54,D,2419,D,9,D,341,D,12000,D,,A,12,D,10,D,9,D,0,D,2,D,02,D,XXX,T,1,1,D,2,D,.0400,D,
20171,03387004,36,0,5,100,D,16,D,,A,2,D,1,D,03,D,2016,D,,A,,A,1060,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1060,D,,A,,A,,A,,A,,A,,A,04,D,XXX,T,2,1,D,1,D,,A,
20171,03387004,37,0,5,120,D,,A,,A,2,D,1,D,09,D,2011,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,05,D,,A,1,,A,2,D,,A,
20171,03387004,38,0,5,110,D,32,D,,A,2,D,1,D,08,D,2016,D,2,D,1000,D,16000,D,0,D,16000,D,72,D,09,D,2016,D,270,D,.0660,D,2,D,15818,D,87,D,183,D,3,D,15635,D,86,D,184,D,4,D,15451,D,85,D,185,D,16000,D,,A,87,D,86,D,85,D,0,D,2,D,06,D,XXX,T,1,1,D,2,D,.0400,D,
20171,03387004,39,0,1,110,D,32,D,,A,2,D,1,D,11,D,2016,D,2,D,,A,34000,D,0,D,29194,D,72,D,12,D,2016,D,450,D,.0350,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,29194,D,85,D,365,D,34000,D,,A,,A,,A,85,D,0,D,2,D,07,D,XXX,T,1,1,D,2,D,.0349,D,
20171,03387034,13,0,5,110,D,20,D,,A,2,D,2,D,08,D,2013,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,2,1,D,1,D,,A,
20171,03387034,14,0,1,110,D,22,D,,A,2,D,1,D,01,D,2017,D,1,D,,A,7000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,7000,D,,A,,A,,A,,A,,A,,A,02,D,FOR,D,1,1,D,1,D,,A,
20171,03387034,15,0,1,110,D,30,D,,A,2,D,1,D,01,D,2017,D,2,D,,A,5600,D,0,D,4824,D,24,D,02,D,2017,D,216,D,.0700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,5600,D,,A,,A,,A,,A,0,D,2,D,03,D,KIA,D,1,1,D,2,D,.0700,D,
20171,03387054,25,0,5,110,D,34,D,,A,1,D,1,D,03,D,2014,D,2,D,,A,,C,,C,27063,D,60,D,05,D,2014,D,500,D,.0415,D,30,D,14688,D,51,D,449,D,31,D,14239,D,49,D,451,D,32,D,13788,D,48,D,452,D,,B,0.10,D,46,D,44,D,43,D,,C,,C,01,D,FOR,D,1,1,D,2,D,,C,
20171,03387084,32,0,5,100,D,26,D,,A,2,D,1,D,10,D,2010,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,CHR,D,1,1,D,2,D,,A,
20171,03387084,33,0,5,110,D,05,D,,A,2,D,1,D,04,D,2013,D,2,D,,A,4000,D,0,D,5638,D,48,D,05,D,2013,D,135,D,.0700,D,42,D,924,D,5,D,130,D,43,D,794,D,5,D,130,D,44,D,664,D,4,D,131,D,4000,D,,A,5,D,5,D,4,D,0,D,2,D,02,D,CHE,D,1,1,D,1,D,.0700,D,
20171,03387094,13,0,5,100,D,29,D,,A,1,D,1,D,06,D,2009,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,HYU,D,1,1,D,2,D,,A,
20171,03387094,14,0,5,100,D,26,D,,A,1,D,1,D,09,D,2006,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,HYU,D,1,1,D,2,D,,A,
20171,03387104,42,0,5,100,D,30,D,,A,2,D,1,D,05,D,2013,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,01,D,XXX,T,1,1,D,2,D,.0400,D,
20171,03387104,43,0,5,110,D,31,D,,A,1,D,1,D,02,D,2012,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,XXX,T,1,1,D,2,D,,A,
20171,03387104,44,0,5,100,D,22,D,,A,2,D,2,D,08,D,2010,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,XXX,T,2,1,D,1,D,,A,
20171,03387104,45,0,5,110,D,24,D,,A,2,D,2,D,10,D,2015,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,XXX,T,2,1,D,2,D,,A,
20171,03387104,46,0,1,100,D,36,D,,A,2,D,1,D,10,D,2016,D,2,D,,A,22000,D,13000,D,11102,D,36,D,11,D,2016,D,318,D,.0200,D,,A,,A,,A,,A,1,D,11102,D,19,D,299,D,2,D,10803,D,18,D,300,D,22000,D,,A,,A,19,D,18,D,13000,D,2,D,05,D,XXX,T,1,1,D,2,D,.0200,D,
20171,03387114,28,0,5,100,D,33,D,,A,1,D,1,D,10,D,2013,D,2,D,,A,13000,D,0,D,,B,,B,,B,,B,,B,,B,,B,,B,,B,365,F,,B,,B,,B,366,F,,B,,B,,B,366,F,13000,D,,A,39,F,38,F,38,F,0,D,2,D,01,D,TOY,D,1,3,D,2,D,.0000,D,
20171,03387114,29,0,5,110,D,27,D,,A,1,D,1,D,12,D,2007,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,HYU,D,1,1,D,2,D,,A,
20171,03387134,18,0,5,100,D,16,D,,A,2,D,1,D,04,D,2008,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,HON,D,2,1,D,1,D,,A,
20171,03387134,19,0,5,100,D,08,D,,A,2,D,1,D,03,D,2016,D,,A,,A,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2500,D,,A,,A,,A,,A,,A,,A,02,D,HON,D,2,1,D,1,D,,A,
20171,03387154,27,0,5,110,D,22,D,,A,1,D,1,D,11,D,2001,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,JEE,D,1,1,D,2,D,,A,
20171,03387154,28,0,5,100,D,35,D,,A,1,D,1,D,08,D,2015,D,2,D,23000,D,11000,D,3000,D,11000,D,60,D,09,D,2015,D,199,D,.0325,D,14,D,8764,D,24,D,175,D,15,D,8589,D,23,D,176,D,16,D,8413,D,23,D,176,D,11000,D,,A,24,D,23,D,23,D,3000,D,2,D,02,D,MIN,D,1,1,D,2,D,.0050,D,
20171,03387164,27,0,5,110,D,28,D,,A,2,D,1,D,12,D,2015,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,CHE,D,2,1,D,2,D,,A,
20171,03387164,28,0,5,110,D,25,D,,A,1,D,1,D,07,D,2005,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHE,D,1,1,D,2,D,,A,
20171,03387224,23,0,5,100,D,30,D,,A,1,D,1,D,05,D,2010,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,DOD,D,2,1,D,2,D,,A,
20171,03387224,24,0,5,110,D,19,D,,A,2,D,1,D,07,D,2014,D,2,D,,A,11000,D,0,D,11000,D,60,D,08,D,2014,D,200,D,.0345,D,27,D,6461,D,19,D,181,D,28,D,6280,D,18,D,182,D,29,D,6098,D,18,D,182,D,11000,D,,A,19,D,18,D,18,D,0,D,2,D,02,D,DOD,D,1,2,D,1,D,.0590,D,
20171,03387224,25,0,5,110,D,04,D,,A,2,D,1,D,06,D,2011,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,DOD,D,2,1,D,1,D,,A,
20171,03387234,24,0,5,110,D,19,D,,A,2,D,1,D,11,D,2014,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,2,1,D,1,D,,A,
