QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,UTILY,UTILY_,WHATPROP,WHAT_ROP,BLPERIOD,BLPE_IOD,QFUELADZ,QFUE_ADZ,UTLPTYPE,UTLP_YPE,UTIL1,UTIL1_,UTIL2,UTIL2_,UTIL3,UTIL3_,UTIL4,UTIL4_,UTIL5,UTIL5_,UTIL6,UTIL6_,UTIL7,UTIL7_,UTIL8,UTIL8_,UTIL9,UTIL9_,QADFUL1X,QADF_L1X,QADFUL2X,QADF_L2X,QADFUL3X,QADF_L3X
20171,03386764,44,0,1,120,D,40,D,,A,1.00,D,4,D,110,D,100,D,,A,,A,,A,,A,,A,,A,,A,,H,,H,,H
20171,03386764,44,5,1,100,D,40,D,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,58,E,74,E,97,E
20171,03386764,44,6,1,110,D,40,D,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,31,E,46,E,52,E
20171,03386764,45,0,1,205,D,40,D,2,D,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,0,D,103,D
20171,03386774,25,0,1,100,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,80,D,80,D
20171,03386774,26,0,1,205,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,35,D,35,D,35,D
20171,03386804,17,0,1,120,D,40,D,3,D,1.00,D,4,D,110,D,100,D,,A,,A,,A,,A,,A,,A,,A,0,D,0,D,,H
20171,03386804,17,5,1,100,D,40,D,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,424,E
20171,03386804,17,6,1,110,D,40,D,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,176,E
20171,03386874,12,0,1,100,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,300,D,300,D
20171,03386874,13,0,1,205,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D
20171,03386884,32,0,1,100,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,201,D,127,D,145,D
20171,03386884,33,0,1,110,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,42,D,42,D,58,D
20171,03386884,34,0,1,205,D,01,D,3,D,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,254,D,0,D,0,D
20171,03386894,16,0,1,100,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,145,D,140,D,140,D
20171,03386894,17,0,1,230,D,40,D,,A,1.00,D,4,D,210,D,205,D,,A,,A,,A,,A,,A,,A,,A,,H,,H,,H
20171,03386894,17,7,1,205,D,40,D,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,51,E,52,E,53,E
20171,03386894,17,8,1,210,D,40,D,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,29,E,28,E,27,E
20171,03386904,9,0,1,100,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,44,D,44,D,44,D
20171,03386904,10,0,1,110,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,44,D,44,D,44,D
20171,03386924,33,0,1,100,D,40,D,1,D,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0,D,80,D,80,D
20171,03386944,22,0,1,100,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,142,D,142,D,142,D
20171,03386944,23,0,1,110,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,141,D,141,D,141,D
20171,03386964,71,0,1,100,D,01,D,,A,0.89,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,83,D,75,D
20171,03386964,72,0,1,110,D,01,D,,A,0.89,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,26,D,48,D,84,D
