NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03386764,10,2016,005100,2,166.6667,
03386764,11,2016,005100,2,166.6667,
03386764,12,2016,005100,2,166.6667,
03386764,10,2016,005110,2,166.6667,
03386764,11,2016,005110,2,166.6667,
03386764,12,2016,005110,2,166.6667,
03386764,10,2016,005200,2,15000.0000,
03386764,11,2016,005200,2,15000.0000,
03386764,12,2016,005200,2,15000.0000,
03386764,10,2016,005210,2,17500.0000,
03386764,11,2016,005210,2,17500.0000,
03386764,12,2016,005210,2,17500.0000,
03386764,10,2016,005400,2,1833.3333,
03386764,11,2016,005400,2,1833.3333,
03386764,12,2016,005400,2,1833.3333,
03386764,10,2016,005410,2,1416.6667,
03386764,11,2016,005410,2,1416.6667,
03386764,12,2016,005410,2,1416.6667,
03386764,10,2016,005420,2,180.0000,
03386764,11,2016,005420,2,180.0000,
03386764,12,2016,005420,2,180.0000,
03386764,10,2016,800940,2,671.0167,
03386764,11,2016,800940,2,671.0167,
03386764,12,2016,800940,2,671.0167,
03386764,10,2016,900000,2,8771.4333,
03386764,11,2016,900000,2,8771.4333,
03386764,12,2016,900000,2,8771.4333,
03386764,10,2016,980000,2,8771.4333,
03386764,11,2016,980000,2,8771.4333,
03386764,12,2016,980000,2,8771.4333,
03386764,10,2016,980010,2,0.0833,
03386764,11,2016,980010,2,0.0833,
03386764,12,2016,980010,2,0.0833,
03386764,10,2016,980020,2,3.8333,
03386764,11,2016,980020,2,3.8333,
03386764,12,2016,980020,2,3.8333,
03386764,10,2016,980030,2,0.0833,
03386764,11,2016,980030,2,0.0833,
03386764,12,2016,980030,2,0.0833,
03386764,10,2016,980040,2,0.2500,
03386764,11,2016,980040,2,0.2500,
03386764,12,2016,980040,2,0.2500,
03386764,10,2016,980210,2,8.3333,
03386764,11,2016,980210,2,8.3333,
03386764,12,2016,980210,2,8.3333,
03386764,10,2016,980260,2,8.3333,
03386764,11,2016,980260,2,8.3333,
03386764,12,2016,980260,2,8.3333,
03386764,10,2016,980281,2,8.3333,
03386764,11,2016,980281,2,8.3333,
03386764,12,2016,980281,2,8.3333,
03386764,10,2016,980286,2,8.3333,
03386764,11,2016,980286,2,8.3333,
03386764,12,2016,980286,2,8.3333,
03386764,10,2016,980310,2,8.3333,
