NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03566504,07,2017,800940,2,,1,439.9167
03566504,07,2017,800940,2,,2,439.9167
03566504,07,2017,800940,2,,3,439.9167
03566504,07,2017,800940,2,,4,439.9167
03566504,07,2017,800940,2,,5,439.9167
03566504,08,2017,800940,2,,1,439.9167
03566504,08,2017,800940,2,,2,439.9167
03566504,08,2017,800940,2,,3,439.9167
03566504,08,2017,800940,2,,4,439.9167
03566504,08,2017,800940,2,,5,439.9167
03566504,09,2017,800940,2,,1,439.9167
03566504,09,2017,800940,2,,2,439.9167
03566504,09,2017,800940,2,,3,439.9167
03566504,09,2017,800940,2,,4,439.9167
03566504,09,2017,800940,2,,5,439.9167
03566504,07,2017,900000,2,,1,5750
03566504,07,2017,900000,2,,2,5750
03566504,07,2017,900000,2,,3,5750
03566504,07,2017,900000,2,,4,5750
03566504,07,2017,900000,2,,5,5750
03566504,08,2017,900000,2,,1,5750
03566504,08,2017,900000,2,,2,5750
03566504,08,2017,900000,2,,3,5750
03566504,08,2017,900000,2,,4,5750
03566504,08,2017,900000,2,,5,5750
03566504,09,2017,900000,2,,1,5750
03566504,09,2017,900000,2,,2,5750
03566504,09,2017,900000,2,,3,5750
03566504,09,2017,900000,2,,4,5750
03566504,09,2017,900000,2,,5,5750
03566504,07,2017,900210,2,T,1,3259.1613
03566504,07,2017,900210,2,T,2,3259.1613
03566504,07,2017,900210,2,T,3,3259.1613
03566504,07,2017,900210,2,T,4,3259.1613
03566504,07,2017,900210,2,T,5,3259.1613
03566504,08,2017,900210,2,T,1,3259.1613
03566504,08,2017,900210,2,T,2,3259.1613
03566504,08,2017,900210,2,T,3,3259.1613
03566504,08,2017,900210,2,T,4,3259.1613
03566504,08,2017,900210,2,T,5,3259.1613
03566504,09,2017,900210,2,T,1,3259.1613
03566504,09,2017,900210,2,T,2,3259.1613
03566504,09,2017,900210,2,T,3,3259.1613
03566504,09,2017,900210,2,T,4,3259.1613
03566504,09,2017,900210,2,T,5,3259.1613
03566504,07,2017,980000,2,T,1,9009.1613
03566504,07,2017,980000,2,T,2,9009.1613
03566504,07,2017,980000,2,T,3,9009.1613
03566504,07,2017,980000,2,T,4,9009.1613
03566504,07,2017,980000,2,T,5,9009.1613
03566504,08,2017,980000,2,T,1,9009.1613
03566504,08,2017,980000,2,T,2,9009.1613
03566504,08,2017,980000,2,T,3,9009.1613
03566504,08,2017,980000,2,T,4,9009.1613
03566504,08,2017,980000,2,T,5,9009.1613
03566504,09,2017,980000,2,T,1,9009.1613
03566504,09,2017,980000,2,T,2,9009.1613
03566504,09,2017,980000,2,T,3,9009.1613
03566504,09,2017,980000,2,T,4,9009.1613
03566504,09,2017,980000,2,T,5,9009.1613
03566514,07,2017,900030,2,,1,5202
03566514,07,2017,900030,2,,2,5202
03566514,07,2017,900030,2,,3,5202
03566514,07,2017,900030,2,,4,5202
03566514,07,2017,900030,2,,5,5202
03566514,08,2017,900030,2,,1,5202
03566514,08,2017,900030,2,,2,5202
03566514,08,2017,900030,2,,3,5202
03566514,08,2017,900030,2,,4,5202
03566514,08,2017,900030,2,,5,5202
03566514,09,2017,900030,2,,1,5202
03566514,09,2017,900030,2,,2,5202
03566514,09,2017,900030,2,,3,5202
03566514,09,2017,900030,2,,4,5202
03566514,09,2017,900030,2,,5,5202
03566514,07,2017,900170,2,,1,83.0833
03566514,07,2017,900170,2,,2,83.0833
03566514,07,2017,900170,2,,3,83.0833
03566514,07,2017,900170,2,,4,83.0833
03566514,07,2017,900170,2,,5,83.0833
03566514,08,2017,900170,2,,1,83.0833
03566514,08,2017,900170,2,,2,83.0833
03566514,08,2017,900170,2,,3,83.0833
03566514,08,2017,900170,2,,4,83.0833
03566514,08,2017,900170,2,,5,83.0833
03566514,09,2017,900170,2,,1,83.0833
03566514,09,2017,900170,2,,2,83.0833
03566514,09,2017,900170,2,,3,83.0833
03566514,09,2017,900170,2,,4,83.0833
03566514,09,2017,900170,2,,5,83.0833
03566514,07,2017,980000,2,,1,5285.0833
03566514,07,2017,980000,2,,2,5285.0833
03566514,07,2017,980000,2,,3,5285.0833
03566514,07,2017,980000,2,,4,5285.0833
03566514,07,2017,980000,2,,5,5285.0833
03566514,08,2017,980000,2,,1,5285.0833
03566514,08,2017,980000,2,,2,5285.0833
03566514,08,2017,980000,2,,3,5285.0833
03566514,08,2017,980000,2,,4,5285.0833
