"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20131",2512735,35,0,"1",35,"D",.,"A"
"20131",2516805,19,0,"1",.,"A",.,"A"
"20131",2516865,34,0,"1",.,"A",300,"D"
"20131",2529335,34,0,"1",.,"A",249,"D"
"20131",2529535,16,0,"1",1560,"D",.,"A"
"20131",2530415,16,0,"1",.,"A",17,"D"
"20131",2532245,41,0,"1",.,"A",1350,"D"
"20131",2534805,29,0,"1",.,"A",30,"D"
"20131",2535995,15,0,"1",.,"A",.,"A"
"20131",2536425,27,0,"1",.,"A",0,"D"
"20131",2537035,31,0,"1",.,"A",0,"D"
"20131",2539395,31,0,"1",.,"A",0,"D"
"20131",2539875,16,0,"1",.,"A",.,"A"
"20131",2540345,36,0,"1",.,"A",1475,"D"
"20131",2546294,37,0,"1",.,"A",150,"D"
"20131",2546734,31,0,"1",.,"A",740,"D"
"20131",2547654,17,0,"1",0,"D",.,"A"
"20131",2551154,18,0,"1",.,"A",30,"D"
"20131",2554634,19,0,"1",306,"D",.,"A"
"20131",2556344,24,0,"1",0,"D",.,"A"
"20131",2557184,31,0,"1",.,"A",16,"D"
"20131",2558114,23,0,"1",.,"A",2,"D"
"20131",2558164,18,0,"1",180,"D",.,"A"
"20131",2558454,18,0,"1",.,"A",20,"D"
"20131",2564724,14,0,"1",.,"A",.,"A"
"20131",2565144,32,0,"1",240,"D",.,"A"
"20131",2567424,27,0,"1",1057,"D",.,"A"
"20131",2574674,31,0,"1",.,"A",0,"D"
"20131",2575354,28,0,"1",.,"A",50,"D"
"20131",2577654,29,0,"1",.,"A",15,"D"
"20131",2578893,16,0,"1",.,"A",75,"D"
"20131",2579143,31,0,"1",.,"A",35,"D"
"20131",2580083,22,0,"1",279,"D",.,"A"
"20131",2588933,26,0,"1",.,"A",50,"D"
"20131",2591483,28,0,"1",.,"A",480,"D"
"20131",2601283,14,0,"1",.,"A",.,"A"
"20131",2603513,19,0,"1",480,"D",.,"A"
"20131",2610953,43,0,"1",.,"A",0,"D"
"20131",2611213,34,0,"1",.,"A",60,"D"
"20131",2612673,36,0,"1",.,"A",0,"D"
"20131",2613202,22,0,"1",910,"D",.,"A"
"20131",2616212,25,0,"1",345,"D",.,"A"
"20131",2616832,28,0,"1",.,"A",350,"D"
"20131",2619022,16,0,"1",0,"D",.,"A"
"20131",2621702,15,0,"1",.,"A",44,"D"
"20131",2624492,38,0,"1",.,"A",0,"D"
