"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOD","PROP0NOD","OWNYD","OWNYD_","DISPMTHD","DISP_THD","DISPX","DISPX_","DISPEXPX","DISP_XPX","DISPMO","DISPMO_","DISPYR","DISPYR_"
"20131",2517685,33,0,"1","02","D","500","D","2","D",.,"A",.,"A","11","D","2012","D"
"20131",2517685,34,0,"1","04","D","400","D","2","D",.,"A",.,"A","11","D","2011","D"
"20131",2517685,35,0,"1","05","D","500","D","2","D",.,"A",.,"A","12","D","2011","D"
"20131",2520105,43,0,"1","01","D","300","D","1","D",50000,"D",0,"D","10","D","2012","D"
"20131",2526905,33,0,"1","02","D","200","D","1","D",280000,"D",45000,"D","01","D","2013","D"
"20131",2527985,70,0,"1","02","D","300","D","1","D",373500,"T",27977,"D","12","D","2012","D"
"20131",2529875,51,0,"1","04","D","500","D","3","D",.,"A",.,"A","01","D","2013","D"
"20131",2531655,34,0,"1","03","D","500","D","3","D",.,"A",.,"A","12","D","2012","D"
"20131",2532475,38,0,"1","01","D","500","D","3","D",.,"A",.,"A","12","D","2012","D"
"20131",2537635,40,0,"1","01","D","200","D","1","D",140000,"D",25000,"F","12","D","2012","D"
"20131",2538405,32,0,"1","01","D","500","D","1","D",40000,"D",0,"D","02","D","2013","D"
"20131",2538535,29,0,"1","02","D","300","D","3","D",.,"A",.,"A","12","D","2012","D"
"20131",2542015,30,0,"1","02","D","200","D","1","D",38000,"D",20000,"F","02","D","2013","D"
"20131",2546154,50,0,"1","02","D","300","D","3","D",.,"A",.,"A","11","D","2012","D"
"20131",2550154,47,0,"1","02","D","500","D","3","D",.,"A",.,"A","10","D","2012","D"
"20131",2553794,33,0,"1","03","D","400","D","1","D",370000,"T",60000,"D","10","D","2012","D"
"20131",2561944,19,0,"1","01","D","500","D","1","D",.,"A",.,"A","11","D","2012","D"
"20131",2567334,41,0,"1","05","D","500","D","2","D",.,"A",.,"A","01","D","2012","D"
"20131",2567404,41,0,"1","02","D","200","D","1","D",262000,"D",23402,"D","12","D","2012","D"
"20131",2567424,39,0,"1","02","D","200","D","1","D",330000,"D",31946,"D","01","D","2013","D"
"20131",2581535,42,0,"1","01","D","200","D","1","D",158000,"D",4000,"F","12","D","2012","D"
