"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20131",2511995,69,0,"5","01","D","100","D","1","D",0.0475,"D",143,"D",1057,"D","01","D",12000,"D"
"20131",2512195,39,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20131",2512305,57,0,"5","01","D","100","D","1","D",0.0475,"D",487,"D",473,"D","01","D",41000,"D"
"20131",2512765,25,0,"5","01","D","100","D",,"C",0.0475,"D",238,"F",362,"F","01","D",20000,"F"
"20131",2513115,39,0,"5","01","D","100","D","1","D",0.0475,"D",178,"D",1322,"D","01","D",15000,"D"
"20131",2513435,65,0,"5","01","D","100","D","1","D",0.0475,"D",101,"D",1174,"D","01","D",8500,"D"
"20131",2514385,50,0,"5","01","D","100","D","1","D",0.0475,"D",14,"D",61,"D","01","D",1188,"D"
"20131",2514895,60,0,"5","01","D","100","D","1","D",0.0475,"D",1333,"D",-556,"D","01","D",112225,"D"
"20131",2514925,41,0,"5","01","D","100","D","1","D",0.0475,"D",226,"D",24,"D","01","D",19000,"D"
"20131",2514995,57,0,"5","01","D","100","D","1","D",0.0475,"D",76,"D",184,"D","01","D",6400,"D"
"20131",2515685,39,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20131",2516235,41,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",160000,"D"
"20131",2516685,47,0,"5","01","D","100","D","1","D",0.0475,"D",59,"D",361,"D","01","D",5000,"D"
"20131",2516805,43,0,"5","01","D","100","D",,"C",0.0475,"D",380,"F",33379,"V","01","D",32000,"F"
"20131",2517245,38,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",1127,"D","01","D",20000,"D"
"20131",2517325,55,0,"5","01","D","100","D","1","D",0.0475,"D",258,"D",3942,"D","02","D",21750,"D"
"20131",2517325,56,0,"5","01","D","100","D","1","D",0.0475,"D",857,"D",4543,"D","01","D",72190,"D"
"20131",2517385,53,0,"5","01","D","100","D","1","D",0.0475,"D",504,"D",15,"D","01","D",42469,"D"
"20131",2518265,58,0,"5","01","D","100","D","1","D",0.0475,"D",86,"D",1414,"D","01","D",7200,"D"
"20131",2518415,41,0,"5","01","D","100","D","2","D",0.0475,"D",178,"F",1322,"F","01","D",15000,"F"
"20131",2518605,42,0,"5","01","D","100","D","1","D",0.0475,"D",226,"D",314,"D","01","D",19000,"D"
"20131",2518975,48,0,"5","01","D","100","D","1","D",0.0475,"D",233,"D",811,"D","01","D",19600,"D"
"20131",2519145,38,0,"5","01","D","100","D","2","D",0.0475,"D",504,"F",15,"F","01","D",42469,"F"
"20131",2519405,34,0,"5","01","D","100","D","2","D",0.0475,"D",76,"F",184,"F","01","D",6400,"F"
"20131",2519475,44,0,"5","01","D","300","D","1","D",0.0475,"D",463,"D",.,"T","01","D",39000,"D"
"20131",2520215,43,0,"5","01","D","100","D","1","D",0.0475,"D",998,"F",502,"F","01","D",84000,"F"
"20131",2520375,40,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20131",2520655,54,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20131",2521015,52,0,"5","01","D","100","D","1","D",0.0475,"D",156,"D",198,"D","01","D",13169,"D"
"20131",2521095,84,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",4500,"D"
"20131",2521125,63,0,"5","01","D","100","D","1","D",0.0475,"D",907,"D",1418,"D","01","D",76385,"D"
"20131",2521145,50,0,"5","01","D","100","D","1","D",0.0475,"D",565,"D",280,"D","01","D",47600,"D"
"20131",2521965,41,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",437,"D","01","D",20000,"D"
"20131",2522075,45,0,"5","01","D","100","D","1","D",0.0475,"D",63,"D",5837,"D","01","D",5300,"D"
"20131",2523795,107,0,"5","01","D","100","D","1","D",0.0475,"D",150,"D",5850,"D","01","D",12615,"D"
"20131",2524045,51,0,"5","01","D","100","D","1","D",0.0475,"D",511,"D",1589,"D","01","D",43000,"D"
"20131",2524385,39,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20131",2524825,47,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",31000,"D"
"20131",2525015,40,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",205000,"D"
"20131",2525335,56,0,"5","01","D","100","D","1","D",0.0475,"D",499,"D",1601,"D","01","D",42000,"D"
"20131",2526005,60,0,"5","01","D","100","D","1","D",0.0475,"D",77,"D",298,"D","01","D",6500,"D"
"20131",2527105,44,0,"5","01","D","100","D","1","D",0.0475,"D",285,"D",375,"D","01","D",24000,"D"
"20131",2527145,45,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",22000,"D"
"20131",2527235,27,0,"5","01","D","100","D","1","D",0.0475,"D",327,"F",1473,"F","01","D",27515,"F"
"20131",2527315,56,0,"5","01","D","100","D","1","D",0.0475,"D",475,"F",-172,"F","01","D",40000,"F"
