"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20131",2511675,45,0,"1","100","D",.,"A",60,"D","2","D"
"20131",2513935,64,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2514615,47,0,"1","100","D",.,"A",26,"D","2","D"
"20131",2514925,48,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2515025,65,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2516235,49,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2516765,54,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2517325,62,0,"1","200","D",.,"A",58,"D","2","D"
"20131",2521095,93,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2521245,54,0,"1","100","D",.,"A",178,"D","2","D"
"20131",2521385,49,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2524655,32,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2526175,31,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2529905,61,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2529905,62,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2529945,70,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2530225,50,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2530435,62,0,"1","100","D",.,"A",48,"D","2","D"
"20131",2531175,61,0,"1","110","D",.,"A",60,"D","2","D"
"20131",2531705,41,0,"1","100","D",.,"A",40,"D","2","D"
"20131",2532465,62,0,"1","100","D",.,"A",2000,"D","2","D"
"20131",2534625,62,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2534705,37,0,"1","100","D",.,"A",184,"D","2","D"
"20131",2536175,54,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2536185,38,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2538455,30,0,"1","100","D",.,"A",120,"D","2","D"
"20131",2539965,81,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2540095,28,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2540845,42,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2544265,25,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2544345,95,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2544705,37,0,"1","100","D",0.8,"D",280,"D","2","D"
"20131",2545374,55,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2545664,37,0,"1","110","D",.,"A",96,"D","2","D"
"20131",2547514,55,0,"1","100","D",.,"A",1922,"D","2","D"
"20131",2548774,51,0,"1","100","D",.,"A",390,"D","2","D"
"20131",2550014,44,0,"1","110","D",.,"A",20,"D","2","D"
"20131",2550404,96,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2550734,44,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2553134,102,0,"1","200","D",.,"A",700,"D","2","D"
"20131",2554914,66,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2555634,81,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2556334,123,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2557164,70,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2557904,81,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2559594,44,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2560694,59,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2562694,44,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2563304,54,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2564404,38,0,"1","100","D",.,"A",350,"D","2","D"
"20131",2564624,35,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2566474,72,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2567005,71,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2567774,34,0,"1","100","D",.,"A",319,"D","2","D"
"20131",2567934,38,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2567974,53,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2569654,55,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2571004,27,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2571414,66,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2572334,77,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2576244,34,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2577924,28,0,"1","100","D",.,"A",25,"D","2","D"
"20131",2578734,44,0,"1","100","D",.,"A",14,"D","2","D"
"20131",2578784,50,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2578784,51,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2578804,70,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2581483,86,0,"1","110","D",.,"A",.,"A","1","D"
"20131",2582563,58,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2582943,52,0,"1","100","D",.,"A",.,"A","1","D"
"20131",2583303,33,0,"1","100","D",.,"A",1200,"D","2","D"
