"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20131",2511505,65,0,"1",2288,"D",130,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",2158,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511555,50,0,"1",650,"D",65,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",585,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511565,61,0,"1",780,"D",91,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",689,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511575,64,0,"1",1430,"D",130,"D",195,"D",1040,"D",0,"D",.,"A",.,"A",.,"A",1300,"D","2","D",300,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2511585,73,0,"1",1144,"D",0,"D",1157,"D",2028,"D",.,"A",.,"A",.,"A",.,"A",1144,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511595,79,0,"1",1300,"D",130,"D",.,"A",910,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511615,40,0,"1",2275,"D",520,"D",.,"A",780,"D",.,"A",.,"A",.,"A",.,"A",1755,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511625,41,0,"1",1040,"D",65,"D",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",975,"D","2","D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2511645,27,0,"1",416,"D",195,"D",260,"D",0,"D",.,"A",.,"A",.,"A",.,"A",221,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511675,56,0,"1",1300,"D",449,"F",.,"A",2600,"D",.,"A",.,"A",.,"A",.,"A",1758,"F","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511695,132,0,"1",2249,"D",650,"D",.,"A",650,"D",60,"D",.,"A",.,"A",.,"A",1599,"D","2","D",336,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2511735,70,0,"1",1950,"D",975,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",975,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511765,55,0,"1",2600,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",2405,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511795,31,0,"1",390,"D",130,"D",65,"D",156,"D",.,"A",.,"A",.,"A",.,"A",260,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511815,47,0,"1",2730,"D",2080,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511825,43,0,"1",5200,"D",1040,"D",.,"A",520,"D",60,"D",.,"A",.,"A",.,"A",4160,"D","2","D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2511855,32,0,"1",1300,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511905,84,0,"1",2600,"D",260,"D",.,"A",650,"D",150,"D",.,"A",.,"A",.,"A",2340,"D","2","D",180,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2511955,46,0,"1",2080,"D",325,"D",.,"A",520,"D",0,"D",.,"A",.,"A",.,"A",1755,"D","2","D",90,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2511965,43,0,"1",1300,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1040,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511975,53,0,"1",975,"D",195,"D",.,"A",26,"D",.,"A",.,"A",.,"A",.,"A",780,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511985,53,0,"1",1300,"D",390,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",910,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2511995,107,0,"1",1820,"D",390,"D",.,"A",780,"D",120,"D",.,"A",.,"A",.,"A",1430,"D","2","D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2512005,36,0,"1",650,"D",260,"D",260,"D",130,"D",.,"A",.,"A",.,"A",.,"A",390,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2512045,62,0,"1",1950,"D",0,"D",325,"D",1300,"D",150,"D",.,"A",.,"A",200,"D",1950,"D","2","D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2512055,39,0,"1",2600,"D",520,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",2080,"D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20131",2512085,40,0,"1",1170,"D",0,"D",260,"D",390,"D",0,"D",.,"A",.,"A",.,"A",1170,"D","2","D",30,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2512105,60,0,"1",2163,"F",.,"A",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1758,"F","2","D",.,"A",.,"A",.,"A",.,"A",.,"A"
