"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_"
2545235,"01","2013","005100","2",520.8333,
2545235,"02","2013","005100","2",520.8333,
2545235,"03","2013","005100","2",520.8333,
2545235,"01","2013","005110","2",520.8333,
2545235,"02","2013","005110","2",520.8333,
2545235,"03","2013","005110","2",520.8333,
2545235,"01","2013","005200","2",2500,
2545235,"02","2013","005200","2",2500,
2545235,"03","2013","005200","2",2500,
2545235,"01","2013","005210","2",2500,
2545235,"02","2013","005210","2",2500,
2545235,"03","2013","005210","2",2500,
2545235,"01","2013","005400","2",200,
2545235,"02","2013","005400","2",200,
2545235,"03","2013","005400","2",200,
2545235,"01","2013","005410","2",200,
2545235,"02","2013","005410","2",200,
2545235,"03","2013","005410","2",200,
2545235,"01","2013","005700","2",2500,
2545235,"02","2013","005700","2",2500,
2545235,"03","2013","005700","2",2500,
2545235,"01","2013","005710","2",2500,
2545235,"02","2013","005710","2",2500,
2545235,"03","2013","005710","2",2500,
2545235,"01","2013","900030","2",982.8333,
2545235,"02","2013","900030","2",982.8333,
2545235,"03","2013","900030","2",982.8333,
2545235,"01","2013","900180","2",1.0833,
2545235,"02","2013","900180","2",1.0833,
2545235,"03","2013","900180","2",1.0833,
2545235,"01","2013","950003","2",32.3333,
2545235,"02","2013","950003","2",32.3333,
2545235,"03","2013","950003","2",32.3333,
2545235,"01","2013","980000","2",983.9167,
2545235,"02","2013","980000","2",983.9167,
2545235,"03","2013","980000","2",983.9167,
2545235,"01","2013","980010","2",0.1667,
2545235,"02","2013","980010","2",0.1667,
2545235,"03","2013","980010","2",0.1667,
2545235,"01","2013","980020","2",6.8333,
2545235,"02","2013","980020","2",6.8333,
2545235,"03","2013","980020","2",6.8333,
2545235,"01","2013","980040","2",0.0833,
2545235,"02","2013","980040","2",0.0833,
2545235,"03","2013","980040","2",0.0833,
2545235,"01","2013","980060","2",0.1667,
2545235,"02","2013","980060","2",0.1667,
2545235,"03","2013","980060","2",0.1667,
2545235,"01","2013","980070","2",951.5833,
2545235,"02","2013","980070","2",951.5833,
2545235,"03","2013","980070","2",951.5833,
2545235,"01","2013","980071","2",983.9167,
2545235,"02","2013","980071","2",983.9167,
2545235,"03","2013","980071","2",983.9167,
2545235,"01","2013","980090","1",8.3333,
2545235,"02","2013","980090","1",8.3333,
2545235,"03","2013","980090","1",8.3333,
2545235,"01","2013","980220","2",8.3333,
2545235,"02","2013","980220","2",8.3333,
2545235,"03","2013","980220","2",8.3333,
2545235,"01","2013","980230","2",8.3333,
2545235,"02","2013","980230","2",8.3333,
2545235,"03","2013","980230","2",8.3333,
2545235,"01","2013","980281","2",8.3333,
2545235,"02","2013","980281","2",8.3333,
2545235,"03","2013","980281","2",8.3333,
2545235,"01","2013","980286","2",8.3333,
2545235,"02","2013","980286","2",8.3333,
2545235,"03","2013","980286","2",8.3333,
2545235,"01","2013","980310","2",8.3333,
2545235,"02","2013","980310","2",8.3333,
2545235,"03","2013","980310","2",8.3333,
2545235,"01","2013","980330","2",8.3333,
2545235,"02","2013","980330","2",8.3333,
2545235,"03","2013","980330","2",8.3333,
2545235,"01","2013","980350","2",8.3333,
2545235,"02","2013","980350","2",8.3333,
2545235,"03","2013","980350","2",8.3333,
2545245,"01","2013","005100","2",1000,
2545245,"02","2013","005100","2",1000,
2545245,"03","2013","005100","2",1000,
2545245,"01","2013","005110","2",2000,
2545245,"02","2013","005110","2",2000,
2545245,"03","2013","005110","2",2000,
2545245,"01","2013","005200","2",8833.3333,
2545245,"02","2013","005200","2",8833.3333,
2545245,"03","2013","005200","2",8833.3333,
2545245,"01","2013","005210","2",11250,
2545245,"02","2013","005210","2",11250,
2545245,"03","2013","005210","2",11250,
2545245,"01","2013","900030","2",2479.9167,
2545245,"02","2013","900030","2",2479.9167,
2545245,"03","2013","900030","2",2479.9167,
2545245,"01","2013","900170","2",334.3333,
2545245,"02","2013","900170","2",334.3333,
2545245,"03","2013","900170","2",334.3333,
2545245,"01","2013","900180","2",0.1667,
2545245,"02","2013","900180","2",0.1667,
2545245,"03","2013","900180","2",0.1667,
2545245,"01","2013","980000","2",2814.4167,
2545245,"02","2013","980000","2",2814.4167,
2545245,"03","2013","980000","2",2814.4167,
2545245,"01","2013","980010","2",0.25,
2545245,"02","2013","980010","2",0.25,
2545245,"03","2013","980010","2",0.25,
2545245,"01","2013","980020","2",5.75,
2545245,"02","2013","980020","2",5.75,
2545245,"03","2013","980020","2",5.75,
2545245,"01","2013","980040","2",0.1667,
2545245,"02","2013","980040","2",0.1667,
2545245,"03","2013","980040","2",0.1667,
2545245,"01","2013","980050","2",0.0833,
2545245,"02","2013","980050","2",0.0833,
2545245,"03","2013","980050","2",0.0833,
2545245,"01","2013","980060","2",0.0833,
2545245,"02","2013","980060","2",0.0833,
2545245,"03","2013","980060","2",0.0833,
2545245,"01","2013","980070","2",2814.4167,
2545245,"02","2013","980070","2",2814.4167,
2545245,"03","2013","980070","2",2814.4167,
2545245,"01","2013","980071","2",2814.4167,
2545245,"02","2013","980071","2",2814.4167,
2545245,"03","2013","980071","2",2814.4167,
2545245,"01","2013","980090","1",8.3333,
2545245,"02","2013","980090","1",8.3333,
2545245,"03","2013","980090","1",8.3333,
2545245,"01","2013","980210","2",8.3333,
2545245,"02","2013","980210","2",8.3333,
2545245,"03","2013","980210","2",8.3333,
2545245,"01","2013","980230","2",8.3333,
2545245,"02","2013","980230","2",8.3333,
2545245,"03","2013","980230","2",8.3333,
2545245,"01","2013","980281","2",8.3333,
2545245,"02","2013","980281","2",8.3333,
2545245,"03","2013","980281","2",8.3333,
2545245,"01","2013","980286","2",8.3333,
2545245,"02","2013","980286","2",8.3333,
2545245,"03","2013","980286","2",8.3333,
2545245,"01","2013","980310","2",8.3333,
2545245,"02","2013","980310","2",8.3333,
2545245,"03","2013","980310","2",8.3333,
2545245,"01","2013","980330","2",8.3333,
2545245,"02","2013","980330","2",8.3333,
2545245,"03","2013","980330","2",8.3333,
2545245,"01","2013","980350","2",8.3333,
2545245,"02","2013","980350","2",8.3333,
2545245,"03","2013","980350","2",8.3333,
2545255,"01","2013","005100","2",1666.6667,
2545255,"02","2013","005100","2",1666.6667,
2545255,"03","2013","005100","2",1666.6667,
2545255,"01","2013","005110","2",1666.6667,
2545255,"02","2013","005110","2",1666.6667,
2545255,"03","2013","005110","2",1666.6667,
2545255,"01","2013","800940","2",70.1667,
2545255,"02","2013","800940","2",70.1667,
2545255,"03","2013","800940","2",70.1667,
2545255,"01","2013","900000","2",916.6667,
2545255,"02","2013","900000","2",916.6667,
2545255,"03","2013","900000","2",916.6667,
2545255,"01","2013","950001","2",-25,
2545255,"02","2013","950001","2",-25,
2545255,"03","2013","950001","2",-25,
2545255,"01","2013","950011","2",-4.1667,
2545255,"02","2013","950011","2",-4.1667,
2545255,"03","2013","950011","2",-4.1667,
2545255,"01","2013","980000","2",916.6667,
2545255,"02","2013","980000","2",916.6667,
2545255,"03","2013","980000","2",916.6667,
2545255,"01","2013","980010","2",0.0833,
2545255,"02","2013","980010","2",0.0833,
2545255,"03","2013","980010","2",0.0833,
2545255,"01","2013","980020","2",1.8333,
2545255,"02","2013","980020","2",1.8333,
2545255,"03","2013","980020","2",1.8333,
2545255,"01","2013","980030","2",0.0833,
2545255,"02","2013","980030","2",0.0833,
2545255,"03","2013","980030","2",0.0833,
2545255,"01","2013","980040","2",0.0833,
2545255,"02","2013","980040","2",0.0833,
2545255,"03","2013","980040","2",0.0833,
2545255,"01","2013","980070","2",945.8333,
2545255,"02","2013","980070","2",945.8333,
2545255,"03","2013","980070","2",945.8333,
2545255,"01","2013","980071","2",910.6667,
2545255,"02","2013","980071","2",910.6667,
2545255,"03","2013","980071","2",910.6667,
2545255,"01","2013","980090","1",8.3333,
2545255,"02","2013","980090","1",8.3333,
2545255,"03","2013","980090","1",8.3333,
2545255,"01","2013","980210","2",8.3333,
2545255,"02","2013","980210","2",8.3333,
2545255,"03","2013","980210","2",8.3333,
2545255,"01","2013","980240","2",8.3333,
2545255,"02","2013","980240","2",8.3333,
2545255,"03","2013","980240","2",8.3333,
2545255,"01","2013","980281","2",8.3333,
2545255,"02","2013","980281","2",8.3333,
2545255,"03","2013","980281","2",8.3333,
2545255,"01","2013","980286","2",8.3333,
2545255,"02","2013","980286","2",8.3333,
2545255,"03","2013","980286","2",8.3333,
2545255,"01","2013","980310","2",8.3333,
2545255,"02","2013","980310","2",8.3333,
2545255,"03","2013","980310","2",8.3333,
2545255,"01","2013","980330","2",8.3333,
2545255,"02","2013","980330","2",8.3333,
2545255,"03","2013","980330","2",8.3333,
2545255,"01","2013","980350","2",8.3333,
2545255,"02","2013","980350","2",8.3333,
2545255,"03","2013","980350","2",8.3333,
2545275,"01","2013","005100","2",108.3333,
2545275,"02","2013","005100","2",108.3333,
2545275,"03","2013","005100","2",108.3333,
2545275,"01","2013","005110","2",100,
2545275,"02","2013","005110","2",100,
2545275,"03","2013","005110","2",100,
2545275,"01","2013","005200","2",7083.3333,
2545275,"02","2013","005200","2",7083.3333,
2545275,"03","2013","005200","2",7083.3333,
2545275,"01","2013","005210","2",6250,
2545275,"02","2013","005210","2",6250,
2545275,"03","2013","005210","2",6250,
2545275,"01","2013","005300","2",1250,
2545275,"02","2013","005300","2",1250,
2545275,"03","2013","005300","2",1250,
2545275,"01","2013","005310","2",1250,
2545275,"02","2013","005310","2",1250,
2545275,"03","2013","005310","2",1250,
2545275,"01","2013","005800","2",291.6667,
2545275,"02","2013","005800","2",291.6667,
2545275,"03","2013","005800","2",291.6667,
2545275,"01","2013","005810","2",333.3333,
2545275,"02","2013","005810","2",333.3333,
2545275,"03","2013","005810","2",333.3333,
2545275,"01","2013","800932","2",975,
2545275,"02","2013","800932","2",975,
2545275,"03","2013","800932","2",975,
2545275,"01","2013","800940","2",883.1376,"T"
2545275,"02","2013","800940","2",883.1376,"T"
2545275,"03","2013","800940","2",883.1376,"T"
2545275,"01","2013","900000","2",9750,
2545275,"02","2013","900000","2",9750,
2545275,"03","2013","900000","2",9750,
2545275,"01","2013","900160","2",3899.4833,
2545275,"02","2013","900160","2",3899.4833,
2545275,"03","2013","900160","2",3899.4833,
2545275,"01","2013","950001","2",-261.6667,
2545275,"02","2013","950001","2",-261.6667,
2545275,"03","2013","950001","2",-261.6667,
2545275,"01","2013","950002","2",2028,
2545275,"02","2013","950002","2",2028,
2545275,"03","2013","950002","2",2028,
2545275,"01","2013","950011","2",-22.25,
2545275,"02","2013","950011","2",-22.25,
2545275,"03","2013","950011","2",-22.25,
2545275,"01","2013","950012","2",520,
2545275,"02","2013","950012","2",520,
2545275,"03","2013","950012","2",520,
2545275,"01","2013","980000","2",13649.4833,
2545275,"02","2013","980000","2",13649.4833,
2545275,"03","2013","980000","2",13649.4833,
2545275,"01","2013","980010","2",0.0833,
2545275,"02","2013","980010","2",0.0833,
2545275,"03","2013","980010","2",0.0833,
2545275,"01","2013","980020","2",4.75,
2545275,"02","2013","980020","2",4.75,
