"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2612735,1,"2012","2011",0,0,0,"1",0.15,0.15,"15","D",0.034,0.034,1,"D",1,"D",0,"D",0,"D",0,"D",17374,"D",18000,"D",0,"D",0,"D",1800,"D",0,"D",0,"D",0,"D",2400,"D",692,361,711.1,686.1,444.52,333.52,0,0,18061,18061,17374.01,17374.01,0,0,0,0,0,0,0,0,18061,18061,0,0,711.1,686.1,711.1,686.1,0,0,0,0,0,0,0,0,0,0,0
2612735,2,"2012","2011",0,0,0,"1",0.1,0.1,"15","D",0.034,0.034,1,"D",1,"D",0,"D",0,"D",0,"D",17374,"D",10800,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",624,422,642.4,617.4,505.72,394.72,0,0,17374,17374,17374.01,17374.01,0,0,0,0,0,0,0,0,17374,17374,0,0,642.4,617.4,642.4,617.4,0,0,0,0,0,0,0,0,0,0,0
2612765,1,"2012","2011",0,0,0,"1",0,0,"06","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",57,"D",11604,"D",0,"D",0,"D",1937,"D",60,"D",0,"D",0,"D",5072,"D",0,0,0,0,0,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2612775,1,"2012","2011",1,0.133,0.133,"2",0.2337,0.2337,"50","D",0.065,0.065,0,"D",0,"D",83000,"D",55000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6800,"D",1480,"D",0,"D",1,"D",0,"D",19768,7753,19966.79,19701.79,7752.85,7752.85,18354,18354,138000,138000,138000.01,138000.01,0,0,0,0,0,0,0,0,138000,138000,0,0,19966.79,19701.79,19966.79,19701.79,0,0,0,0,0,0,0,0,0,0,0
2612775,2,"2012","2011",0,0.133,0.133,"1",0.1,0.1,"50","D",0.0515,0.0515,0,"D",0,"D",16000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",631,269,650,625,283.49,264.81,2128,2128,16000,16000,16000.01,16000.01,0,0,0,0,0,0,0,0,16000,16000,0,0,650,625,650,625,9137.22,9543.3,0,0,0,0,0,0,0,0,0
2612795,1,"2012","2011",0,0,0,"1",-0.0765,-0.0765,"47","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",14448,"D",0,"D",4140,"D",0,"D",60,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2612805,1,"2012","2011",0,0,0,"1",0.15,0.15,"05","D",0.06,0.06,0,"D",0,"D",0,"D",0,"D",0,"D",39000,"D",0,"D",0,"D",0,"D",553,"D",102,"D",0,"D",0,"D",760,"D",3964,1026,4000,3952.5,1044.41,1019.53,0,0,39000,39000,39000.01,39000.01,0,0,0,0,0,0,0,0,39000,39000,0,0,4000,3952.5,4000,3952.5,3769,3841,1415,1415,0,0,0,0,0,0,0
2612825,1,"2012","2011",1,0.133,0.133,"2",0.15,0.15,"01","D",0.0397,0.0397,0,"D",0,"D",43000,"D",48000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1300,"D",0,"D",0,"D",1,"D",6400,"D",8313,3237,8395,8285,3233.18,3238.68,12103,12103,91000,91000,91000.01,91000.01,1000,1000,0,0,0,0,0,0,91000,91000,0,0,9395,9285,9395,9285,4000,4000,12841.5,12841.5,0,0,0,0,0,0,0
2612865,1,"2012","2011",4,0.133,0.133,"3",0.1403,0.1397,"33","D",0.0645,0.0685,0,"D",0,"D",52000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",5500,"D",0,"D",0,"D",2,"D",9444,"D",-41,1008,19.7,-61.09,1041.34,996.61,6916,6916,52000,52000,52000.01,52000.01,2000,1938.91,0,61.09,0,0,0,0,42556,42556,0,0,2019.7,1938.91,2019.7,1938.91,10500,10500,14944,14944,0,0,0,0,0,0,0
2612865,2,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"33","D",0.0645,0.0685,0,"D",0,"D",33000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3064,1333,3100,3052.5,1349.75,1327.75,4389,4389,33000,33000,33000.01,33000.01,0,0,0,0,0,0,0,0,33000,33000,0,0,3100,3052.5,3100,3052.5,7500,7500,0,0,0,0,0,0,0,0,0
2612885,1,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"39","D",0.0307,0.0307,0,"D",0,"D",27250,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2338,"D",0,"D",0,"D",0,"D",0,"D",2202,837,2237.5,2190,836.58,836.58,3624.25,3624.25,27250,27250,27250.01,27250.01,0,0,0,0,0,0,0,0,27250,27250,0,0,2237.5,2190,2237.5,2190,0,0,0,0,0,0,0,0,0,0,0
2612895,1,"2012","2011",0,0,0,"1",0.2339,0.2329,"33","D",0.0645,0.0685,1,"D",0,"D",0,"D",0,"D",0,"D",67280,"D",2067,"D",0,"D",0,"D",2000,"D",829,"D",0,"D",0,"D",4980,"D",9769,2591,9587.8,9829.77,3676.76,2228.88,0,0,69036.95,69036.95,67280.01,47280.01,0,0,0,0,0,0,0,0,64056.95,64056.95,0,0,9587.8,9829.77,9587.8,9829.77,7500,7500,7809,7809,0,0,0,0,0,0,0
2612905,1,"2012","2011",0,0.133,0.133,"1",0.2362,0.2362,"31","D",0.0552,0.0552,1,"D",1,"D",60000,"D",0,"D",4800,"D",0,"D",2688,"D",0,"D",0,"D",8200,"D",4902,"D",0,"D",0,"D",1200,"D",7925,1524,8014.66,7894.66,1524.15,1524.15,7980,7980,67084.8,67084.8,64800.01,64800.01,0,0,0,0,0,0,0,0,65884.8,65884.8,0,0,8014.66,7894.66,8014.66,7894.66,0,0,0,0,0,0,0,0,0,0,0
2612915,1,"2012","2011",2,0,0,"3",-0.4,-0.4,"10","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",15480,"D",0,"D",0,"D",0,"D",14008,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2612925,1,"2012","2011",0,0.029,0.029,"2",0.2325,0.2325,"41","D",0.07,0.07,0,"D",0,"D",0,"D",214931,"D",-17000,"D",0,"D",0,"D",0,"D",0,"D",1800,"D",1539,"D",0,"D",0,"D",50000,"D",24088,9119,24264.44,24029.67,9134.24,9113.3,17340.2,17683.4,197931,197931,128057.77,127878.71,0,0,0,0,0,0,0,0,147931,147931,0,0,24264.44,24029.67,24264.44,24029.67,0,0,0,0,0,0,0,0,0,0,0
2612935,1,"2012","2011",2,0,0,"3",-0.4,-0.4,"36","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",690,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2612945,1,"2012","2011",2,0.133,0.133,"3",-0.4,-0.4,"39","D",0,0,0,"D",0,"D",1670,"D",0,"D",0,"D",0,"D",8712,"D",0,"D",0,"D",0,"D",4,"D",0,"D",2,"D",0,"D",-668,0,-668,-668,0,0,222.11,222.11,1670,1670,1670.01,1670.01,0,0,0,0,0,0,668,668,1670,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2612945,3,"2012","2011",0,0,0,"1",-0.0765,-0.0765,"39","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2612965,1,"2012","2011",0,0.133,0.133,"1",-0.0765,-0.0765,"38","D",-0.0046,-0.0046,0,"D",0,"D",1697,"D",0,"D",-600,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-130,-8,-129.82,-129.82,-7.79,-7.79,225.7,225.7,1097,1097,1097.01,1097.01,0,0,0,0,0,0,129.82,129.82,1097,1097,0,0,0,0,0,0,1979.97,2025.4,0,0,0,0,0,0,7.79,7.79,0
2612975,1,"2012","2011",2,0,0,"3",-0.4,-0.4,"41","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1887,"D",1372,"D",0,"D",0,"D",18704,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2612995,1,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",30000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",920,"D",125,"D",0,"D",0,"D",4528,"D",2614,0,2650,2602.5,0,0,3990,3990,30000,30000,0,0,0,0,0,0,0,0,0,0,30000,30000,0,0,2650,2602.5,2650,2602.5,0,0,0,0,0,0,0,0,0,0,0
2612995,2,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",29120,"D",0,"D",-1377,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2276,0,2311.45,2263.95,0,0,3872.96,3872.96,27743,27743,0,0,0,0,0,0,0,0,0,0,27743,27743,0,0,2311.45,2263.95,2311.45,2263.95,0,0,0,0,0,0,0,0,0,0,0
2613005,1,"2012","2011",5,0,0,"3",-0.45,-0.45,"05","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",5000,"D",0,"D",0,"D",1,"D",1632,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7538,7682,6632,6632,0,0,0,0,0,0,0
2613065,1,"2012","2011",3,0.029,0.029,"2",0.2679,0.325,"23","D",0.0433,0.0435,0,"D",0,"D",214931,"D",0,"D",-5000,"D",0,"D",0,"D",0,"D",0,"D",3600,"D",799,"D",0,"D",3,"D",21364,"D",31826,8269,32177.28,31708.95,8248.95,8275.32,17340.2,17683.4,209931,209931,209931.01,209931.01,0,0,0,0,0,0,0,0,188567,188567,30.44,0,32146.83,31708.95,32146.83,31708.95,0,0,0,0,0,0,0,0,0,0,0
2613085,1,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",23200,"D",0,"D",0,"D",0,"D",0,"D",0,"D",5400,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1594,0,1630,1582.5,0,0,3085.6,3085.6,23200,23200,0,0,0,0,0,0,0,0,0,0,23200,23200,0,0,1630,1582.5,1630,1582.5,0,0,0,0,0,0,0,0,0,0,0
2613145,1,"2012","2011",0,0.133,0.133,"2",0.25,0.25,"0","T",0,0,0,"D",0,"D",60000,"D",36000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2300,"D",45,"D",0,"D",0,"D",476,"D",11264,0,11500,11185,0,0,12768,12768,96000,96000,0,0,0,0,0,0,0,0,0,0,96000,96000,0,0,11500,11185,11500,11185,0,0,0,0,0,0,0,0,0,0,0
2613165,1,"2012","2011",0,0.133,0.133,"1",0.1765,0.1765,"50","D",0.1163,0.1163,0,"D",0,"D",13440,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",500,"D",4,"D",0,"D",0,"D",0,"D",341,62,377.53,329.29,73.69,57.79,1787.52,1787.52,13440,13440,13440.01,13440.01,0,0,0,0,0,0,16.47,39.71,13440,13440,0,0,394,369,394,369,9410.4,9756,0,0,17.48,17.48,0,0,0,0,0
2613165,2,"2012","2011",0,0.133,0.133,"1",0.1765,0.1765,"50","D",0.046,0.046,0,"D",0,"D",13440,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",341,141,377.53,329.29,153.16,137.26,1787.52,1787.52,13440,13440,13440.01,13440.01,0,0,0,0,0,0,16.47,39.71,13440,13440,0,0,394,369,394,369,9410.4,9756,0,0,0,0,0,0,0,0,0
2613175,1,"2012","2011",0,0,0,"1",0,0,"05","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",7200,"D",0,"D",12000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3769,3841,0,0,0,0,0,0,0,0,0
2613205,1,"2012","2011",0,0.133,0.133,"2",0.15,0.15,"39","D",0.0307,0.0307,0,"D",0,"D",32671,"D",17069,"D",0,"D",0,"D",0,"D",0,"D",4920,"D",0,"D",23,"D",0,"D",0,"D",0,"D",3690,1527,3761,3666,1527.02,1527.02,6615.42,6615.42,49740,49740,49740.01,49740.01,0,0,0,0,0,0,0,0,49740,49740,0,0,3761,3666,3761,3666,0,0,0,0,0,0,0,0,0,0,0
2613245,1,"2012","2011",0,0.0524,0.0524,"2",0.35,0.35,"44","D",0,0,2,"D",2,"D",40800,"D",140487,"D",54140,"D",91379,"D",23938,"D",0,"D",0,"D",14700,"D",74,"D",0,"D",0,"D",17220,"D",79728,0,80630.66,79426.66,0,0,20607.72,20950.92,347153.3,347153.3,0,0,0,0,0,0,0,0,0,0,329933.3,329933.3,2437.2,1851.83,78193.45,77574.83,78193.45,77574.83,0,0,0,0,0,0,0,0,0,0,0
2613275,1,"2012","2011",0,0,0,"1",0,0,"0","T",0,0,1,"D",1,"D",0,"D",0,"D",97,"D",795,"D",7200,"D",0,"D",0,"D",0,"D",218,"D",0,"D",0,"D",520,"D",0,0,0,0,0,0,0,0,892,892,0,0,0,0,0,0,0,0,0,0,892,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613285,1,"2012","2011",0,0,0,"1",0,0,"10","D",0,0,1,"D",1,"D",0,"D",0,"D",50,"D",6000,"D",24048,"D",0,"D",0,"D",1900,"D",105,"D",0,"D",0,"D",32888,"D",0,0,0,0,0,0,0,0,6050,6050,0,0,0,0,0,0,0,0,0,0,6050,6050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613295,1,"2012","2011",0,0.133,0.133,"2",0.1489,0.2482,"44","D",0,0,0,"D",0,"D",60328,"D",31246,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3338,"D",910,"D",0,"D",0,"D",8800,"D",9646,0,9762.53,9606.61,0,0,12179.34,12179.34,91574,91574,0,0,0,0,0,0,0,0,0,0,82774,82774,0,0,9762.53,9606.61,9762.53,9606.61,0,0,0,0,0,0,0,0,0,0,0
2613305,1,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"44","D",0,0,0,"D",0,"D",43535,"D",0,"D",0,"D",0,"D",0,"D",0,"D",10680,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4645,0,4680.25,4632.75,0,0,5790.16,5790.16,43535,43535,0,0,0,0,0,0,0,0,0,0,43535,43535,0,0,4680.25,4632.75,4680.25,4632.75,0,0,0,0,0,0,0,0,0,0,0
