"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYA","CLOTHYA_","CLOTHMOA","CLOT_MOA","CLOTHXA","CLOTHXA_","AGE_SEXA","AGE__EXA","CLOGFTA","CLOGFTA_","CLOTHA1","CLOTHA1_","CLOTHA2","CLOTHA2_","CLOTHA3","CLOTHA3_","CLOTHA4","CLOTHA4_","CLOTHA5","CLOTHA5_","CLOTHA6","CLOTHA6_","CLOTHA7","CLOTHA7_","CLOTHA8","CLOTHA8_","CLOTHA9","CLOTHA9_"
"20141",2647065,3,0,"1","380","D","12","D",20,"D",,"B","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647065,4,0,"2","280","D","10","D",140,"D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,0,"1","900","D","12","D",.,"H",,"B","2","D","100","D","150","D","280","D","145","D",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,101,"1","100","D","12","D",113,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,102,"1","150","D","12","D",45,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,103,"1","280","D","12","D",79,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,104,"1","145","D","12","D",37,"E","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,201,"1","100","D","12","D",72,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,202,"1","150","D","12","D",20,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,203,"1","280","D","12","D",13,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,204,"1","145","D","12","D",23,"E","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,401,"1","100","D","12","D",15,"E","4","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,402,"1","150","D","12","D",20,"E","4","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,403,"1","280","D","12","D",41,"E","4","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647105,1,404,"1","145","D","12","D",22,"E","4","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647115,1,0,"1","150","D","11","D",50,"D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647125,1,0,"1","900","D","12","D",.,"H","5","D","2","D","280","D","145","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647125,1,401,"1","280","D","12","D",86,"E","4","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
