"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X"
"20141",2647065,16,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",175,"D",175,"D",175,"D",.,"A",.,"A",.,"A"
"20141",2647065,17,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",22,"D",22,"D",22,"D",.,"A",.,"A",.,"A",30,"F",30,"F",30,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647105,17,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",155,"D",155,"D",155,"D",.,"A",.,"A",.,"A"
"20141",2647115,17,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",100,"D",100,"D",.,"A",.,"A",.,"A"
"20141",2647125,20,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",180,"D",180,"D",.,"A",.,"A",.,"A"
"20141",2647135,24,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",5,"D",5,"D",5,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647165,36,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",55,"D",55,"D",55,"D",.,"A",.,"A",.,"A"
"20141",2647165,37,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,"D",3,"D",3,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647205,55,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",200,"D",200,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647205,56,0,"1",.,"A",,"A","2","D","1","D","1","D",,"A",50,"D",50,"D",50,"D",100,"D",100,"D",100,"D",.,"A",.,"A",.,"A",90,"F",90,"F",90,"F",.,"A",.,"A",.,"A"
"20141",2647295,42,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",89,"D",89,"D",89,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647355,29,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",140,"D",140,"D",140,"D",.,"A",.,"A",.,"A"
"20141",2647355,30,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",40,"D",40,"D",40,"D",60,"D",60,"D",60,"D",80,"F",80,"F",80,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647395,68,0,"1",.,"A","1","D","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",64,"G",64,"G",63,"G",166,"G",166,"G",167,"G",.,"A",.,"A",.,"A"
"20141",2647445,28,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",31,"D",31,"D",31,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647475,20,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",64,"D",64,"D",64,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647485,25,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",140,"D",140,"D",140,"D",.,"A",.,"A",.,"A"
"20141",2647575,23,0,"1",.,"A",,"A","2","D","2","D","2","D","5","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",20,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647585,28,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",100,"D",100,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647625,59,0,"1",0.8,"D",,"A","2","D","1","D","2","D",,"A",5,"D",5,"D",5,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",55,"F",55,"F",55,"F",0,"D",0,"D",0,"D"
"20141",2647625,60,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",30,"D",30,"D",30,"D",.,"A",.,"A",.,"A",35,"F",35,"F",19,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647635,18,0,"1",0.4,"D",,"A","2","D","1","D","2","D",,"A",42,"D",42,"D",42,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"F",30,"F",30,"F",.,"A",.,"A",.,"A"
"20141",2647645,26,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",30,"D",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647665,26,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",86,"D",86,"D",86,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647685,46,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",20,"D",20,"D",.,"A",.,"A",.,"A"
"20141",2647685,47,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",50,"F",20,"F",0,"F",50,"F",80,"F",0,"F",48,"F",48,"F",148,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647745,88,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",188,"D",227,"D",202,"D",.,"A",.,"A",.,"A"
