"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_","DEEDED","DEEDED_"
"20161","03088744",18,0,"5","01","D","100","D",.,"A","3","D",,"B","2008","D",.,"A",.,"A",.,"A",2200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03088894",26,0,"5","01","D","100","D",.,"A","3","D",,"B","1991","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03088914",12,0,"5","01","D","100","D",.,"A","3","D",,"B","1980","D",.,"A",.,"A",.,"A",1200,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03088954",36,0,"5","01","D","100","D",.,"A","3","D","02","D","2015","D",600000,"D",125000,"D",10000,"D",7000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D",,"A"
"20161","03089134",51,0,"5","01","D","100","D",.,"A","1","D",,"B","1991","D",.,"A",.,"A",.,"A",3700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03089164",67,0,"5","01","D","100","D",.,"A","3","D",,"B","2010","D",.,"A",.,"A",.,"A",6300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03089204",112,0,"5","01","D","100","D",.,"A","3","D",,"B","2012","D",.,"A",.,"A",.,"A",7900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03089224",12,0,"5","01","D","100","D",.,"A","3","D",,"B","1989","D",.,"A",.,"A",.,"A",1900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03089304",13,0,"5","01","D","100","D",.,"A","3","D",,"B","1990","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03089404",10,0,"5","01","D","100","D",.,"A","3","D",,"B","1957","D",.,"A",.,"A",.,"A",4200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03089514",21,0,"5","01","D","100","D",.,"A","3","D",,"B","2001","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03089654",35,0,"5","01","D","100","D",.,"A","3","D","04","D","2015","D",250000,"D",0,"D",.,"C",2200,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D",,"A"
"20161","03089754",7,0,"5","01","D","100","D",.,"A","3","D",,"B","1979","D",.,"A",.,"A",.,"A",1100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03089794",27,0,"5","01","D","100","D",.,"A","3","D",,"B","2001","D",.,"A",.,"A",.,"A",2700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03089834",22,0,"6","01","D","100","D",.,"A","3","D",,"B",,"B",.,"A",.,"A",.,"A",3000,"F",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",,"A",,"A"
"20161","03089964",14,0,"5","01","D","100","D",.,"A","3","D",,"B","2012","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03090094",17,0,"5","01","D","100","D",.,"A","3","D",,"B","2010","D",.,"A",.,"A",.,"A",2000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03090224",25,0,"5","01","D","100","D",.,"A","3","D","01","D","2014","D",.,"A",.,"A",.,"A",2000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20161","03090244",46,0,"5","01","D","200","D",0.99,"D","3","D",,"B","2009","D",.,"A",.,"A",.,"A",20,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20161","03090284",16,0,"5","01","D","100","D",.,"A","3","D","05","D","2015","D",89500,"D",1000,"D",.,"C",2300,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D",,"A"
"20161","03090294",19,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03090314",23,0,"5","01","D","100","D",.,"A","3","D",,"B","1992","D",.,"A",.,"A",.,"A",3800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03090384",16,0,"5","01","D","100","D",.,"A","3","D",,"B","2003","D",.,"A",.,"A",.,"A",2200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03090424",13,0,"5","01","D","100","D",.,"A","3","D",,"B","2009","D",.,"A",.,"A",.,"A",600,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03090494",16,0,"1","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",16180,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03090534",39,0,"5","01","D","100","D",.,"A","3","D",,"B","2001","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03090534",40,0,"5","02","D","400","D",.,"A","3","D",,"B","2011","D",.,"A",.,"A",.,"A",400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20161","03090724",18,0,"5","01","D","100","D",.,"A","3","D",,"B","2007","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20161","03090834",21,0,"5","01","D","100","D",.,"A","3","D",,"B","1994","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20161","03090854",19,0,"5","01","D","100","D",.,"A","3","D",,"B","1985","D",.,"A",.,"A",.,"A",200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
