"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20161","03088894",39,0,"1",.,"H",,"A"
"20161","03088894",39,1,"1",150,"E","130","D"
"20161","03089134",67,0,"1",.,"H",,"A"
"20161","03089134",67,1,"1",950,"E","130","D"
"20161","03090724",37,0,"1",.,"H",,"A"
"20161","03090724",37,1,"1",16,"E","100","D"
"20161","03090724",37,2,"1",5,"E","110","D"
"20161","03090724",37,3,"1",16,"E","120","D"
"20161","03090724",37,4,"1",51,"E","130","D"
"20161","03090724",37,5,"1",4,"E","140","D"
"20161","03090724",37,6,"1",119,"E","150","D"
"20161","03090724",37,7,"1",24,"E","160","D"
"20161","03090724",37,8,"1",14,"E","170","D"
"20161","03090724",37,9,"1",1,"E","190","D"
"20161","03100274",19,0,"1",.,"H",,"A"
"20161","03100274",19,1,"1",63,"E","100","D"
"20161","03100274",19,2,"1",18,"E","110","D"
"20161","03100274",19,3,"1",119,"E","130","D"
"20161","03103734",55,0,"1",.,"H",,"A"
"20161","03103734",55,1,"1",81,"E","120","D"
"20161","03103734",55,2,"1",22,"E","140","D"
"20161","03103734",55,3,"1",854,"E","150","D"
"20161","03103734",55,4,"1",50,"E","160","D"
"20161","03103734",55,5,"1",39,"E","170","D"
"20161","03103734",55,6,"1",332,"E","180","D"
"20161","03103734",55,7,"1",122,"E","190","D"
"20161","03142414",44,0,"1",.,"H",,"A"
"20161","03142414",44,1,"1",140,"E","120","D"
"20161","03142414",44,2,"1",622,"E","130","D"
"20161","03142414",44,3,"1",33,"E","140","D"
"20161","03142414",44,4,"1",1254,"E","150","D"
"20161","03142414",44,5,"1",106,"E","160","D"
"20161","03142414",44,6,"1",75,"E","170","D"
"20161","03142414",44,7,"1",627,"E","180","D"
"20161","03142414",44,8,"1",143,"E","190","D"
"20161","03143164",29,0,"1",.,"H",,"A"
"20161","03143164",29,1,"1",166,"E","100","D"
"20161","03143164",29,2,"1",45,"E","110","D"
"20161","03143164",29,3,"1",58,"E","120","D"
"20161","03143164",29,4,"1",338,"E","130","D"
"20161","03143164",29,5,"1",13,"E","140","D"
"20161","03143164",29,6,"1",535,"E","150","D"
"20161","03143164",29,7,"1",31,"E","160","D"
"20161","03143164",29,8,"1",24,"E","170","D"
"20161","03143164",29,9,"1",209,"E","180","D"
"20161","03143164",29,10,"1",77,"E","190","D"
"20161","03143164",29,11,"1",84,"E","200","D"
"20161","03143164",29,12,"1",119,"E","210","D"
"20161","03143164",29,13,"1",101,"E","220","D"
"20161","03146174",48,0,"1",.,"H",,"A"
"20161","03146174",48,1,"1",34,"E","100","D"
"20161","03146174",48,2,"1",10,"E","110","D"
"20161","03146174",48,3,"1",14,"E","120","D"
"20161","03146174",48,4,"1",60,"E","130","D"
"20161","03146174",48,5,"1",2,"E","140","D"
"20161","03146174",48,6,"1",120,"E","150","D"
"20161","03146174",48,7,"1",10,"E","160","D"
"20161","03146174",48,8,"1",28,"E","170","D"
"20161","03146174",48,9,"1",5,"E","180","D"
"20161","03146174",48,10,"1",17,"E","190","D"
"20161","03150714",38,0,"1",.,"H",,"A"
"20161","03150714",38,1,"1",162,"E","100","D"
"20161","03150714",38,2,"1",71,"E","110","D"
"20161","03150714",38,3,"1",367,"E","130","D"
"20161","03163774",24,0,"1",.,"H",,"A"
"20161","03163774",24,1,"1",3,"E","100","D"
"20161","03163774",24,2,"1",1,"E","110","D"
"20161","03163774",24,3,"1",6,"E","120","D"
"20161","03163774",24,4,"1",7,"E","130","D"
"20161","03163774",24,5,"1",14,"E","150","D"
"20161","03163774",24,6,"1",1,"E","160","D"
"20161","03163774",24,7,"1",7,"E","180","D"
"20161","03163774",24,8,"1",1,"E","190","D"
"20161","03164434",50,0,"1",.,"H",,"A"
"20161","03164434",50,1,"1",29,"E","120","D"
"20161","03164434",50,2,"1",6,"E","140","D"
"20161","03164434",50,3,"1",260,"E","150","D"
"20161","03164434",50,4,"1",15,"E","160","D"
"20161","03164434",50,5,"1",12,"E","170","D"
"20161","03164434",50,6,"1",101,"E","180","D"
"20161","03164434",50,7,"1",37,"E","190","D"
"20161","03166694",34,0,"1",.,"H",,"A"
"20161","03166694",34,1,"1",59,"G","100","D"
"20161","03166694",34,2,"1",15,"G","110","D"
"20161","03166694",34,3,"1",17,"G","120","D"
"20161","03166694",34,4,"1",113,"G","130","D"
"20161","03166694",34,5,"1",4,"G","140","D"
"20161","03166694",34,6,"1",179,"G","150","D"
"20161","03166694",34,7,"1",10,"G","160","D"
"20161","03166694",34,8,"1",8,"G","170","D"
"20161","03166694",34,9,"1",70,"G","180","D"
"20161","03166694",34,10,"1",25,"G","190","D"
"20161","03185003",37,0,"1",.,"H",,"A"
"20161","03185003",37,1,"1",105,"E","120","D"
"20161","03185003",37,2,"1",655,"E","130","D"
"20161","03185003",37,3,"1",26,"E","140","D"
"20161","03185003",37,4,"1",1036,"E","150","D"
"20161","03185003",37,5,"1",61,"E","160","D"
"20161","03185003",37,6,"1",48,"E","170","D"
"20161","03185003",37,7,"1",405,"E","180","D"
"20161","03185003",37,8,"1",149,"E","190","D"
"20161","03185003",37,9,"1",163,"E","200","D"
"20161","03185003",37,10,"1",231,"E","210","D"
"20161","03185003",37,11,"1",196,"E","220","D"
"20161","03185704",47,0,"1",.,"H",,"A"
"20161","03185704",47,1,"1",50,"E","120","D"
"20161","03185704",47,2,"1",9,"E","140","D"
"20161","03185704",47,3,"1",392,"E","150","D"
"20161","03185704",47,4,"1",34,"E","160","D"
"20161","03185704",47,5,"1",93,"E","170","D"
"20161","03185704",47,6,"1",17,"E","180","D"
"20161","03185704",47,7,"1",55,"E","190","D"
"20161","03186923",26,0,"1",.,"H",,"A"
"20161","03186923",26,1,"1",15,"E","120","D"
"20161","03186923",26,2,"1",2,"E","140","D"
"20161","03186923",26,3,"1",105,"E","150","D"
"20161","03186923",26,4,"1",8,"E","160","D"
"20161","03186923",26,5,"1",6,"E","170","D"
"20161","03186923",26,6,"1",52,"E","180","D"
"20161","03186923",26,7,"1",12,"E","190","D"
"20161","03189033",60,0,"1",.,"H",,"A"
