"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPFLUDX","VOPF_UDX","VOPPARKX","VOPP_RKX","VOPTOWX","VOPTOWX_","VOPDOCKX","VOPD_CKX","VOPPLCYX","VOPP_CYX","TANKGASX","TANK_ASX","JGASOXQV","JGAS_XQV","JDIESXQV","JDIE_XQV","VOPCLUBX","VOPC_UBX","VOPTOLLX","VOPT_LLX","VOPOILX","VOPOILX_"
"20161","03088724",21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03088744",34,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03088784",12,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20161","03088894",49,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1050,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03088914",20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03088954",58,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089104",35,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089124",14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",225,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089134",74,0,"1",.,"A",9,"D",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",122,"D",.,"A",.,"A"
"20161","03089164",92,0,"1",.,"A",5,"D",.,"A",.,"A",.,"A",.,"A",750,"D",.,"A",.,"A",6,"D",.,"A"
"20161","03089204",157,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",165,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089224",25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089234",13,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089304",25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",840,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089394",8,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20161","03089404",19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089444",26,0,"1",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089474",14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20161","03089514",39,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1050,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089614",27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089654",56,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089754",18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089794",50,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1500,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089814",27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03089834",19,0,"1",3,"D",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A",37,"D"
"20161","03089964",28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090084",17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090094",38,0,"1",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",300,"D",89,"F",.,"A",.,"A"
"20161","03090134",19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",13,"D",.,"A"
"20161","03090224",44,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",117,"D",105,"D",.,"A"
"20161","03090234",21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",20,"D",.,"A"
"20161","03090244",71,0,"1",.,"A",5,"D",.,"A",.,"A",.,"A",.,"A",375,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090274",9,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20161","03090284",27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090294",41,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",660,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090314",46,0,"1",3,"D",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090384",27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090394",39,0,"1",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090424",24,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1500,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090494",31,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1500,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090534",62,0,"1",12,"D",10,"D",.,"A",.,"A",.,"A",.,"A",1560,"D",.,"A",.,"A",.,"A",14,"D"
"20161","03090574",33,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",120,"D",.,"A",.,"A",.,"A"
"20161","03090624",20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090674",25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090694",21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090724",44,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090834",41,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090854",34,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1200,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090864",21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"F",.,"A",.,"A",.,"A",.,"A"
"20161","03090914",51,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20161","03090934",46,0,"1",3,"D",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091004",21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091054",24,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091114",27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091144",88,0,"1",.,"A",3,"D",.,"A",.,"A",.,"A",.,"A",651,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091164",22,0,"1",4,"D",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",5,"D"
